,ASIN,product,brand,name,date,score,title,comment
0,B07YMJRYSV,[Amazon限定ブランド]キッコーマン 豆乳飲料 紅茶 SOYMILK DAYS 200ml×30本,SOYMILK DAYS(ソイミルク デイズ),チョコスティック,2020年1月25日,5.0,何回間違えれば分かるの,リピです。とても気に入りました。息子が牛乳を飲むとお腹が痛くなると言うので買いました。ずっとノーマルのを買っていましたが、私があまり好きではなかったので、この味が好きで買うことにしましたところ…息子もこればかり飲むので、常備置いておくことにしました。
1,B07YMJRYSV,[Amazon限定ブランド]キッコーマン 豆乳飲料 紅茶 SOYMILK DAYS 200ml×30本,SOYMILK DAYS(ソイミルク デイズ),Amazon カスタマー,2021年4月25日,4.0,甘すぎる,キッコーマン豆乳シリーズを愛飲しています。この「紅茶」フレーバーも、ミルクティーが飲みたくても牛乳を飲むと必ず腹痛を起こす私にはうってつけ。この「紅茶」風味、正確にはストレートティーではなくてミルクティー風味です（まさかストレートティーやレモンティーを期待して購入される方はおられないと思いますが…）。香りづけは、パッケージにもある通りアールグレイ風味で、飲みやすいです。かなり甘いと感じられるため、甘いものが苦手な人にはオススメしません。ただ、甘いだけあって「飲んだ」感があり、かつ、しっかりと紅茶のフレーバーがするため、あまり食べたくないときに朝食替わりに飲むこともあります。（200mlあたり123kcalだそうです。キッコーマンHPより。）私にとってはお気に入りですので、今後も頂きたいと思っています。ただし、１点不満があります。このSOYMILK DAYSのパッケージについてです。30本入りで3本×10パックになっており、3本ずつフィルムコーティングされています。これが便利、ということでアピールポイントになさっていますが、私にとっては、ただゴミがたくさん出てしまうだけで、かえって欠点になっています。定期おトク便を登録していてなくなったころに送って頂けるのはとても便利なのですが、３本ごとのこのフィルムをはがす手間（結構しっかりしているので、少々取りづらいです。）やゴミ捨てのことを考えて、解約を検討しているところです。サステナビリティという観点からも、このフィルムが廃止されることを祈るばかりです。
2,B07YMJRYSV,[Amazon限定ブランド]キッコーマン 豆乳飲料 紅茶 SOYMILK DAYS 200ml×30本,SOYMILK DAYS(ソイミルク デイズ),ひろみ,2020年9月11日,4.0,飲みやすいし美味しいです,ロイヤルミルクティーかチャイのように濃い紅茶の風味を期待しましたが、それはありませんでした。甘い豆乳に、紅茶の風味が重なる程度です。不味くはありませんが、リピートするほどは、はまりませんでした。
3,B07YMJRYSV,[Amazon限定ブランド]キッコーマン 豆乳飲料 紅茶 SOYMILK DAYS 200ml×30本,SOYMILK DAYS(ソイミルク デイズ),GuriKo,2021年2月16日,5.0,間違いないお味、しかし包装が…,お気に入りの味で、頻繁に店舗買っていたのですが、何度も買いに行くのが面倒で、しかも売り切れの時があったり…それでAmazonで買うようになりました。
4,B07YMJRYSV,[Amazon限定ブランド]キッコーマン 豆乳飲料 紅茶 SOYMILK DAYS 200ml×30本,SOYMILK DAYS(ソイミルク デイズ),mie,2021年4月14日,5.0,紅茶の風味は薄い,紅茶の味が豆乳に負けてない。でも甘い。個人的にはもう少し甘くない方が好みだけど、十分かな
5,B07YMJRYSV,[Amazon限定ブランド]キッコーマン 豆乳飲料 紅茶 SOYMILK DAYS 200ml×30本,SOYMILK DAYS(ソイミルク デイズ),さや,2020年6月25日,5.0,まとめ買いで楽々,元々豆乳が苦手で飲まなかったのですがこちらの商品に出会ってから唯一飲める豆乳として重宝しています☺︎1日1本飲んでいるので1ヶ月に1回のペースで買っていこうと思います!!これからの時期は冷凍庫にいれてアイスにして食べるのがオススメです⸜❤︎⸝‍
6,B07YMJRYSV,[Amazon限定ブランド]キッコーマン 豆乳飲料 紅茶 SOYMILK DAYS 200ml×30本,SOYMILK DAYS(ソイミルク デイズ),ルーシー,2020年3月11日,5.0,紅茶の味がする。アールグレイ美味しい。,少し甘みがほしい時に良い飲み物。紅茶の香りもするし、豆乳の味もするので私は好みの味。アマゾンの送られてきた箱が大き過ぎて中の箱が小さく見えて 笑えた中身は安いしとても良い。
7,B07YMJRYSV,[Amazon限定ブランド]キッコーマン 豆乳飲料 紅茶 SOYMILK DAYS 200ml×30本,SOYMILK DAYS(ソイミルク デイズ),さく,2021年4月1日,5.0,大好きな商品！,大変飲みやすい紅茶味。私はお風呂上がりに1本が止めれません。他のお味も出てますが、なんせ紅茶が美味しくて浮気もする気にすらならなくて。１度、お買い上げあれ。
8,B07YMJRYSV,[Amazon限定ブランド]キッコーマン 豆乳飲料 紅茶 SOYMILK DAYS 200ml×30本,SOYMILK DAYS(ソイミルク デイズ),あやママ,2021年3月13日,5.0,娘のお気に入りです。,最近紅茶にハマっていて毎日飲むようにしているので、こちらのまとめ買いを購入しました。紅茶味が、飲んだ豆乳の中では1番好きです。職場に持って行って、お腹がすき始めるおやつの時間帯に飲んだりしています（笑）健康と美容にもいいと聞いたので、これからも飲み続けます！！！おいしいです！！！
9,B07YMJRYSV,[Amazon限定ブランド]キッコーマン 豆乳飲料 紅茶 SOYMILK DAYS 200ml×30本,SOYMILK DAYS(ソイミルク デイズ),ここり,2020年4月16日,3.0,すっきり美味しくて飽きません,定期で購入することにしました。いなかの家で広いので、ちょっと対応が遅れてしまい、出て行くと玄関に置きっ放し。食べ物なので少し待って欲しかった。
