,ASIN,product,brand,name,date,score,title,comment
0,B07YNP7NX4,三井農林 日東紅茶 カフェインレスTBピーチ&アップル ×3箱 デカフェ・ノンカフェイン ティーバッグ,日東紅茶,Amazon カスタマー,2019年12月7日,4.0,デカフェではすごく美味しい,個包装を開けたときから、フレーバー・ティーらしい甘い香りがかなり強く香ってきます。パッケージに「香りにこだわった紅茶」と書いてあるように、淹れてからもしっかりと香りがします。この香りを好きか嫌いかは、人によるかもしれません。某外国の有名紅茶のフレーバー・ティーのような上品な香りを期待すると期待外れになります。その反面、こんな香りと割り切れば、こんな甘い香りもいいのかもしれません。私の場合は、それなりに楽しんで飲ませていただきました。一方、この製品の紅茶としての実力はかなり貧弱です。お茶の香りや渋みなどの紅茶らしい部分は、ほとんど感じないので、紅茶好きの人にとっては不満が残ると思います。でも、カフェインレスの製品に紅茶本来の美味しさを求めるのは酷すぎるかもしれません。紅茶として期待するのではなく、寝る前にちょっと一息いれる飲み物としてであれば、寒い冬の夜にゆったりとした時間ができていいと思います。期待しすぎは禁物ですが、カフェインレスのメリットを感じる人であれば、購入する価値は十分ある製品と思います。
1,B07YNP7NX4,三井農林 日東紅茶 カフェインレスTBピーチ&アップル ×3箱 デカフェ・ノンカフェイン ティーバッグ,日東紅茶,Amazonカスタマー,2019年11月27日,4.0,フルーティな香り。風味は薄めですが美味しいです。,夕食後のお茶に良さそうなカフェインレスを探していました。パッケージの中は、香りを閉じ込める個包装となっています。ティーバッグの糸を固定するのにもホチキス等の金具が使われていないというのは環境面への配慮でしょうか？香りはとても良く、文字通りのアップルとピーチのフルーティーさが120％前面に出ている感じです。味はやや酸味を感じましたが、意外とあっさり薄い感じ。好みにより砂糖を入れるのも良いですね。カフェインは化学薬品を使わずに抽出しているなど配慮されているようですし、上記のように個包装であったりとかこだわりを感じる作りであり、それが値段にも反映しているように思います。フレイバーティーをカフェインレスで、という方がこの製品のあっさりした味わいに満足できるかどうかがカギかと思います。二番煎じまで使い切るような入れ方はしないことです。でも、このしっかりとした香りは気に入りました。
2,B07YNP7NX4,三井農林 日東紅茶 カフェインレスTBピーチ&アップル ×3箱 デカフェ・ノンカフェイン ティーバッグ,日東紅茶,ｍｆｈｔｙ,2019年11月19日,4.0,香りはかなり強く、紅茶感は薄い,カフェインレスのフルーツティー（フレーバーティー）です。「ピーチ＆アップル」という名前ですがどちらかというとアップルの方が強く、淹れる温度によってはほぼアップルと言えるくらいピーチが鳴りを潜めます。パッケージの色的にピーツが強い印象を持ちますがそうではないのでご注意ください。基本的に薄味な紅茶です。デカフェしているためエグみがなく、ワインで言うところのボディを感じない味になってしまっています。このため紅茶が好きで存在感のある紅茶を求める人には向きません。食後やティータイムにさらっと飲んで後味を残したくない人向きです。薄さを活かす方法としておすすめしたいのが、水１リットルに対しティーバッグ3-4個を使って水出しにする飲み方。少量のお湯で少し出してから水を追加すると「水に近いけれど薄く香るアイスティー」が出来上がります。洋食の際に水代わりとして飲むのに向いているのでぜひお試しください。
3,B07YNP7NX4,三井農林 日東紅茶 カフェインレスTBピーチ&アップル ×3箱 デカフェ・ノンカフェイン ティーバッグ,日東紅茶,4NX boy,2019年11月26日,5.0,香りは強く、味はあっさり。個包装が香りを逃がさない。,カフェインレスという事で、寝る前にも安心してのめます。香りは甘酸っぱいりんごの香りで、ほっと落ち着く感じがいいですね。砂糖を入れてもいいんですが、渋みの無いスッキリした飲み口なので、このままストレートで味わうのがいいと思いました。現状、20袋×3箱で1
4,B07YNP7NX4,三井農林 日東紅茶 カフェインレスTBピーチ&アップル ×3箱 デカフェ・ノンカフェイン ティーバッグ,日東紅茶,Mimi,2019年11月20日,4.0,アップルが強いフルーツティー,最初、カフェインレスだから顆粒の紅茶なのかな?と思ってたらしっかり茶葉を使ったアップル風味の紅茶です。顆粒のタイプは砂糖も入っていたり、本当の紅茶からすると物足りなさを正直感じますが、これ上品なアップルの香りを普通にお湯を注ぐだけで、茶葉から出る香りを楽しめるのがGOODですね。最後にコスパですが、若干割高感が有るかも?ですが十分納得できる価格範囲かなと感じました。
5,B07YNP7NX4,三井農林 日東紅茶 カフェインレスTBピーチ&アップル ×3箱 デカフェ・ノンカフェイン ティーバッグ,日東紅茶,Quasar,2019年11月19日,4.0,色々と安心な、カフェインレス,アルミパックの個包装、ひもの長さも、大きめマグカップで淹れても十分足ります。ひもの先の紙の持ち手に「蒸らし時間2分」と書いてあるのも親切ですね。香りは少し弱いかな。カップに顔を近づけるとほんのり香ります。でも、味はしっかりしています。フルーツの酸味がちょうど良く、美味しいです。ただフルーツの味や酸味が目立つ分、紅茶自体の味は少なくてあまり感じません。カフェインレスなので、寝る前にホッとしたい時にもＯＫです。
6,B07YNP7NX4,三井農林 日東紅茶 カフェインレスTBピーチ&アップル ×3箱 デカフェ・ノンカフェイン ティーバッグ,日東紅茶,ax2,2019年11月18日,3.0,ちゃんとした茶葉の紅茶,茶葉の匂いを嗅ぐと、ピーチ＆アップルの人工的に着色した香りを強く感じます。熱湯を注ぎ２分間蒸らし、ティーカップで飲んでみると、まあ嗜好の問題かと思いますが、あまり旨いものではありません。最近は健康志向でノンカフェイン茶葉を買うようにしてますので、フルーツミックスは好きな方には本商品は良いかと思われます。好みの問題がありますが、当社でおススメの茶葉は「日東紅茶 アロマハウス リフレッシュペパーミント（ペパーミントブレンド） 10袋入り ×6個」の方です。こちらを夜飲むと、ペパーミントが速攻で効きリラックス出来ます。更にぐっすり快眠出来るのです。こちらの方は大変旨いのでおススメの一品です。
7,B07YNP7NX4,三井農林 日東紅茶 カフェインレスTBピーチ&アップル ×3箱 デカフェ・ノンカフェイン ティーバッグ,日東紅茶,くるみ,2019年11月11日,4.0,フルーツの酸味がちょうどよく、美味しいです。,お湯を注いで10秒間蒸らします。甘くさわやかな香りが立ち上ります。リンゴとピーチなのでバラ科の果樹の香りです。お茶としての味わいはさっぱりしたもので渋みや酸味はあまりありません。カフェインを抜く際にそうした風味も抜けてしまうのかもしれません。ただ、カフェインレスコーヒーと違って紅茶の場合はそれほどマイナスには感じられません。むしろこういうお茶として成立しています。実際、ハーブを使ったお茶で同じような味わいの物があるので違和感がありません。
8,B07YNP7NX4,三井農林 日東紅茶 カフェインレスTBピーチ&アップル ×3箱 デカフェ・ノンカフェイン ティーバッグ,日東紅茶,茶渋,2019年11月27日,5.0,何か違うものを飲まされているような気がして素直に評価できない,個包装のフレーバーティーのティーバッグです。個包装の素材は紙製です。香りはアップルとピーチの甘い香りが広がります。味も甘めですが甘すぎ済み酸味もあり美味しい紅茶でした。一緒に合わせるお菓子はプレーンのクッキーやビスケットが紅茶の味と喧嘩せず良いと思います。チョコレートだと甘みが強くて合わないかなという印象でした。ノンカフェインなので、お子さんや睡眠前の寛ぎの一杯におすすめです。
9,B07YNP7NX4,三井農林 日東紅茶 カフェインレスTBピーチ&アップル ×3箱 デカフェ・ノンカフェイン ティーバッグ,日東紅茶,遷宮,2019年12月21日,5.0,フレーバードティーが夜飲める,フルーツのフレーバーティーの好きな人には、とても美味しく頂けます。ティーバッグの手軽さと、フルーツフレーバーは本格的、決して安価ではないながら、香り高いフルーツティーを楽しめます。安価ではありませんが、これだけ良質のお茶であれば、気分転換用のお茶としては、常用できます。密閉包装がしっかりとされているので、香りも長持ちします。カフェインレスなので、就寝前に楽しむのに最適です。
