,ASIN,product,brand,name,date,score,title,comment
0,B07YXH91RM,オーガライフ ラズベリーリーフティー オーガニック 1.2g×30包 ティーバッグ ドイツオーガニック認証 安産ハーブティー 妊婦,OrgaLife(オーガライフ),Amazon カスタマー,2020年3月5日,4.0,PMSの改善に期待しています。,この商品のおかげかは分かりませんが１回目のお産(不使用)がトータル24時間に対し２回目のお産(飲用時)は3時間ほどで済みました。経産婦ということを加味しても、分娩は非常にスムーズだったと言えます。痛みも少なかったような？味に癖はなく、少し酸っぱい香りがします。目的がなければ飲もうとは思わない味ですね。特別美味しくもないです。
1,B07YXH91RM,オーガライフ ラズベリーリーフティー オーガニック 1.2g×30包 ティーバッグ ドイツオーガニック認証 安産ハーブティー 妊婦,OrgaLife(オーガライフ),Amazon カスタマー,2020年10月3日,3.0,産後の母乳に効果あり,9ヶ月になったので飲んでみました。わたしには効果が強かったようで飲んですぐにお腹が張ってきてなかなか治らず、産まれるのでは？？とかなり不安になりました。その後も何度も強い張りが来ました。(一晩で治りました。)なので、37週あたりからまた再開しようと思います！！酸味もなく香りもお茶のように飲みやすかったです。レビュー追加します。39週で出産しましたが、陣痛から出産まで１８時間かかりました。微弱陣痛で促進剤を使って出産しました。2人目を産む時があったらまた試したいです。
2,B07YXH91RM,オーガライフ ラズベリーリーフティー オーガニック 1.2g×30包 ティーバッグ ドイツオーガニック認証 安産ハーブティー 妊婦,OrgaLife(オーガライフ),こたつねこ,2020年4月14日,4.0,効果のほどは？,ハーブティー系はあまり得意ではないのですがこちらはすごく飲みやすかったです！少し渋い紅茶といった感じでした。お産に向けて9ヶ月から毎日飲んでいました！こちらの効果かかはわかりませんがすごく安産でした^^
3,B07YXH91RM,オーガライフ ラズベリーリーフティー オーガニック 1.2g×30包 ティーバッグ ドイツオーガニック認証 安産ハーブティー 妊婦,OrgaLife(オーガライフ),n,2021年1月16日,2.0,難産でした。,Your browser does not support HTML5 video. パッケージがシワとだらけと言うか、くしゃくしゃと言うか、雑に扱われた跡の様な、売れ残り？の様な商品で、どう見ても新品に見えない食欲がなくなり、飲む気が失せました。泣高かったので、我慢して飲みましたが、やはりパッケージが不潔に扱われたイメージがあるせいで、味も美味しく感じませんでしたAmazonさんの商品の管理に疑問を感じました。。。ガッカリです
4,B07YXH91RM,オーガライフ ラズベリーリーフティー オーガニック 1.2g×30包 ティーバッグ ドイツオーガニック認証 安産ハーブティー 妊婦,OrgaLife(オーガライフ),かえまま,2020年11月15日,5.0,飲みやすく安価,ラズベリーリーフという事もあり、ラズベリーの果実より葉（緑の香り）がメインに感じます。人によって感じ方が違うのでしょうが、私はこのリーフ感を楽しみながら頂いています。妊婦さんやママさんに優しいお茶、という印象が強いお茶ですが私はその世代を既に通り抜けた年齢ですが、女性特有の体調管理にも良いと聞いて飲み始めました。まだまだ飲み始めたばかりで何とも言えませんが、体調は良い状態が続いています^_^
5,B07YXH91RM,オーガライフ ラズベリーリーフティー オーガニック 1.2g×30包 ティーバッグ ドイツオーガニック認証 安産ハーブティー 妊婦,OrgaLife(オーガライフ),さりー,2020年8月28日,4.0,ガッカリです,臨月に入ってからお産を進めるため購入。結果として早く産まれることはありませんでしたが、出産後これを飲んで母乳がよく出るようになった気がします！とても助かってます。味はラズベリーではなく、ハーブティーらしい草っぽい味ですが、飲みやすいです。
6,B07YXH91RM,オーガライフ ラズベリーリーフティー オーガニック 1.2g×30包 ティーバッグ ドイツオーガニック認証 安産ハーブティー 妊婦,OrgaLife(オーガライフ),あまちゃん,2020年12月25日,4.0,女性に優しいお茶,刺激やクセが少なくて、日常のちょっとした合間にホッとリラックスできるタイプのお茶です、アロマも自然で癒されます。たまには紅茶以外のお茶を飲んでみたくなり購入しました。
7,B07YXH91RM,オーガライフ ラズベリーリーフティー オーガニック 1.2g×30包 ティーバッグ ドイツオーガニック認証 安産ハーブティー 妊婦,OrgaLife(オーガライフ),太陽さん,2021年2月11日,4.0,私は母乳に効果あり,出産予定日を超過しても気配がないので購入。たまたまかも知れませんが、飲んだ翌日に陣痛きました。味は飲みやすいです。ラズベリーの味や匂いがするわけではないですが、なかなか好感の持てる味でした。産後に改めて飲もう！という気にはなりませんでしたが…
8,B07YXH91RM,オーガライフ ラズベリーリーフティー オーガニック 1.2g×30包 ティーバッグ ドイツオーガニック認証 安産ハーブティー 妊婦,OrgaLife(オーガライフ),Amazon カスタマー,2020年8月1日,5.0,みんな安産になりますように！,陣痛緩和にラズベリーリーフティーが良いと聞いたので妊娠8ヶ月から試してみました。ベリーの風味も強くなく(強いどころか無い)とても飲みやすかったです。陣痛12時間耐えましたが、一度も大声をあげることなく、泣くことなく、ヴ〜っと耐え切ることが出来ました。ラズベリーリーフティー様々です。
9,B07YXH91RM,オーガライフ ラズベリーリーフティー オーガニック 1.2g×30包 ティーバッグ ドイツオーガニック認証 安産ハーブティー 妊婦,OrgaLife(オーガライフ),ジンジャーリリー,2021年4月13日,5.0,いわゆる素朴なハーブティー,臨月に入ってから飲み始めました。結局正産期になっても子宮口が柔らかくならず、最終的には帝王切開になってしまったので、効果は感じられませんでしたが…笑笑味は美味しくてリラックスできます！寝る前に飲んでいました。
10,B07YXH91RM,オーガライフ ラズベリーリーフティー オーガニック 1.2g×30包 ティーバッグ ドイツオーガニック認証 安産ハーブティー 妊婦,OrgaLife(オーガライフ),なつ,2021年3月19日,5.0,これのおかげで陣痛耐え切れました。,香りが優しくて飲みやすかった。生理前はイライラして情緒不安定だったけど、これを飲んだらホッとして、穏やかな気持ちになれた。リピートします。
11,B07YXH91RM,オーガライフ ラズベリーリーフティー オーガニック 1.2g×30包 ティーバッグ ドイツオーガニック認証 安産ハーブティー 妊婦,OrgaLife(オーガライフ),坂本江美,2020年10月14日,4.0,美味しい！,すぐ欲しかったので迅速に届いて良かったです。妊娠38週目頃から毎日２杯くらい飲みましたが、予定日超過、微弱陣痛で安産にはなりませんでした。もっと早く飲めば違っていたかも。味は普通に美味しいので、産後も飲めそうです。ハチミツと牛乳入れても美味しかったです。
12,B07YXH91RM,オーガライフ ラズベリーリーフティー オーガニック 1.2g×30包 ティーバッグ ドイツオーガニック認証 安産ハーブティー 妊婦,OrgaLife(オーガライフ),Amazon カスタマー,2020年1月30日,4.0,心が落ち着いた。,私は妊婦ではありませんのでなんと答えて良いやら？時間に気をつけて入れると、良い香りです。口の中がさっぱりするので気に入ってます。酸味はありますね。
13,B07YXH91RM,オーガライフ ラズベリーリーフティー オーガニック 1.2g×30包 ティーバッグ ドイツオーガニック認証 安産ハーブティー 妊婦,OrgaLife(オーガライフ),あんちゃん,2020年4月11日,5.0,安産にはならなかった,妊婦ではないですが、ノンカフェインなので生理中や夜のリラックスタイムに飲んでいます。効果は分かりませんが、味は優しく美味しいです。
14,B07YXH91RM,オーガライフ ラズベリーリーフティー オーガニック 1.2g×30包 ティーバッグ ドイツオーガニック認証 安産ハーブティー 妊婦,OrgaLife(オーガライフ),プク,2020年4月20日,4.0,妊婦ではないですが、癒されます。,2人目妊娠後期に購入。香りはきつくなく、味も少し渋さはあるけど飲みやすく、私は好きです。産前と、産後入院中に飲みました。産後入院中は疲れた体が癒されてよかったです。
15,B07YXH91RM,オーガライフ ラズベリーリーフティー オーガニック 1.2g×30包 ティーバッグ ドイツオーガニック認証 安産ハーブティー 妊婦,OrgaLife(オーガライフ),Amazon カスタマー,2020年9月4日,4.0,美味しい,ザ・ハーブティー！という味。特に癖が強すぎることもないので飲みやすいと思います。
