,ASIN,product,brand,name,date,score,title,comment
0,B07YYNFMPZ,[Amazonブランド] SOLIMO シーチキン Lフレーク 70g×12缶,SOLIMO(ソリモ),綾波リュウ,2018年8月17日,3.0,小ワザを駆使して買わないとむしろ割高なインドネシア生産品,Amazonロゴがついていますがハゴロモ製。いわゆるOEMですね。この商品、標準価格でも結構安いですが真価を発揮するのが定期的に来るタイムセール。これに投げ込まれると1個辺り余裕で100円を切ってくるんですね…！セールが始まるとよーいどん！状態。他のどの商品よりも一瞬で消え失せます。プライム会員先行の段階で消え失せる。なので、この商品の真価を利用したいのであれば、プライム会員になる→お買い物リストに入れる→セールで争奪まとめ買いこの流れです。定期的にゲット出来れば、店頭でちまちまツナを買う生活からはオサラバであります。追記・だいぶ安定供給されるようになったようですね。タイムセール中に定期お得便に入れられれば一個90円を切る事もあるようです。おそろしいアイテム★追記2019年5月現在、値上げ＆タイムセールに入らなくなりましたので、評価下げます。
1,B07YYNFMPZ,[Amazonブランド] SOLIMO シーチキン Lフレーク 70g×12缶,SOLIMO(ソリモ),Ｕ,2019年2月10日,1.0,油だらけ,普通のはごろも製品と変わらない、という意見を見て「ああ、Amazon向けで少し安いか」という気持ちで購入しましたが海外製造を見落としました。気のせいか味が少し薄い感じがします。スーパーで売っているはごろもは国内製造ですし特売の時はAmazonより安いです。それにAmazonの値段が知らないうちに上がったりするためお得感がなくなりました。
2,B07YYNFMPZ,[Amazonブランド] SOLIMO シーチキン Lフレーク 70g×12缶,SOLIMO(ソリモ),ひせい,2018年9月7日,5.0,タイムセールの常連だったけど値上がり！,2018年 9月7日 本日、手元に届きました色々な料理に使える【万能缶詰】だと私は思います。価格が安いので、賞味期限が気になりましたが、2021年4月18日と缶の底に表記されていました　長期 賞味期限が有るのは、とても有難い原産国【インドネシア】と ラベルに表記されていましたが、以前、他の大手スーパーで購入したシーチキンも、インドネシアに なっていましたので表記を見ても、私は余り違和感を感じませんでした。【梱包にビックリ】スーパーだと、だいたい3～4缶程で一纏め　今回購入した缶詰は、縦に10ｺ 重ねた状態で一纏め 　何だか凄い！昔から販売されているシーチキン　そのまま食べるのも良し、残り物と合わせて野菜炒めも良し、チャーハンに入れても良し、正に【万能缶詰】だと私は思います。安価で購入出来る事が、何よりも有難い❗【食後の追記】分量も、味も、国産と全く変わらず、美味しく食しました！
3,B07YYNFMPZ,[Amazonブランド] SOLIMO シーチキン Lフレーク 70g×12缶,SOLIMO(ソリモ),ふく,2020年5月3日,5.0,こちらは海外製造！,アマゾンブランド品とは言えシーチキンの名を冠しており味は紛れもなくシーチキンです。外装も違いますが、蓋を開けたとき、中のツナがかなりほぐれているように見えるのが大きな違いではと思います。(栄養表示も違う)単体での食べ応えは国内製に劣りますが、サラダに振りかけたり炒め物など調理の材料に使う場合には(オイルも使うため)都合が良いと思います。私はこっちの方が好き。いきなりたくさん買うのも怖いなという場合、イオンで販売されているシーチキンNewLフレークがかなり近いので試してみてはと思います
4,B07YYNFMPZ,[Amazonブランド] SOLIMO シーチキン Lフレーク 70g×12缶,SOLIMO(ソリモ),magical,2019年2月24日,1.0,万能缶詰　シーチキン!!!,普通にスーパーで売ってるものより缶が直径が大きくてその分薄く材質も違う感じでした。でも味は変わらないと思います。と思っていたら定期便利用で\750→\1
5,B07YYNFMPZ,[Amazonブランド] SOLIMO シーチキン Lフレーク 70g×12缶,SOLIMO(ソリモ),ジョージドゥー,2020年5月17日,4.0,国内品とは違うことを分かった上で,1缶あたり120～130円強で海外製(2020/04現在 インドネシア産)です。味や品質は国産品と大きく変わらないように思えますが、少し気になるポイントです。ディスカウントストアで安売りを探す手間を考えれば、ありかな？もう少し安い、「マイルド」シリーズはマグロではなく、カツオなのでご注意を。定期おトク便の割引と送料無料で★+1です。
6,B07YYNFMPZ,[Amazonブランド] SOLIMO シーチキン Lフレーク 70g×12缶,SOLIMO(ソリモ),かず,2019年7月18日,1.0,缶が平べったいけど味は一緒かな→酷い値上がり,やられたって感じです外国産は了承していたんですがハゴロモブランドで国産とこうも違うのかと国産は身がしっかりしてるのですがこちらはトロトロ溶けてる状態でキモいです味も油ドロドロでくどいです国産正規ブランド物でも安売りスーパーで同じぐらいで買えるのでわざわざこちらを買う意味はなかったです。
7,B07YYNFMPZ,[Amazonブランド] SOLIMO シーチキン Lフレーク 70g×12缶,SOLIMO(ソリモ),光速太郎,2019年7月17日,1.0,特別お得でもない海外製,毎回、いくつかを購入すると、缶が潰れていたり、他の商品を傷つけるのですが、今回は特に酷かったです。10セットも購入した私も悪いのかも知れませんが、到着したらほとんどの缶が潰れていて、いくつかは破裂していて、中の液が段ボールの中に広がっていました。なので、１つ１つ液を拭いて割れてないか確認するという作業をするハメになりました。また、同時に購入した商品にも、もれなくシーチキンの液がかかっており、とてもショックでした。袋に入っている商品はまだ良いですが、新品で購入した５冊ほどの本には、その液が染み込んでおり、シーチキンの香りを嗅ぎながらそれらの本を読まなければならないという事態に陥ることになりました。どのように注文すれば、シーチキンが破裂せずに済むのか、それを知るまでは、リスクと戦うことが必要だと気付かされました。シーチキンだけに、チキンにされてしまいました。(/ _ ; )味の評価は、星10くらいはあります！
8,B07YYNFMPZ,[Amazonブランド] SOLIMO シーチキン Lフレーク 70g×12缶,SOLIMO(ソリモ),あんころ,2020年9月27日,3.0,Amazonブランドのシーチキン,スーパーに売ってる同等の商品と同じだと思って詳細を見ずに買ったら、製造国がインドネシアでした。気にする方は注意してください。わざわざ詳細表示をしないと外国製であることが分からないのはわざとですかね。値段もスーパーの国内製造品のほうが安かったので、あえてこれを買う理由は無いです。
9,B07YYNFMPZ,[Amazonブランド] SOLIMO シーチキン Lフレーク 70g×12缶,SOLIMO(ソリモ),俊足ぴの,2018年10月30日,4.0,タイムセールで購入,2018/10/2に購入。はごろも製品と全く変わらないという人もいるが、比較してみたところフレークが細かく、オイルにざらつきのようなものを感じた。食感は明らかに異なる。(ロット、購入時期で違いがあるのでしょうか？)ただ、そういった点が気にならなければ、とくにまずいわけではないので、価格に魅力を感じるのであれば、ありなのではないでしょうか。
