,ASIN,product,variant,brand,name,date,score,title,comment
0,B07Z7M6QFZ,生活の木 おいしいハーブティー ムーンガーデン(30ヶ入),生活の木,,ぺ,2023年3月6日,5.0,就寝前に,就寝前に飲んでますすぐに香りが広がりリラックスできます。美味しくて飽きないのでまた少なくなってきたら買い足します。
1,B07Z7M6QFZ,生活の木 おいしいハーブティー ムーンガーデン(30ヶ入),生活の木,,Amazon カスタマー,2023年1月28日,5.0,美味しい,布団に入りすぐ眠りに落ちます。これでグッスリ寝れます。
2,B07Z7M6QFZ,生活の木 おいしいハーブティー ムーンガーデン(30ヶ入),生活の木,,チャム,2023年2月18日,2.0,おいしいけど,美味しいけど個包装じゃないので香りが飛びやすいです。
3,B07Z7M6QFZ,生活の木 おいしいハーブティー ムーンガーデン(30ヶ入),生活の木,,ことり,2022年9月3日,3.0,酸っぱいのダメな人は注意,甘めかと思いきや、ハイビスカスが強く、酸味が苦手な方は注意が必要です。そうでなければ美味しくいただけます。
4,B07Z7M6QFZ,生活の木 おいしいハーブティー ムーンガーデン(30ヶ入),生活の木,,浅井由美,2022年7月22日,5.0,寝る前に飲む,リラックス効果があるので、寝る前に飲むのに最適。生活の木のハーブティーは飲みやすいです。
5,B07Z7M6QFZ,生活の木 おいしいハーブティー ムーンガーデン(30ヶ入),生活の木,,みどり丸,2021年8月23日,4.0,思ったより…,酸っぱかったです。私の好きなハーブティーと似たような成分(成分？)なので試しに買ってみました。けど、これじゃなかった(笑)不味いと言う訳ではありません。地道に飲みます。
6,B07Z7M6QFZ,生活の木 おいしいハーブティー ムーンガーデン(30ヶ入),生活の木,,pome pome,2022年2月19日,5.0,眠る前のリラックスタイムにぴったりでした。,香りも良く、甘さも程よく、ノンカフェインで飲みやすいハーブティー。睡眠前の飲むのが、ルーティーンになっています。
7,B07Z7M6QFZ,生活の木 おいしいハーブティー ムーンガーデン(30ヶ入),生活の木,,のりちゃんノリノリ,2022年1月23日,5.0,美味しい。,体調がすぐれないときにこのハーブティーをいただきました。リンゴの爽やかな香りとほんのりピンクに癒やされました。またリピします。
8,B07Z7M6QFZ,生活の木 おいしいハーブティー ムーンガーデン(30ヶ入),生活の木,,Amazon カスタマー,2022年1月3日,5.0,のみやすい,リンゴのやさしい香りに癒されます。のみやすいです。ハチミツをいれてのんでいます。
9,B07Z7M6QFZ,生活の木 おいしいハーブティー ムーンガーデン(30ヶ入),生活の木,,ひな,2021年8月21日,5.0,美味しい♪,甘い香りと、ほんのり甘い味のハーブティー寝る前のゆったりした時間に毎晩飲んでます。以前よりぐっすり眠れるようになった気がします。
