,ASIN,product,brand,name,date,score,title,comment
0,B083JHTDSL,本格オーガニックカフェインレスコーヒー（デカフェ・有機）粉タイプで簡単ドリップ【京都宇治ヤマサン】690ｇ(230g×3袋)美味しい 焙煎,美味伝承ヤマサン,チューブちゃん,2021年1月16日,1.0,飲みやすいですね,酸っぱいです。そういう豆なのか、鮮度が悪いのか。酸っぱいコーヒーが好きな方には良いかもしれません。豆は鮮度が命なので、焙煎したてのものをすぐに配送してくれる別の豆を購入することにしました。
1,B083JHTDSL,本格オーガニックカフェインレスコーヒー（デカフェ・有機）粉タイプで簡単ドリップ【京都宇治ヤマサン】690ｇ(230g×3袋)美味しい 焙煎,美味伝承ヤマサン,Amazon カスタマー,2021年2月7日,1.0,お高めだけど、それだけあって美味しいです。,不眠症のため購入。普段、良い豆を挽いて飲んでいたのでこの味は厳しい。人によってはこの味でも許容するレベルかもしれないし、コーヒーで気分転換に良いのかもしれないが私はこの味でこの値段を出すくらいならば水を選択します。
2,B083JHTDSL,本格オーガニックカフェインレスコーヒー（デカフェ・有機）粉タイプで簡単ドリップ【京都宇治ヤマサン】690ｇ(230g×3袋)美味しい 焙煎,美味伝承ヤマサン,unit,2020年3月19日,5.0,鮮度が悪い？,袋を開けた時にスウィートチョコのような甘い風味が香りました。お湯を注いだ時の豆の膨らみは程よく、しっかりと味はでていました。豆20gに対して、お湯350ccで淹れましたが、少し苦味が出たように思いますが、400ccぐらいで注ぐと妊婦さんでも飲みやすく丁度良いと思いま
3,B083JHTDSL,本格オーガニックカフェインレスコーヒー（デカフェ・有機）粉タイプで簡単ドリップ【京都宇治ヤマサン】690ｇ(230g×3袋)美味しい 焙煎,美味伝承ヤマサン,amazonユーザ,2020年1月17日,5.0,このような飲み物と納得すればおいしいかも,濃いコーヒーが好きで毎日3杯ぐらい飲んでいましたが、体質が変わったのかカフェインに過剰反応するようになってしまいました。カフェインレスコーヒーをいろいろ試したのですが、こちらのものは、普通のコーヒーとまったく変わらず美味しくいただけます。ちょっとコーヒーの味、コク、香り、遜色ありません。また購入したいです。
4,B083JHTDSL,本格オーガニックカフェインレスコーヒー（デカフェ・有機）粉タイプで簡単ドリップ【京都宇治ヤマサン】690ｇ(230g×3袋)美味しい 焙煎,美味伝承ヤマサン,堀 祐輔,2020年4月8日,4.0,香り良く、しっかりとした飲み口,コーヒー大好きなのですが、どうもカフェインに弱いらしく体調を悪くしてしまい、それからデカフェのコーヒーを飲むようにしています。味は良く、カフェインは感じられません。安いデカフェのものと飲み比べしてみたのですが、酸味が程よく香ばしさがあり個人的に大好きな一品でした。ただ私のような庶民には飲み続けるには値段が高く感じます。星ひとつ減らしたのはそのせいなのでそれ以外は本当に良い商品だと思います。余裕のある方はおすすめです！パッケージもチャック付きで他の容器に入れ替える必要もなく便利でした。
5,B083JHTDSL,本格オーガニックカフェインレスコーヒー（デカフェ・有機）粉タイプで簡単ドリップ【京都宇治ヤマサン】690ｇ(230g×3袋)美味しい 焙煎,美味伝承ヤマサン,Amazon カスタマー,2020年11月27日,4.0,美味しいカフェインレス,味は酸味が少なくマイルドで美味しいです。本格的な味が楽しめます。その分お値段が張るので星4つの評価にさせたいただきました。
6,B083JHTDSL,本格オーガニックカフェインレスコーヒー（デカフェ・有機）粉タイプで簡単ドリップ【京都宇治ヤマサン】690ｇ(230g×3袋)美味しい 焙煎,美味伝承ヤマサン,高槁俊介,2020年12月18日,5.0,値段は少し高いけど良い,夜にコーヒーを飲みたいときに飲んでます。目が覚めてしまわないのでいいです。その代わり、朝に飲むとシャキッとしません。でも、何より、おいしいです。私は中挽き・ミディアムローストが好きで、味は私の好みにぴったりで気に入ってます。
7,B083JHTDSL,本格オーガニックカフェインレスコーヒー（デカフェ・有機）粉タイプで簡単ドリップ【京都宇治ヤマサン】690ｇ(230g×3袋)美味しい 焙煎,美味伝承ヤマサン,むー,2020年1月22日,5.0,好きです,よくコーヒーを飲むので、寝る前用にカフェインレスを試しに購入しました。開封時にとてもいい香りがしたのでかなり期待してハンドドリップで入れてみると…抽出後はふわっとしたすり鉢状に！！コーヒー好きにはこれも達成感ありますね！飲んでも合格点で、私の好きな酸味控えめの深煎りコーヒーでした。有機だし、コーヒー好き妊婦さんへのプレゼントとかにも良さそう！
8,B083JHTDSL,本格オーガニックカフェインレスコーヒー（デカフェ・有機）粉タイプで簡単ドリップ【京都宇治ヤマサン】690ｇ(230g×3袋)美味しい 焙煎,美味伝承ヤマサン,lovecar,2021年7月24日,4.0,美味しいです。,Amazonはサクラ評価ばかりで半信半疑でチャレンジ購入。でもこちらはコメント評価通り、酸味ちょい強めだけど美味しいと思う。今までノンカフェインはブラウンシュガーファーストのオーガニックドリップコーヒーを愛飲してたけどお高めなので(でもこちらのより酸味はなくまろやかな味わいです)
9,B083JHTDSL,本格オーガニックカフェインレスコーヒー（デカフェ・有機）粉タイプで簡単ドリップ【京都宇治ヤマサン】690ｇ(230g×3袋)美味しい 焙煎,美味伝承ヤマサン,マスターの嫁,2021年6月10日,5.0,ノンカフェインだけど美味しい,美味しいカフェインレスコーヒーを探していて、今のところダントツの美味しいさです。他の豆があってもこちらばかり飲んでしまう…カフェインレスということを忘れるほど、普通に美味しいコーヒーという感じで飲めます。夜でも気にならず飲めるし、あとからお腹の調子が悪くなるというようなこともなく、毎日のひと息タイムに重宝してます！
