,ASIN,product,brand,name,date,score,title,comment
0,B084H1X7YC,サントリー ボス カフェベース 贅沢カフェインレス 甘さ控えめ 濃縮 コーヒー 340ml ×24本,BOSS(ボス),Amazon カスタマー,2020年4月29日,5.0,リピート購入しています。,妊婦なので、カフェイン少なく、牛乳で割って飲むととってもおいしいです。ありがたいです。
1,B084H1X7YC,サントリー ボス カフェベース 贅沢カフェインレス 甘さ控えめ 濃縮 コーヒー 340ml ×24本,BOSS(ボス),せせせせざ,2020年6月17日,5.0,コーヒーだと思って買わないこと,カフェインレスのものは無糖かすごく甘いかのどちらかしかないと感じていましたが、こちらの商品は自分で甘さを調節できるので、すごく良いです。
2,B084H1X7YC,サントリー ボス カフェベース 贅沢カフェインレス 甘さ控えめ 濃縮 コーヒー 340ml ×24本,BOSS(ボス),ラテリ,2020年11月28日,4.0,カフェイン少なめ,味が美味しい！授乳中だからカフェインレスで安心だし牛乳に割ると最高！ケース買いしてますw
3,B084H1X7YC,サントリー ボス カフェベース 贅沢カフェインレス 甘さ控えめ 濃縮 コーヒー 340ml ×24本,BOSS(ボス),Amazon カスタマー,2021年5月27日,4.0,ちょうどいいです,入荷までの待ち時間が長め。
4,B084H1X7YC,サントリー ボス カフェベース 贅沢カフェインレス 甘さ控えめ 濃縮 コーヒー 340ml ×24本,BOSS(ボス),相,2020年6月4日,5.0,カフェインレス の甘いコーヒー！,美味しいです。お店で売ってないので、助かります。
5,B084H1X7YC,サントリー ボス カフェベース 贅沢カフェインレス 甘さ控えめ 濃縮 コーヒー 340ml ×24本,BOSS(ボス),ナナシー,2020年6月15日,5.0,ノンカフェユーザー向き,カフェインレスが良い。
6,B084H1X7YC,サントリー ボス カフェベース 贅沢カフェインレス 甘さ控えめ 濃縮 コーヒー 340ml ×24本,BOSS(ボス),Amazon カスタマー,2020年3月4日,3.0,ノンカフェインありがたいです。,まず内用液は、喫茶店で提供されるデミタス珈琲の様に、濃厚な黒々さを有した加糖珈琲で、原液をストレート状態で飲んでみても、それと同等の香味があります。その本来用途は『希釈用』となっており、基本的にはアイス飲用が主体となっているらしく、牛乳＆ミネラルウォーターで、5倍に薄める様に勧められています。実際に上述手法で飲用してみた処、若干淡いものの【BOSS】ブランド品特有の芳ばしい【香料】臭が漂い、同ブランド愛好家には悪く無いと感じます。一方の味は『甘さ控えめ』と示されている通りに、上述希釈率だと『微糖』珈琲以下の甘さとなり、更には『カフェインレス』の影響もあってか、苦みも殆ど感じません。従って、牛乳で頂いた場合は、そのコクの力で「芳ばしい牛乳」として頂けますが、水で希釈した場合はアメリカン以下となって、あまり美味しいとは感じられませんでした。また本商品には、敬遠者が多い人工甘味料【アセスルファムK】が微量添加されており、上述アメリカンな飲用をした場合のみ、辛うじて嫌味な後味を感じる場合がありますが、牛乳で希釈した場合には殆ど感じる事は無く、敬遠材料からは除外して支障無いと感じます。ただ、濃厚な珈琲の香味を楽しもうと、希釈率を下げた場合には、その限りではありません。その他の原材料表記は見当たらず【リン酸塩】等の乳化剤は不使用と思われ、豆の産地も『メキシコ＆ブラジル』と明記されています。ただ、デカフェ手法については示されておらず、カフェイン含有量も1本あたり15ml程は残っており、妊婦さんに勧められる程の物ではありません。容器は、商品写真だと500mlペットボトルと誤認されそうですが、実際は350ml相当のペットボトルで、容量は控えめです。販売元は【サントリーフーズ】で、製造所は製造所固有記号から長野県の工場と推測されます。総じて、甘さに関しては後から調節出来る事なので、控えめな事は隘路と感じませんが、無理して後味が悪くなる人工甘味料を添加している点だけは理解に苦しみます。そして珈琲としての旨味も、ほぼ【香料】に頼っている印象で、デカフェと言う付加価値を考慮しても、及第点を超える品とは言い難く、過度な期待を持って飲める物ではありませんでした。
7,B084H1X7YC,サントリー ボス カフェベース 贅沢カフェインレス 甘さ控えめ 濃縮 コーヒー 340ml ×24本,BOSS(ボス),Amazon カスタマー,2020年3月28日,5.0,カフェインレスがおすすめ！,濃縮タイプのカフェインレスコーヒーです一本で10杯分も入れられるので、省資源で簡単です濃縮タイプなので、牛乳に入れても薄まることなく、濃いカフェオレが楽しめます甘さも十分あるのに、カロリーは控えめ混ぜて頂いてみると　ミルクの濃厚さを残したまま特別に美味しいカフェオレお手軽に作れてしまうのには驚きですカフェインレスとのことでしたが、飲んでいる分には普通のコーヒーを牛乳で割ったのと違いがわかりませんそれだけコーヒーの風味は損なわれていないのでしょう牛乳とこれ一本で簡単に美味しいカフェオレが作れる濃縮コーヒーです
8,B084H1X7YC,サントリー ボス カフェベース 贅沢カフェインレス 甘さ控えめ 濃縮 コーヒー 340ml ×24本,BOSS(ボス),W0021,2020年5月17日,4.0,牛乳で割ると手軽に甘いコーヒー牛乳が作れます。,カフェインレスで夜にも飲めるのが嬉しいですね。ボトル1本あたり10杯飲むことが出来てコスパ良好。最初から液体なのでお湯でもミルクでも混ぜやすいです。コーヒーの香ばしさもしっかり味わえます。ただ、甘さ控えめとありますが、普段ブラックを愛飲している私には充分甘く感じられました。香ばしさはあるものの苦みは……？という点では少々物足りなさも。逆に言えば、ブラックが苦手な方や普段あまりコーヒーを飲み慣れていない方にはとても飲みやすいと思います。
9,B084H1X7YC,サントリー ボス カフェベース 贅沢カフェインレス 甘さ控えめ 濃縮 コーヒー 340ml ×24本,BOSS(ボス),不破雷蔵(jgnn),2020年3月10日,5.0,お気軽にカフェインレスのラテづくり,商品の説明通り牛乳で1/5に割って飲みました。味は謳い文句通り香ばしさが強く苦味は控えめ、香ばしさのせいかもしれませんがキャラメルのような甘さがあり、それでもスッキリとした喉越しで飲み易く美味しいです。これが1本で10杯分作れるならコスパ良いんじゃないでしょうか。それから誤ってそのまま飲まないようにパッケージだけではなくキャップにまで「割るタイプ」と印刷して注意してあるのはなかなか面白かった。
