,ASIN,product,brand,name,date,score,title,comment
0,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,ミィ～,2020年6月23日,3.0,希釈は面倒かもね...,会社で使うように求めました。通常は前夜の紙パックお湯出しの麦茶ですが、月曜日の朝だけは時間短縮のため濃縮缶を使いました。サントリーのものと伊藤園どちらを買おうかまよい、サントリーは薄いのでは？？？という予想をもとに、伊藤園に期待しましたが、残念ながら麦茶の香ばしさはなく色付き水という感じでしょうか・・・・メーカーさんには香ばしさを追求していただきたいところです。でも濃縮缶スタイルは時短に大変助かります。
1,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,Amazon カスタマー,2020年8月10日,4.0,風味は劣化すれど生活には良し,ペットボトルのほうが美味しいけど場所を取るただ、水筒に入れて使うときはこっちのほうが良い濃さを調整できるので氷が溶けても味が薄まりすぎないように調整したりと使い勝手が良いそして、やっぱり場所を取らないのが良い
2,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,ちゃんす,2020年5月30日,5.0,間に合わせにはなんとか・・・・,毎日 ４Lのお茶の準備に苦戦してましたが ミネラルウォーターがあれば その場で すぐ 冷たい麦茶が できます。コスパもよく リピ決まりです。
3,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,アナグラム,2021年1月16日,5.0,2リットルで薄めるとは味は薄いし、刻しても香りは薄い,普段は同じ伊藤園のパックで作ってますが、浄水器を入れているわけでもないので、一度沸騰させてからお湯で出してます。ただ新しいのを作り始めてから飲めるまでに一定の時間がかかるのが欠点です。とくに子どもは待つのが苦手みたいで。一方でたまにミネラルウォーターを飲むので、常にストックを買っている我が家は、この商品があればすぐに飲める麦茶が作れます。ミネラルウォーターのボトルにそのままこちらの商品を混ぜるので非常に楽ちんです。こどもに言わせれば同じ伊藤園でもこちらの方が美味しいそうです。ただしうちは2Lのペットボトルに、本品を2本入れてます。
4,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,きよたん,2020年8月16日,5.0,お茶を沸かす手間が省けた,定期便で買うとスーパーなどで買うよりだいぶ安いし、麦茶沸かして冷ましての手間がないのは非常に便利です。　夏は油断するとすぐ足りなくなるので、沸かす派もうっかり切らした用に常備しとくと絶対助かると思います。何かこうじゃないといけない理由はあるんでしょうが、スチール缶なのはゴミ捨てが面倒だなーとか思います。紙パックやパウチみたいのは無理なんですかね？
5,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,アレクサローズ,2021年2月6日,2.0,作りやすい,スーパーで買ったものよりも賞味期限が短いので注意。元々スーパーで購入してストックしてあるものは2022年まで持つものでした。おそらく2年ぐらい？今回注文したのは2021年2月 賞味期限は2021年8月でした。保存用として購入したつもりですが、早く消化しないといけなくなりました。安いのは訳がありますね…
6,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,Amazon Customer,2020年8月9日,4.0,便利！,2Lで作ると若干薄いです。ただ、妥協できるレベルの薄さなので問題ありませんでした。1.5Lで作ると大体市販品と同じくらいになります。
7,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,Ponta,2020年7月24日,4.0,賞味期限が短い,子供達の学校が始まり、水筒を毎日持っていくので、水で薄めるだけで済む商品は手間もなく非常に楽で助かっています。以前は、安いのでティーバック商品を使用していましたが、作るのに時間もかかるし面倒に感じることもあったので、画期的に感じました。缶も小さめなので、捨てるにもペットボトル商品と違って、ゴミ箱を圧迫もしないので便利です。ただ、もう少し安くなると嬉しいです。
8,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,ようこ,2021年5月5日,5.0,好みの味で飲めるのがよいです。,毎朝子供の通学時に用意する麦茶。普段はパックのやつで沸かしますが、当然ながらうっかり忘れます。そんな時にこれがあると助かります。水（と氷）さえあれば何とかなります。我が家では常にストック置いてます。
9,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,山本　万佐江,2020年10月16日,3.0,とても、便利,味はやっぱり煮出して作ったものの方が美味しいです。2リットルで作ると薄過ぎます。1リットルにしてしまうと、コストが高い。でも、すぐ麦茶が必要！という時には便利です。中学生2人(運動部)、小学生1人で毎日大量の麦茶が必要な我が家の夏には重宝しました。もう少し価格が安いといいのだけれど。
10,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,だいなまいと,2021年7月16日,3.0,いざと言う時に助けられる,ショート缶なのでペットボトルをそのまま保管するより場所を取りませんし、ティーパックみたいに湿気をひどく気にしなくてもいいです。味は2Lで作るとやはり薄い感じがします。水で薄めるだけなので手軽に作れます。ただ、箱に開梱跡が有り、2･3個缶凹み、応募シールが全てなかったので★-2にしました。
11,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,kohime,2020年6月29日,5.0,便利だけど高い,父へのプレゼント。簡単に作れてお気に入りです。
12,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,鬼頭秀幸,2020年12月5日,2.0,長期保存にベスト。,Amazonサイバーマンデーですごく安くなっていて購入しました。届いた商品は箱が空いていて、缶も凹んでいました。どこかで落としたのかなと思います。宅配の人は経緯はわからないから、受け取らなくてもいいと言ってくれましたが、すぐ必要だし面倒なので受け取りました。誠実に対応してくれようとしていましたし、宅配の人は悪くないと思います。返品されたものなのか何かはわかりませんが、安売りだからそんなものが送られて来たのかと思い、少し残念だと思いました。
13,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,石井　育世,2021年7月26日,5.0,簡単,いつもはパックの麦茶を使っていますが、子供がたくさん飲んで水出したりするのが間に合わない時や、長時間持ち歩く時にはこちらを使っています。水を入れるだけなので簡単で便利。スチール缶なので捨てる時にちょっとかさばるのが残念。
14,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,山本 真平,2021年2月16日,5.0,残念,濃縮なので水の量次第で味の濃さの加減も出来る。すぐに作って飲めることがありがたい。お茶の作り置きやペットボトルの備蓄が無くとも。保存場所も取らないし、災害備蓄にも良いかも。もちろん水があっての話だが。個人的には他社製品より味もだが濁りが少ないのが気に入っている。
15,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,みぃ,2021年3月4日,1.0,簡単！便利！美味しい！,粉末のミネラル麦茶の味が好きで愛用していました。希釈用は今回初めて購入しましたが、味が全然違いガッカリしました。もう買いません。
16,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,Amazon カスタマー,2021年7月31日,4.0,くたくたな時にも、おいしい麦茶が飲めます。,沸かすのが面倒や冷めるまでや水だしで味が出るまで待ちたくない人にはオススメです。濃さも調整出来るので毎年購入してます。
17,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,ちょんちょろろりりん,2021年7月15日,3.0,そのまま飲んでみて？,2021年7月に購入して、2021年8月が賞味期限の商品が届きました。多分、飲みきれないです
18,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,Amazon カスタマー,2020年8月9日,5.0,楽です,2リットルペットボトルから切り替えました。すぐに飲めるし置き場所に困りません。
19,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,きのこ,2021年6月28日,3.0,賞味期限が、、,プライムセールで買ったからか、配達がとても遅くてプライム会員意味がなかったです。お得ではあります。
20,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,sato.j,2020年7月11日,5.0,省スペース,とても便利です！！リピしてます
21,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,ようかい,2020年9月4日,5.0,配達遅い,たまたま店で購入したら便利だったのでアマゾンで安く購入しました!水1リットルに麦茶1本、の濃いめのほうが飲みやすいです。
22,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,Amazon カスタマー,2020年8月28日,5.0,楽チン,子牛のようにごくごく飲む人が簡単に作れるので、かなり重宝しています。ついでにキャンペーンも応募しました。
23,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,しまねっこ,2020年11月10日,5.0,おいしい,待たずに簡単に出きるからたすかります。
24,B084H2V9RG,伊藤園 健康ミネラルむぎ茶 希釈用 (缶) 180g ×30本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,小西　香織,2021年2月2日,4.0,すぐ出来てすぐ飲める,おちゃっぱが数十円です。缶は早いが高いです。
