,ASIN,product,brand,name,date,score,title,comment
0,B084YRJK3V,● カモミールティー ＋ リンデンフラワー ● 夜寝る前専用 ハーブティー ● カモミール 夜に飲んでリラックス ● ノンカフェインで安心,紅茶専門店 京都セレクトショップ,ぷりんのママ,2020年5月20日,5.0,良く眠れます,好みもあるかと思いますが、私は美味しく頂きました。何となくですが良く眠れるような気がします。もう少しお安くなればまたリピートしたいです。
1,B084YRJK3V,● カモミールティー ＋ リンデンフラワー ● 夜寝る前専用 ハーブティー ● カモミール 夜に飲んでリラックス ● ノンカフェインで安心,紅茶専門店 京都セレクトショップ,Amazon カスタマー,2020年3月25日,5.0,リラックスできる,他社のカモミールよりも、飲みやすくて、安眠できました。
2,B084YRJK3V,● カモミールティー ＋ リンデンフラワー ● 夜寝る前専用 ハーブティー ● カモミール 夜に飲んでリラックス ● ノンカフェインで安心,紅茶専門店 京都セレクトショップ,kumabuta,2020年6月3日,4.0,美味しいです。,寝る前に飲むハーブティーが飲みたくて購入しました。たくさん入っていてしばらく飲み続けられそうです。ティーバッグが一つ一つが大きくて1個でマグカップ2杯分程度飲めます。香りもよく、眠りが深くなった気がします。濃くなると少し香りが独特になるので、バッグを出し忘れないようにした方がいいかもしれません。
3,B084YRJK3V,● カモミールティー ＋ リンデンフラワー ● 夜寝る前専用 ハーブティー ● カモミール 夜に飲んでリラックス ● ノンカフェインで安心,紅茶専門店 京都セレクトショップ,インコ,2020年6月3日,5.0,安眠できました！,今まで飲んできたカモミールと比べると、とても飲みやすいと思います。昼間に飲むと、ほっとします。
4,B084YRJK3V,● カモミールティー ＋ リンデンフラワー ● 夜寝る前専用 ハーブティー ● カモミール 夜に飲んでリラックス ● ノンカフェインで安心,紅茶専門店 京都セレクトショップ,お茶好き,2020年9月17日,5.0,香りがいいです,ハーブティーを飲んで、ここまで効いた…というか癒やされた〜みたいな事は初めてでした!(笑)　びっくり。そして本格的に眠くなり、初めて飲んだ夜はぐっすりと気持ちよく眠れました。ただ、私には利尿作用が強くて、眠っていたいのに朝までに３回ほどトイレへ覚醒を迫られる事態に。これがなければ…と思いますが、とにかく一口飲んだ時にとても好い原材料だと感じましたし、更年期のどうしようもないイライラを、婦人科薬よりも一番に収めてくれた気がします。利尿作用を考慮して飲む時間帯を調整したらいいかな？価格は少々お高めですが、この内容なので、無くなったらまたリピートしたいです。
5,B084YRJK3V,● カモミールティー ＋ リンデンフラワー ● 夜寝る前専用 ハーブティー ● カモミール 夜に飲んでリラックス ● ノンカフェインで安心,紅茶専門店 京都セレクトショップ,かもめ,2020年6月17日,5.0,飲むとほっとします,夜、寝る前に飲んでいますとってもいい香りで癒されます買って良かったです
6,B084YRJK3V,● カモミールティー ＋ リンデンフラワー ● 夜寝る前専用 ハーブティー ● カモミール 夜に飲んでリラックス ● ノンカフェインで安心,紅茶専門店 京都セレクトショップ,Amazonカスタマー,2021年3月28日,5.0,ハーブって…こんなに効くんですね!,味も香りも良いです、飲むと体が暖かくなります。私はリピしました。厚みは良く分からないので特に述べません。夕飯後、お風呂後、寝る前？3回飲むと効果があるように記載されておりましたが、寝る前だけで十分リラックスできます。1日3回飲むとコスパ良くないので1日1回です。
7,B084YRJK3V,● カモミールティー ＋ リンデンフラワー ● 夜寝る前専用 ハーブティー ● カモミール 夜に飲んでリラックス ● ノンカフェインで安心,紅茶専門店 京都セレクトショップ,Amazon カスタマー,2020年8月28日,5.0,癒される香り,ハーブティーが大好きで色々飲んでいますがこのリンデンが入っているカモミールティーが一番飲みやすいです。とてもリラックスできます😊
8,B084YRJK3V,● カモミールティー ＋ リンデンフラワー ● 夜寝る前専用 ハーブティー ● カモミール 夜に飲んでリラックス ● ノンカフェインで安心,紅茶専門店 京都セレクトショップ,夏の風,2021年3月8日,1.0,夜寝る前にリラックスできます,余り色出ませんね。で、これ飲んで寝れるかといえば全く寝れません因みに急須にティーパックを3個入れてやっと色が出るかなって感じですねまー、単なるハーブティーとして飲めば問題はありません薄いですけどねwただ、睡眠導入剤を常用してる方は絶対に効かないので気休め程度にもならないでしょうねww
9,B084YRJK3V,● カモミールティー ＋ リンデンフラワー ● 夜寝る前専用 ハーブティー ● カモミール 夜に飲んでリラックス ● ノンカフェインで安心,紅茶専門店 京都セレクトショップ,かおる,2021年3月12日,4.0,リピート決定,ほんのり甘いまろやかな味と刺激のないマイルドな香りの飲みやすいハーブティーです。入眠剤のようにすぐに眠りに落ちるわけではないですが、優しく作用して、飲まないよりは飲んだほうが眠れるのかな？ぐらいの感覚です。ぽんぽんと花の形が残るカモミールとリンデンのティーバッグは見ていると楽しい気分になります。
