,ASIN,product,variant,brand,name,date,score,title,comment
0,B084YRJK3V,●夜寝る前ハーブティー ●ティーバッグ 20包入 ●カモミールティー＋リンデンフラワーのブレンドハーブ ●ノンカフェイン（紅茶専門店,紅茶専門店 京都セレクトショップ,,ユキピョン,2022年12月4日,4.0,リラックスしたい為！！,カフェイン飲料を飲むと夜、眠れなくなるので、リラックスできる飲み物を探してたらコレに行き着きました。匂い、味はハーブの独特な感じですが、リラックスできて、眠りに入りやすくなりました。
1,B084YRJK3V,●夜寝る前ハーブティー ●ティーバッグ 20包入 ●カモミールティー＋リンデンフラワーのブレンドハーブ ●ノンカフェイン（紅茶専門店,紅茶専門店 京都セレクトショップ,,クイニーアマン,2022年11月12日,4.0,定期購入しています,夕食後から就寝までのリラックスタイムに頂いております。飲み続けていると飽きてきますが(スミマセン)、なんだか、又、飲みたくなるそんな感じです。
2,B084YRJK3V,●夜寝る前ハーブティー ●ティーバッグ 20包入 ●カモミールティー＋リンデンフラワーのブレンドハーブ ●ノンカフェイン（紅茶専門店,紅茶専門店 京都セレクトショップ,,井伊打　憲一,2023年2月13日,3.0,効果,人それぞれだと思いますが私は寝る前に飲んでますが眠るまで時間がかかります。
3,B084YRJK3V,●夜寝る前ハーブティー ●ティーバッグ 20包入 ●カモミールティー＋リンデンフラワーのブレンドハーブ ●ノンカフェイン（紅茶専門店,紅茶専門店 京都セレクトショップ,,Tom,2023年2月24日,5.0,リラックス体感がスゴイ！,ノンカフェインの安眠訴求ハーブティーの場合、多くがカモミール使用かつミントが使用されているものが多いです。本商品はミント感がなく、変にスッキリすることがないので非常に飲みやすいです。私はほぼ毎日飲んでいます。
4,B084YRJK3V,●夜寝る前ハーブティー ●ティーバッグ 20包入 ●カモミールティー＋リンデンフラワーのブレンドハーブ ●ノンカフェイン（紅茶専門店,紅茶専門店 京都セレクトショップ,,Albert K.,2023年2月2日,5.0,highly recommended,highly recommeded
5,B084YRJK3V,●夜寝る前ハーブティー ●ティーバッグ 20包入 ●カモミールティー＋リンデンフラワーのブレンドハーブ ●ノンカフェイン（紅茶専門店,紅茶専門店 京都セレクトショップ,,mmk,2023年3月18日,2.0,可もなく不可もなく,いたって普通のハーブティーです。不味くはありませんが、別においしくもありません。私は飲んだからと言って眠くなりませんでした。ティーバッグは小分けされてなく、ひとつの袋にまとめて入っています。まあ、もう買わないですね。
6,B084YRJK3V,●夜寝る前ハーブティー ●ティーバッグ 20包入 ●カモミールティー＋リンデンフラワーのブレンドハーブ ●ノンカフェイン（紅茶専門店,紅茶専門店 京都セレクトショップ,,Mr. Bronson,2022年4月7日,4.0,気分がほぐれる！,香りがいい！寝る前に飲んでも気分が安らぐ！欠点は、ティーパックがあまりお茶が出ない！値段が高い！
7,B084YRJK3V,●夜寝る前ハーブティー ●ティーバッグ 20包入 ●カモミールティー＋リンデンフラワーのブレンドハーブ ●ノンカフェイン（紅茶専門店,紅茶専門店 京都セレクトショップ,,たら。,2023年2月15日,2.0,睡眠の質を良くする夜寝る前のカモミールティー,不眠症がひどく、睡眠剤を飲む前に、こちらのカモミールティーを何度か寝る前に試しましたが、私はカモミールが苦手なことがわかり、吐き気を催しました。わたしがカモミールが合わなかったのだと思います。母がティーが好きなのでプレゼントしようと思います！
8,B084YRJK3V,●夜寝る前ハーブティー ●ティーバッグ 20包入 ●カモミールティー＋リンデンフラワーのブレンドハーブ ●ノンカフェイン（紅茶専門店,紅茶専門店 京都セレクトショップ,,おばびゅ,2022年10月17日,5.0,良く眠れます,これを飲む様になってから、ぐっすり眠れます。リラックス出来るので、毎日飲む様になりました。
9,B084YRJK3V,●夜寝る前ハーブティー ●ティーバッグ 20包入 ●カモミールティー＋リンデンフラワーのブレンドハーブ ●ノンカフェイン（紅茶専門店,紅茶専門店 京都セレクトショップ,,ガラ,2022年2月26日,4.0,不整脈に良いと思う,わずかでもいい感じです
