,ASIN,product,brand,name,date,score,title,comment
0,B085DJCCRB,LUCKYBEE お茶バッグ 200枚 使い捨て空の袋 フィルター濾紙 ティーバッグ 巾着付き 強力な浸透 天然,LUCKYBEE,Amazon カスタマー,2020年11月6日,5.0,匂いに敏感な人は紙の匂いが気になるかも。,多肉植物の子株など小型の植物を仮植えするポットとして利用しています。土付きの苗を譲渡する時にも便利です。
1,B085DJCCRB,LUCKYBEE お茶バッグ 200枚 使い捨て空の袋 フィルター濾紙 ティーバッグ 巾着付き 強力な浸透 天然,LUCKYBEE,デイジーちゃん,2020年10月9日,5.0,味は変わらない,フィルターがなくなりそうになって急いでいたので、助かりました。
2,B085DJCCRB,LUCKYBEE お茶バッグ 200枚 使い捨て空の袋 フィルター濾紙 ティーバッグ 巾着付き 強力な浸透 天然,LUCKYBEE,Amazon カスタマー,2021年5月30日,2.0,植物用に,小さすぎて茶葉が踊らず、1枚では美味しくできません。倍くらいの大きさだと良いと思います。口が糸で閉められるのはとても良いのですが残念です。
3,B085DJCCRB,LUCKYBEE お茶バッグ 200枚 使い捨て空の袋 フィルター濾紙 ティーバッグ 巾着付き 強力な浸透 天然,LUCKYBEE,RETIRED,2020年11月27日,4.0,すばやい発送すばらしい,天然素材を探して購入しました。紐で縛るタイプでしたが、小さい茶葉がもれる心配がらあったので、入れ口をシーラーでとめました。天然パルプがシーラーでくっつく？と疑問は残りましたが、素材は天然パルプということだったので、体には優しいかなぁ？と思いました。
4,B085DJCCRB,LUCKYBEE お茶バッグ 200枚 使い捨て空の袋 フィルター濾紙 ティーバッグ 巾着付き 強力な浸透 天然,LUCKYBEE,Amazon カスタマー,2021年3月29日,4.0,小さすぎ,こんなめんどくさい商品販売するなんざ、ええんでないかい。いただいた茶葉はこれでいただきましょう。
5,B085DJCCRB,LUCKYBEE お茶バッグ 200枚 使い捨て空の袋 フィルター濾紙 ティーバッグ 巾着付き 強力な浸透 天然,LUCKYBEE,かお,2021年5月31日,5.0,天然素材を評価して購入しました,紅茶の葉っぱを入れて使用しました。紐をしっかり絞れば結わなくても葉っぱは出てきません。パックに入れるときも、入れやすかったです。
6,B085DJCCRB,LUCKYBEE お茶バッグ 200枚 使い捨て空の袋 フィルター濾紙 ティーバッグ 巾着付き 強力な浸透 天然,LUCKYBEE,やまなか,2021年6月28日,5.0,ええんでないかい,Good
7,B085DJCCRB,LUCKYBEE お茶バッグ 200枚 使い捨て空の袋 フィルター濾紙 ティーバッグ 巾着付き 強力な浸透 天然,LUCKYBEE,ne-san,2021年3月28日,5.0,使いやすい,使い易いし味や香りに影響もないように思います。1枚5円と思うと痛手ではありますが、茶漉しを洗う手間代だと思えばまあまあ。
8,B085DJCCRB,LUCKYBEE お茶バッグ 200枚 使い捨て空の袋 フィルター濾紙 ティーバッグ 巾着付き 強力な浸透 天然,LUCKYBEE,ｏｄａｎｏｂｕｎａｇａ,2021年3月7日,5.0,早く到着しました,紙パックだったので心配しましたがとても使いやすく重宝しています。
9,B085DJCCRB,LUCKYBEE お茶バッグ 200枚 使い捨て空の袋 フィルター濾紙 ティーバッグ 巾着付き 強力な浸透 天然,LUCKYBEE,ちぃ,2021年3月28日,5.0,コスパ良いと思います。,小分けするのに探していたので良かったです。
10,B085DJCCRB,LUCKYBEE お茶バッグ 200枚 使い捨て空の袋 フィルター濾紙 ティーバッグ 巾着付き 強力な浸透 天然,LUCKYBEE,まめちゃん,2020年12月8日,5.0,これは良い！！,味、耐久性どちらとも問題なし。買って良かったです。
11,B085DJCCRB,LUCKYBEE お茶バッグ 200枚 使い捨て空の袋 フィルター濾紙 ティーバッグ 巾着付き 強力な浸透 天然,LUCKYBEE,折原洋子,2020年12月26日,4.0,出会えて良かった。,紐を縛った方がより安心して、茶葉のもれが無いけれど、紐を結び辛いのでそのまま使用してます。食べれる茶葉を使っているので、コップに浮いていても問題はないです。
12,B085DJCCRB,LUCKYBEE お茶バッグ 200枚 使い捨て空の袋 フィルター濾紙 ティーバッグ 巾着付き 強力な浸透 天然,LUCKYBEE,Amazon カスタマー,2020年12月24日,5.0,安くて頑丈,計り売りの茶葉をポットで使用するために購入しました。当然茶こしも必要なくなり、後処理も手間が省けます。破れにくく、しかしながら確実に浸透していきます。素材も自然で良い感じです。
13,B085DJCCRB,LUCKYBEE お茶バッグ 200枚 使い捨て空の袋 フィルター濾紙 ティーバッグ 巾着付き 強力な浸透 天然,LUCKYBEE,ぼんちゃん,2021年3月24日,5.0,安心素材がこの値段なら問題ない,ハープティーを飲むのによく使うのですが、とても使いやすいので何度もリピートしています。
14,B085DJCCRB,LUCKYBEE お茶バッグ 200枚 使い捨て空の袋 フィルター濾紙 ティーバッグ 巾着付き 強力な浸透 天然,LUCKYBEE,Amazon カスタマー,2021年6月16日,5.0,良いです。,とても丈夫で、使いやすい。安心して使える。味も変わることがない。
15,B085DJCCRB,LUCKYBEE お茶バッグ 200枚 使い捨て空の袋 フィルター濾紙 ティーバッグ 巾着付き 強力な浸透 天然,LUCKYBEE,kumiko,2021年2月20日,5.0,サイズも良く、使いやすい。,大きさが絶妙で使いやすく、糸で締めるので中身も漏れず重宝しています。使用中に袋が破れる事もありませんでした。紙の匂いが、と言うご意見もある様ですが自分は気にならなかったです。
