,ASIN,product,brand,name,date,score,title,comment
0,さくら,2021年1月25日,5.0,二度目の購入やはり経済的にも良いし味も良い,２度目の購入です色々調べたけど、一番お得に買えるので再度お取り寄せしました前回違うメーカー？のグリーンルィボスティーを間違って購入しましたが数が少なく毎日煮出して使っている我が家としては直ぐ無くなるので不経済でした品質、味も高いメーカーさんと変わらずなのでこのグリーンルィボスティーをずっと愛用してみようと思っています我が家では一年を通してお茶や水の変わりに飲む程毎日毎回飲んでいますが食事の時にもくせもなく飲みやすい感じです(笑),,,
1,♀,2020年11月15日,4.0,真っ赤で美味しい,10分煮出すと濃い真っ赤になったので、、本当にグリーンルイボスティー？初めてのグリーンルイボスティーだし、普段飲んでるレッドルイボスティーは水出しで煮出してないのでよく分からないですが水出しレッドルイボスティーより色は真っ赤です。毎日飲むのでレッドと比較してグリーンルイボスティーだと確信が持てたらレビュー訂正します。,,,
2,てるさん,2020年9月13日,5.0,水出しで,冷茶ポットに入れ水出しで美味しく頂いています。,,,
3,おけはん,2021年6月16日,5.0,とても美味しいです。,冷たいのも暑いのも、やかんで沸かすのも全てできるので便利です。,,,
4,麻生 真里,2021年5月4日,5.0,また買います！,毎日寝る前にのんでます！美味しいです！,,,
5,みい,2020年8月21日,5.0,美味しいです。,美味しいですし、飲みやすいです,,,
6,さーしゃ,2020年12月2日,4.0,リピします,お安くおいしいお茶が買えて良かったです。リピします。,,,
7,ryufu175,2020年10月6日,4.0,煮だし味,煮だしても、本当に雑味がありませんでした。美味しいです。,,,
8,はるか,2021年6月17日,5.0,飲みやすい,使い勝手が良い,,,
9,kp,2020年9月20日,5.0,簡単！,水筒に入れておけば、お湯を継ぎ足すだけなので簡単美味しい！,,,
10,シゲ坊,2020年9月2日,5.0,毎日、しっかり煮詰めて飲んでいます。,毛細血管のため、毎日一杯、しっかり煮詰めて飲んでいます。88歳の母親も、喜んでくれています。もちろんこれからも飲み続けていこうと思っています。グリーンはスーパーでも手に入らなかったのですが、安い値段で購入出来て、とてもありがたかったです。ありがとうございました。とても飲みやすいです,,,
11,ぽめ,2020年9月4日,5.0,美味しい,美味しかった,,,
