,ASIN,product,brand,name,date,score,title,comment
0,B086LXV5LR,UCC 職人の珈琲 ドリップコーヒー 飲み比べアソートセット ×54袋 レギュラー(ドリップ),職人の珈琲,prof45,2020年12月21日,5.0,勧められません,三種類のドリップコーヒーが一つの箱に納まっています。それもそれぞれのパッケージをそのまま入れてあるだけです。中身はそれぞれ飲んだことがあるので、おいしいということは間違いない。コーヒーも同じ種類ばかりだと飽きるものなので三種類あるというのはありがたい。今年のように正月でも遠出をしないなら家のなかでの生活を充実させたいもの。手軽にコーヒーの味わいを色々楽しめるのは良い慰めになる。
1,B086LXV5LR,UCC 職人の珈琲 ドリップコーヒー 飲み比べアソートセット ×54袋 レギュラー(ドリップ),職人の珈琲,ともか,2021年6月2日,5.0,飲み比べています,個人的には、青のマイルドブレンドか、緑のスペシャルブレンドが気にいってますが、たまに赤のモカが飲みたくなることもあります。コスパを考えれば、100とか120入の箱買いをすればいいですが、流石に飽きてしまう。この点、この点アソートパックは、18個入の赤青緑が1袋づつ、計54個入っています。単色の50個入り比べても、同等の価格で購入できるので、普段からリピートする身には財布に優しいですね。
2,B086LXV5LR,UCC 職人の珈琲 ドリップコーヒー 飲み比べアソートセット ×54袋 レギュラー(ドリップ),職人の珈琲,おやじねこ,2020年11月5日,5.0,遠出ができない分、家の中の生活を充実させたい。コーヒーは手軽な一歩です。,タイムセールで安かったので買って見ましたが普通に美味しいと思います。この値段なら下手をするとインスタントより安いかも。
3,B086LXV5LR,UCC 職人の珈琲 ドリップコーヒー 飲み比べアソートセット ×54袋 レギュラー(ドリップ),職人の珈琲,ふじさん,2021年1月16日,5.0,赤、青、緑をバランス良く味わいたい人にはコスパ最高,ホテルに泊まった時、部屋の備え付けのコーヒーが職人の珈琲まろやか味のマイルドブレンドでした。とても美味しかったので家でも飲みたくなりAmazonで探したところこちらの商品が安かったので購入しました。マイルドブレンドだけではなくその日の気分で他の味も楽しめるのでとても良いと思います。
4,B086LXV5LR,UCC 職人の珈琲 ドリップコーヒー 飲み比べアソートセット ×54袋 レギュラー(ドリップ),職人の珈琲,ほえほえ,2021年6月11日,4.0,タイムセールで安かったため購入,3種類の味が入っています。どれもクセがなく飲みやすいと思います！濃いコーヒーが好きな人には向いていないです。スーパーで買うよりはもちろん割高ですが、買いに行く手間を考えるとコスパも良いと思います！
5,B086LXV5LR,UCC 職人の珈琲 ドリップコーヒー 飲み比べアソートセット ×54袋 レギュラー(ドリップ),職人の珈琲,Amazon カスタマー,2021年2月9日,4.0,コスパ良く、いろんな味も楽しめてとても美味しいです。,もともと緑のスペシャルブレンドが好みだったので袋で購入していたが、他社のに乗り換えており、久しぶりに味わう為と３種類を試すつもりで購入。しかし少し期待どおりではなかった。抜きん出るには、１杯分の量を多くするべきだと感じた。このワンドリップ用でおすすめするなら赤のモカのみ。
6,B086LXV5LR,UCC 職人の珈琲 ドリップコーヒー 飲み比べアソートセット ×54袋 レギュラー(ドリップ),職人の珈琲,kkh,2021年6月25日,4.0,めんどくさがりにはいいです笑,3種類入っていてまあまあリーズナブルです。普段はインスタントですが、たまにはレギュラーを飲みます。このドリップも手軽に飲めるのは良いですね。香りはそんなにしませんが、価格なりでそこそこ美味しいです。
7,B086LXV5LR,UCC 職人の珈琲 ドリップコーヒー 飲み比べアソートセット ×54袋 レギュラー(ドリップ),職人の珈琲,woodman,2021年4月22日,4.0,抜きん出るなら,最近コーヒーを飲むようになり、味比べ的な意味でアソートを購入しました。 いろんなメーカーから発売されてるので順番に試そうと思ってますが、こういうドリップ式のタイプは簡単に本格的なコーヒーが飲めるのでありがたいと思ってます。 お湯の入れ方でやはり多少味の違いが出るなーとは思いました！ ホントはこだわりたいけど、ちょっとめんどくさいという人にオススメだと思います😀
8,B086LXV5LR,UCC 職人の珈琲 ドリップコーヒー 飲み比べアソートセット ×54袋 レギュラー(ドリップ),職人の珈琲,じゅんこ,2021年2月20日,4.0,ホッと一息,味は美味しいと、思います。
9,B086LXV5LR,UCC 職人の珈琲 ドリップコーヒー 飲み比べアソートセット ×54袋 レギュラー(ドリップ),職人の珈琲,大川内優,2020年10月26日,5.0,ダメ,香りも味も良かった
