,ASIN,product,brand,name,date,score,title,comment
0,B0886ND1BP,伊藤園 おーいお茶 緑茶 カフェインゼロ 470ml×24本 デカフェ・ノンカフェイン,おーいお茶,こむらん,2020年8月9日,5.0,薄い！,子供が緑茶が好きだがカフェインはとらせたくないので購入。キリン生茶デカフェと比べて色、味は薄めでサッパリしています。濃い目の味が苦手な人、水分補給に多目に飲みたい人にはオススメです。
1,B0886ND1BP,伊藤園 おーいお茶 緑茶 カフェインゼロ 470ml×24本 デカフェ・ノンカフェイン,おーいお茶,リルム,2020年7月14日,1.0,妊婦にありがたい,今まで他のメーカーのをずっと飲んでいて今回初めてこちらを試しましたが薄い！薄すぎる！ご飯時に他の食べ物と一緒に飲んだら水！？って思う程です。リピは無いです。
2,B0886ND1BP,伊藤園 おーいお茶 緑茶 カフェインゼロ 470ml×24本 デカフェ・ノンカフェイン,おーいお茶,トライアン,2020年8月15日,3.0,味は薄めでサッパリ,サイズ感はカバンの中に入れても邪魔にならず、重さもそれほどなくちょうどいい。味に関してはかなり好みが分かれる商品です。普通のお茶を求めるとどこか物足りない感じがします。個人的には嫌いではないが、周りの評価はあまりよろしくないのが現状です。『薄味で、意外にも喉が渇いてしまう。』まとめると周りの評価はこんな感じです。カフェインゼロというのはある意味、開発会社のチャレンジ商品かなと思います。
3,B0886ND1BP,伊藤園 おーいお茶 緑茶 カフェインゼロ 470ml×24本 デカフェ・ノンカフェイン,おーいお茶,milie,2020年12月12日,4.0,薄い！！,つわりの時期に麦茶や水が苦手になってしまい、でも水分補給はしなきゃなのでどうにかならないかと、妊婦友達の間で話題になっていたノンカフェイン緑茶をためしてみたところ、ゴクゴク飲めて後味もいやな味が残らずものすごく助かりました。ただ、常飲するためゴミがたくさん出てしまうので、大きいサイズもあったら嬉しいなと思いました。最近になってラベルレスが出ましたが、それもとても助かってます。
4,B0886ND1BP,伊藤園 おーいお茶 緑茶 カフェインゼロ 470ml×24本 デカフェ・ノンカフェイン,おーいお茶,iybiss,2020年7月25日,2.0,普通のお茶を求めると失敗する、好みが分かれるところです。,キリンのデカフェと比べると味がほとんど感じられない。伊藤園だけに期待していたのでがっかりです。コンビニで試し買いしないと駄目ですね。でも水の代わりに飲んでいると慣れるというか抵抗なく飲めます。リピは無いですけど。
5,B0886ND1BP,伊藤園 おーいお茶 緑茶 カフェインゼロ 470ml×24本 デカフェ・ノンカフェイン,おーいお茶,Amazon カスタマー,2020年8月19日,2.0,つわりで苦しむ妊婦さんに,普段は生茶のデカフェを飲んでいました。私の生活圏では、緑茶でデカフェというと生茶の選択肢しかなかったのですが、この度おーいお茶のデカフェを初めて見かけたので買ってみました。結論から言うと緑茶の香りや味はほぼしません。リピもしません。生茶に戻ります。ボトルのサイズ感や量には満足です。
6,B0886ND1BP,伊藤園 おーいお茶 緑茶 カフェインゼロ 470ml×24本 デカフェ・ノンカフェイン,おーいお茶,Amazon カスタマー,2020年10月20日,2.0,薄い,味は緑茶の味、香りも緑茶の香り、でも普段生茶のデカフェを飲んでいる身としては味が薄すぎ。濃い味が好きな人は買わない方が良い。飲んだ後、なんとなく玄米茶系の香りが鼻に抜けて好きなだけに惜しい。
7,B0886ND1BP,伊藤園 おーいお茶 緑茶 カフェインゼロ 470ml×24本 デカフェ・ノンカフェイン,おーいお茶,Amazonカスタマー,2020年10月9日,5.0,薄めただけ…？,家族がカフェインを控える必要があったため、こちらをまとめ買いしました。味は若干薄めであるものの、そのおかげで飲みやすく、ノンカフェインだからいまいち、、なんてことはありませんでした。ボトルが柔らかくつぶしやすいのも良いです。
8,B0886ND1BP,伊藤園 おーいお茶 緑茶 カフェインゼロ 470ml×24本 デカフェ・ノンカフェイン,おーいお茶,Amazonのお客様,2021年1月15日,4.0,味がない。,通常のカフェインが入ってるものと比べると、若干味は薄いですが、カフェインを気にせず飲めるので気に入っています。
9,B0886ND1BP,伊藤園 おーいお茶 緑茶 カフェインゼロ 470ml×24本 デカフェ・ノンカフェイン,おーいお茶,だだ,2020年11月16日,5.0,美味しい,冷やして飲むと一層美味しい。
10,B0886ND1BP,伊藤園 おーいお茶 緑茶 カフェインゼロ 470ml×24本 デカフェ・ノンカフェイン,おーいお茶,ケン,2020年11月23日,4.0,味は若干薄め？,正直普通のとデカフェの味の違いはわからないですが寝る前に良いと思います　量が少ないけど飲み切りサイズで良いです
11,B0886ND1BP,伊藤園 おーいお茶 緑茶 カフェインゼロ 470ml×24本 デカフェ・ノンカフェイン,おーいお茶,渡邊　英明,2020年10月27日,5.0,美味しい,カフェインゼロだからお茶の苦味が嫌な私には丁度いい！
12,B0886ND1BP,伊藤園 おーいお茶 緑茶 カフェインゼロ 470ml×24本 デカフェ・ノンカフェイン,おーいお茶,panw,2020年11月14日,1.0,デカフェでお得,ほぼ水。お茶の風味を探したら見つかる程度。お茶のつもりで購入したのでこの評価です。
13,B0886ND1BP,伊藤園 おーいお茶 緑茶 カフェインゼロ 470ml×24本 デカフェ・ノンカフェイン,おーいお茶,Amazon カスタマー,2020年12月5日,5.0,カフェインゼロだから苦味が苦手な人には良いかも,あっさり味で飲みやすい。またリピします。
14,B0886ND1BP,伊藤園 おーいお茶 緑茶 カフェインゼロ 470ml×24本 デカフェ・ノンカフェイン,おーいお茶,おくホリディ,2020年11月2日,2.0,水だねこれは,夜も緑茶を飲みたい時がありオーダーしましたが、味も香りもかなり薄くてがっかり。他社のものが美味だったので、こちらも同じように思い頼んでみましたが失敗でした。水を買った方が良かったです。
15,B0886ND1BP,伊藤園 おーいお茶 緑茶 カフェインゼロ 470ml×24本 デカフェ・ノンカフェイン,おーいお茶,Amazon カスタマー,2021年1月12日,5.0,夜の飲める。,カフェインゼロのお茶にしては、美味しいです。
16,B0886ND1BP,伊藤園 おーいお茶 緑茶 カフェインゼロ 470ml×24本 デカフェ・ノンカフェイン,おーいお茶,lei,2020年10月20日,1.0,大好き,お茶風味の水です。深みもなく○茶と比べると雲泥の差です。よく言えばごくごく飲めるお茶。
17,B0886ND1BP,伊藤園 おーいお茶 緑茶 カフェインゼロ 470ml×24本 デカフェ・ノンカフェイン,おーいお茶,Amazon カスタマー,2021年3月5日,4.0,味が水に近い薄さ！,妊婦さん授乳中にはおすすめ。カフェインをとりたくないけど緑茶が飲みたい時におすすめ。少し薄く感じるが、カフェインレスなので◎
18,B0886ND1BP,伊藤園 おーいお茶 緑茶 カフェインゼロ 470ml×24本 デカフェ・ノンカフェイン,おーいお茶,よーぽ,2020年8月29日,3.0,お茶？,色や味に関しては問題はないが、とにかくペットボトルの形状が太過ぎて持運びにくく、冷蔵庫にも入れ難かった。
19,B0886ND1BP,伊藤園 おーいお茶 緑茶 カフェインゼロ 470ml×24本 デカフェ・ノンカフェイン,おーいお茶,みーやー,2020年12月20日,4.0,妊婦さん、授乳中、カフェインレス◎,夏の水分補給に購入しました。通常の緑茶よりは味がさっぱりしていますが、美味しかったです。
