,ASIN,product,brand,name,date,score,title,comment
0,B0894Z3YQK,紅茶好きのおうち時間200P ティーバッグ,KarelCapek(カレルチャペック),Amazon カスタマー,2020年12月30日,2.0,プチギフトに最適,楽しみにしていたので届いてすぐに開封したところ、ティーバッグは6種類が各10個入っていました。12種類で各5個だと思っていたので、いろいろな紅茶が楽しめると思っていたのに残念です。他に問題はありませんでした。
1,B0894Z3YQK,紅茶好きのおうち時間200P ティーバッグ,KarelCapek(カレルチャペック),ゆきまる,2021年2月7日,3.0,おうちティータイム,購入直後に値下げされておりショックでした。バラの60Pは12種類を期待していましたが、6種✖️10Pだったのも少し残念。でも沢山の可愛い紅茶で何から飲もうか楽しみです。
2,B0894Z3YQK,紅茶好きのおうち時間200P ティーバッグ,KarelCapek(カレルチャペック),ひろりん,2021年4月14日,3.0,内容が違っていました,画像のように12種プラス定番のものではなかったです…この時期発売のものが入ってるのは嬉しいですね。その都度、セット内容も詳細に記載されていると後悔のない良い買い物になるのにな、と思います。改善されてほしいです。
3,B0894Z3YQK,紅茶好きのおうち時間200P ティーバッグ,KarelCapek(カレルチャペック),モノクロ,2021年3月10日,5.0,パッケージが可愛いです,パッケージの可愛さもさることながら様々な紅茶が飲める上に、人にちょっとしたプレゼントにもなるので、とても良かったです。
4,B0894Z3YQK,紅茶好きのおうち時間200P ティーバッグ,KarelCapek(カレルチャペック),ゆう,2020年9月25日,5.0,定番プラス6種,パッケージも可愛いし、美味しいです。ちょっとした自分へのご褒美に、また友達へのプレゼントにも使えて良いです？
5,B0894Z3YQK,紅茶好きのおうち時間200P ティーバッグ,KarelCapek(カレルチャペック),Amazon カスタマー,2021年1月12日,5.0,色々な種類が楽しめます。,大好きなカレルチャペックの紅茶、200pとってもお得でよかった
6,B0894Z3YQK,紅茶好きのおうち時間200P ティーバッグ,KarelCapek(カレルチャペック),いないな,2021年5月28日,5.0,気に入ってます,個装されているので、ちょっとしたところに持っていくのにも便利です。かおりがいいので気に入っています。炭酸水で作ったり、アイスにしたり美味しくいただいています。
7,B0894Z3YQK,紅茶好きのおうち時間200P ティーバッグ,KarelCapek(カレルチャペック),Amazon カスタマー,2021年3月3日,5.0,お得,箱いっぱいのかわいい紅茶が届きましたー量が多いので頼むのに少し迷いましたが箱を開けたらそんな迷いは吹っ飛びました種類も豊富だし賞味期限もまだまだありました。これからしばらく楽しいティータイムを過ごせそうです
8,B0894Z3YQK,紅茶好きのおうち時間200P ティーバッグ,KarelCapek(カレルチャペック),めいまま,2021年3月28日,4.0,お得です,バリエーションが豊富で、気分や体調に合わせて、飲みたいお茶を選べます。紅茶だけでなく、ハーブティも入っていたのですが、またこれが美味しいのです。
9,B0894Z3YQK,紅茶好きのおうち時間200P ティーバッグ,KarelCapek(カレルチャペック),ししゃも,2021年3月16日,5.0,お得です(*'∇｀*),おうち時間が多いので200Pあると在庫を気にせず飲めるので助かります。春の新商品も入っていたので得した気分でした。家の在庫がなくなったらリピートしたいです。
10,B0894Z3YQK,紅茶好きのおうち時間200P ティーバッグ,KarelCapek(カレルチャペック),Amazon カスタマー,2021年5月8日,5.0,その日の気分や体調に合わせて選べます,その時の期間限定のお茶も入っていました。たくさん飲めるので本当にお得ですね。なくなったらまた頼みたいです！
11,B0894Z3YQK,紅茶好きのおうち時間200P ティーバッグ,KarelCapek(カレルチャペック),Haru,2021年1月26日,5.0,デイリーユースにぴったり♬,カレルチャペックの美味しい紅茶が、お得に買えました。他のレビューでもありましたが、人気のティーバッグシリーズは、12種5個ずつでなく6種10個ずつでした。でも、ショートケーキやチャイも入っていてうれしいです。
12,B0894Z3YQK,紅茶好きのおうち時間200P ティーバッグ,KarelCapek(カレルチャペック),Amazon カスタマー,2020年10月13日,5.0,種類たくさん！,学生時代は吉祥寺の店舗にうかがっていましたが、社会人になり遠ざかっていました。(そもそも紅茶から)在宅勤務になり、いろんな紅茶をのみたくなったので購入しました！おすすめです！
