,ASIN,product,brand,name,date,score,title,comment
0,B08DTTPFGZ,トワイニング アール グレイ ルイボス 20P ×2箱 デカフェ・ノンカフェイン ティーバッグ,トワイニング,dalahast,2020年11月27日,5.0,アールグレイの香りがよく美味しい。水出しもOK。,アールグレイの香り、おいしいルイボス の濃いめの味でまとめ買いをしました。カフェインが入っていないのが良いですね。
1,B08DTTPFGZ,トワイニング アール グレイ ルイボス 20P ×2箱 デカフェ・ノンカフェイン ティーバッグ,トワイニング,カスタマー,2021年6月14日,3.0,探し求めてた紅茶,トワイニングのアール グレイ ルイボスより普通のトワイニングのリッチルイボスの方が個人的には飲みやすいと思いました。リピはないと思います。
2,B08DTTPFGZ,トワイニング アール グレイ ルイボス 20P ×2箱 デカフェ・ノンカフェイン ティーバッグ,トワイニング,citratus,2021年3月1日,5.0,おいしいです,砂糖を入れなくてもほんのり甘い感じのするお茶普通のルイボスティーより格段に美味しいと感じるミルクティーも好きな人は好きだと思う
3,B08DTTPFGZ,トワイニング アール グレイ ルイボス 20P ×2箱 デカフェ・ノンカフェイン ティーバッグ,トワイニング,fit,2021年4月3日,5.0,普通かな？,カフェインレスの飲み物の中では味がしっかりしています。味自体は柑橘が効いていて、爽やかです。ファスティングを定期的にやっているので、安心して飲めます。
4,B08DTTPFGZ,トワイニング アール グレイ ルイボス 20P ×2箱 デカフェ・ノンカフェイン ティーバッグ,トワイニング,岩尾 一輝,2020年9月2日,5.0,一度は飲んでみて欲しい,まず、これは原材料を見る限り、ルイボス、香料と書かれていますので、ルイボスティーにベルガモットの風味をつける、アールグレイティの加工をしたものでしょう。アールグレイ紅茶を混ぜているわけではなく、フレーバールイボスティーなのでカフェイン0です。カフェインを控えたい方も安心していただけます。ここから実飲レポート。お湯を注ぐと立ち上るホワッといい香り。鼻を近づけて嗅ぐと、ルイボスティーの匂いに確かに少し柑橘のようなアールグレイが混ざってます。ルイボスらしい明るめの水色。この香りと色だけで、これは美味しく飲めるルイボスティーだなとわかります。指定通り、２分ほど蒸らし出して、まずはストレートでいただきました。これはクセを感じない、飲みやすいお味。確かにルイボスなのですが、アールグレイ混じりのためかルイボス独特の、ルイボスティが苦手な方が「ルイボスティはクセがあるから」というそのクセがほぼないように感じられます。口に含んで、飲み込んで、口の中に少しアールグレイの風味が残る感じ。ストレートでいただいてから、ミルクを注いでミルクティーにしてみました。ミルクティー…おいっしい…！！！ミルクティーの方が不思議とルイボスティー自体のルイボスの味が感じられます。ルイボスティーが元々ミルクティーにするのが合うので、マッチした部分がよく引き出されているようです。そして、口に含んだものを飲みこむと、やはり口の中にホワッとアールグレイの香りが残る感じ。これはミルクティーがベストマッチだと感じました。結論ストレート美味しいが、ルイボスティーの味わいは控えめ。アールグレイを飲みたいけれど、カフェインを控えたいという人が、アールグレイ紅茶の代用として飲むのもアリの味わい。ミルクティーベストマッチ。ルイボスティーの美味しさが牛乳を入れることで増し、素晴らしく美味しいです。アールグレイの風味もちゃんと生きていて美味しい。本当に美味しいルイボスティーを楽しみたいなら、ミルクティーをおすすめします。全体的な味ルイボスティーに抵抗のある方が言う「ほこりっぽいような」「クセが強い」という部分を感じないルイボスティーです。大変に洗練された味。ルイボスティーをはじめて飲む方にこそ、トワイニングのような大きなティーメーカーのルイボスティをはじめはすすめたい。きちんと多くの人に飲みやすいように調合された洗練された味です。つまり、美味しくて難度が低い。雑貨屋さんや輸入食料品店で素敵なパッケージで売っているルイボスティー、美味しいだろうとは思うのですが、そういうものは「ルイボスティーに慣れた人が」飲むのに向いています。ルイボスティーのクセが強めでも、これはこういう味なんだな、と普通に美味しくいただけるからです。初めての方は「え！クセが強い！」とはじめでつまづかないように、こういう飲みやすくて雑味もなく洗練されたルイボスティーからはじめるのが一番おススメです。洗練された美味しさで、本当に美味しいのでとにかく牛乳を入れてみてください。ルイボスティーの真骨頂はミルクティーです。カフェイン0なところもよし。都合上、カフェインを控えたい方はそれなりにいらっしゃるかと思います。そうなると飲めるものは限られてくる。麦茶、ルイボスティー……そんな時にこのルイボスティーは味わいは飲みやすく、ティーバッグで手軽です
5,B08DTTPFGZ,トワイニング アール グレイ ルイボス 20P ×2箱 デカフェ・ノンカフェイン ティーバッグ,トワイニング,Amazon カスタマー,2020年9月8日,5.0,爽やかな飲み口です,アールグレイ ルイボス デカフェ・ノンカフェインという表記からルイボスとアールグレイ紅茶のブレンドかと思っていたらルイボスにアールグレイの香りを足したような意味合いでした。通常飲む紅茶はトワイニングのアールグレイなので、紅茶のアールグレイに比べると柑橘系の香りはやや弱いかなという印象です。しかしこの香りのおかげでルイボス特有の雑味（埃っぽさとか土っぽさ）は感じられずたいへん飲みやすくなっています。そもそもトワイニングのルイボスは雑味は少ない方ですが。ノンカフェインなので夜でも安心してアールグレイの風味を楽しめます。
6,B08DTTPFGZ,トワイニング アール グレイ ルイボス 20P ×2箱 デカフェ・ノンカフェイン ティーバッグ,トワイニング,clover,2020年9月7日,5.0,実飲レポートです,トワイニングは一番多く飲んできた紅茶のティーバッグです。信頼の味わいですので安心でした。カフェインを気にしてこれまで就寝前には飲めなかったのですが、これなら安心して寝る前に美味しくいただけるのでホッとしています。しっかりした柑橘系の香りが漂いました。アールグレイの味わいも深く、色合いも濃く、美味しく頂きました。アールグレイの豊かな味わいが伝わってきました。ほのかな苦みも酸味も感じられ、歴史あるトワイニングの紅茶ですので、安心して飲むことができました。カフェイン・ゼロですので、時間を問わず飲むことが出来ます。お湯の量は140ccにして少し牛乳を入れて飲みました。当たり前ですが美味しくいただきました。心穏やかに過ごす時間帯にゆっくりと飲む時間は至福の時ですね。
7,B08DTTPFGZ,トワイニング アール グレイ ルイボス 20P ×2箱 デカフェ・ノンカフェイン ティーバッグ,トワイニング,windmind,2020年9月12日,5.0,ルイボスが更に飲みやすく,◯　基本は普通のルイボスティー◯　そこにプラスでアールグレイの香り基本的には普通のルイボスティーです。もちろんカフェインゼロなので飲むタイミングはいつでもOK。普段からルイボスティーは飲んでいますが、遜色なく飲める美味しいルイボスティーです。特徴は少し香るアールグレイ。普通のルイボスを知ってると「お？」となる香り。ルイボス自体があまり特徴のないお茶なので、この香りによるアクセントは面白くていいですね。
8,B08DTTPFGZ,トワイニング アール グレイ ルイボス 20P ×2箱 デカフェ・ノンカフェイン ティーバッグ,トワイニング,sato,2020年8月31日,4.0,レモンティーのような香りと味,オレンジを含むとありますがどこか柑橘類の酸味も含まれていてさらりとしていて後味の甘さも控えめなさっぱりとしたティーです。ホット用ですがコップにティーパックを入れてしばらく冷蔵庫で冷やすとアイスでも楽しめます。ちょっと気分転換に、リラックスしたいときなどにノンカフェインということもあり、落ち着けるティーだと思えました。
9,B08DTTPFGZ,トワイニング アール グレイ ルイボス 20P ×2箱 デカフェ・ノンカフェイン ティーバッグ,トワイニング,雨水,2020年9月8日,4.0,柑橘のいい香りで満たされるティータイム,ややクセがあり好みの分かれるルイボス茶に、ベルガモットの香りをプラス。紅茶という印象は薄く、クセが消えて飲みやすくなったルイボス茶にほのかにアールグレイの香りがついている、という感じ。ノンカフェインなので夜も気にせず飲めるのは嬉しい。ホットでも、アイスでも。アイスで飲む場合は、時間の余裕があるなら水出しをお勧めしたい。前の晩からティーバッグを水に放りこんで、冷蔵庫に放置するだけ。熱湯でいれたあと氷で冷ませば早いけど、水出し茶はまろやか。
