,ASIN,product,brand,name,date,score,title,comment
0,B08G4NFRR6,AGF ブレンディスティック 紅茶オレ 糖質オフ 8本 ×6箱 粉末,AGF(エージーエフ),ペトロフ,2021年2月18日,5.0,これなしでは夜は明けない,スティックタイプのコーヒーや紅茶を度々購入していますがらこれは、糖質を抑えられ、味も美味しいです毎日飲んでますが、飽きません。
1,B08G4NFRR6,AGF ブレンディスティック 紅茶オレ 糖質オフ 8本 ×6箱 粉末,AGF(エージーエフ),ma*,2021年1月13日,4.0,甘さは控えめです,標準的な美味しさです。同じブレンディの少しリッチなシリーズの物より香りが凝ってないので此方の方が安心して飲めます。薄く感じる方もいるかもしれません。私は湯量を少なくして飲んでいます。
2,B08G4NFRR6,AGF ブレンディスティック 紅茶オレ 糖質オフ 8本 ×6箱 粉末,AGF(エージーエフ),Amazon カスタマー,2021年2月3日,4.0,美味しいです,今 流行のキャラメル風味のラテです。岩田剛典さんCM 。.:*:・'°☆緑のカフェオーレの姉妹商品一度飲んでみて下さい(6箱 × 8本入り)
3,B08G4NFRR6,AGF ブレンディスティック 紅茶オレ 糖質オフ 8本 ×6箱 粉末,AGF(エージーエフ),Amazon カスタマー,2021年3月14日,5.0,標準的,個人的にはこの味は気に入りました。但し、甘い物が苦手な方は遠慮しといた方がよろしいです。あ、今飲みたいな、と思ったらすぐ飲めるので、お手軽ですし。
4,B08G4NFRR6,AGF ブレンディスティック 紅茶オレ 糖質オフ 8本 ×6箱 粉末,AGF(エージーエフ),ココアちやん,2021年6月28日,2.0,今 流行の キャラメル風味です。,スーパーやドラッグストアより安かったので購入しました。ホットはもちろん、アイスにもできるので気分によって楽しめます。この味の大容量パックが出てきてくれたらうれしいです。
5,B08G4NFRR6,AGF ブレンディスティック 紅茶オレ 糖質オフ 8本 ×6箱 粉末,AGF(エージーエフ),yabudesu,2020年9月14日,5.0,お手軽なのにうまい,ウオーターサーバーでいつも 飲んでいます美味しい です♪
6,B08G4NFRR6,AGF ブレンディスティック 紅茶オレ 糖質オフ 8本 ×6箱 粉末,AGF(エージーエフ),YY,2021年3月6日,4.0,手軽に飲めておいしい。,美味しいです。甘すぎず良いです。
7,B08G4NFRR6,AGF ブレンディスティック 紅茶オレ 糖質オフ 8本 ×6箱 粉末,AGF(エージーエフ),haruharu,2021年1月11日,5.0,生徒達にも 人気です♪,美味しいです。
8,B08G4NFRR6,AGF ブレンディスティック 紅茶オレ 糖質オフ 8本 ×6箱 粉末,AGF(エージーエフ),Amazon カスタマー,2020年11月20日,2.0,おいしいです,思った味と違っていた、あまり味の特徴が無くコーヒー感が無く普通のカフェオレです。
9,B08G4NFRR6,AGF ブレンディスティック 紅茶オレ 糖質オフ 8本 ×6箱 粉末,AGF(エージーエフ),Amazon カスタマー,2021年2月20日,4.0,罪悪感なく美味しいので、大満足‼️,味道还行（不如说速溶基本都是这个味）不过最近才发现附近的超市比这便宜
10,B08G4NFRR6,AGF ブレンディスティック 紅茶オレ 糖質オフ 8本 ×6箱 粉末,AGF(エージーエフ),Amazon カスタマー,2021年3月24日,4.0,味に特徴が無い,近所で糖質オフの商品が見つからないので買えてよかったです。
11,B08G4NFRR6,AGF ブレンディスティック 紅茶オレ 糖質オフ 8本 ×6箱 粉末,AGF(エージーエフ),LI,2021年6月20日,4.0,可,糖質オフの割に甘さを感じる
12,B08G4NFRR6,AGF ブレンディスティック 紅茶オレ 糖質オフ 8本 ×6箱 粉末,AGF(エージーエフ),まーさん,2021年2月7日,4.0,買えた,飲みやすくてよく飲んでます。
13,B08G4NFRR6,AGF ブレンディスティック 紅茶オレ 糖質オフ 8本 ×6箱 粉末,AGF(エージーエフ),ja,2021年2月4日,5.0,けっこう甘く感じる,糖質オフなのに最高においしいです
14,B08G4NFRR6,AGF ブレンディスティック 紅茶オレ 糖質オフ 8本 ×6箱 粉末,AGF(エージーエフ),淑江,2021年2月10日,4.0,飲んでます,美味しい
15,B08G4NFRR6,AGF ブレンディスティック 紅茶オレ 糖質オフ 8本 ×6箱 粉末,AGF(エージーエフ),Amazon カスタマー,2021年2月16日,5.0,おすすめします,甘味もあり、とても美味しいです。
16,B08G4NFRR6,AGF ブレンディスティック 紅茶オレ 糖質オフ 8本 ×6箱 粉末,AGF(エージーエフ),Amazon カスタマー,2020年9月3日,5.0,ビターとあるけれど,キャラメルとミルクの甘香ばしい味わいが在宅で疲れた時の気分転換にぴったりです。
17,B08G4NFRR6,AGF ブレンディスティック 紅茶オレ 糖質オフ 8本 ×6箱 粉末,AGF(エージーエフ),川尻,2020年10月15日,5.0,甘さ控えめ,冬が近づき、寒くなってもすぐにココアが飲めるようにと購入しました。ブレンディスティックの中ではこの味が一番美味しいです。
18,B08G4NFRR6,AGF ブレンディスティック 紅茶オレ 糖質オフ 8本 ×6箱 粉末,AGF(エージーエフ),あかさたな,2021年1月17日,5.0,美味しい〜〜,糖質オフなのも嬉しいし、買いに行って、ピンポイントでコレを購入するのは結構困難なので、Amazonさんで簡単に買えるのは凄く有り難いです。
19,B08G4NFRR6,AGF ブレンディスティック 紅茶オレ 糖質オフ 8本 ×6箱 粉末,AGF(エージーエフ),アマゾンAAT,2021年5月23日,5.0,美味しい!大満足!,甘めのキャラメルラテを探してました。とても美味しいです。甘さ控えめが良い人には甘すぎるかもです。
20,B08G4NFRR6,AGF ブレンディスティック 紅茶オレ 糖質オフ 8本 ×6箱 粉末,AGF(エージーエフ),×××@kina,2021年3月4日,5.0,助かる‼︎,キャラメルの味なのか、華やかな感じがするコーヒーです。コーヒーが苦手でも飲めました。ココア入りのモカコーヒーとか味をかえて飲んでいます。購入はアマゾンで！
