,ASIN,product,brand,name,date,score,title,comment
0,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,toshi,2021年1月4日,4.0,500ｍｌボトルで利用,宣伝通り、ボトルに入れっぱなしで良いので朝、仕事用に準備するのが楽で有難いです。味も香りもリプトンなので美味しいし良い香りで癒されます。ただ一点、もう少し安いと助かります。
1,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,まーやん,2021年1月17日,2.0,渋くならない,規定通りにお湯を入れると、私にはちょっと薄い味です。2つくらいがちょうどいいです。
2,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,たろん,2020年12月15日,4.0,時短になり有難い,仕事場で使用しています。味はやはり少し濃いようです。色々な味が出来たら嬉しいです。
3,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,suspender,2021年6月24日,5.0,ちょっと薄い？,美味しいですね。確かに時間が経っても渋味というか苦味が出ないので美味しくいただけます。たくさん飲みたいので普通のティーバッグ では物足りない私は大きいマグにこれを使って普段使いで飲んでいます♪
4,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,T,2021年4月20日,4.0,便利,750mlの水筒で使用しています。朝入れてから昼過ぎまで飲み終わるまで味が濃くならず、渋みも出ませんでした。しいて欠点を上げるとすると、マグタイプの水筒を使う場合、中身が少なくなってくると口の方に茶葉が入った袋が移動してきて口を塞いで飲み辛くなること。
5,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,さとうさん,2021年1月20日,5.0,たしかに,ハイ、美味しくいただきました(^.^)香りも良くってリラックスできました(^^)お友達にもプレゼントしました。皆、喜んでくれました♪
6,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,Amazon カスタマー,2021年1月29日,5.0,濃くならない,渋くならずに素晴らしいです！美味しくて良い香り。出来ればもう少しだけリーズナブルな価格だと助かります。
7,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,交換方法など苦手な人より,2021年2月6日,5.0,ホンマ、入れっぱなしでも美味しいよ,美味しい😋そのまま水筒に入れてすぐできるのでとってもいいです！
8,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,ナポリ,2021年2月15日,4.0,タンブラーに入れてて何時間か経っても渋くならない,飲みやすくて、美味しいです。安く購入できて嬉しいです。
9,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,Kindleのお客様,2021年3月19日,5.0,便利だけど、お値段がちょっと,香りと味は大人。クセがあるので、牛乳を入れますとマイルドになります。
10,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,届きました,2021年3月31日,5.0,飲みやすくて美味しい,ほんとに入れっぱなしでも渋くならない。感動した。
11,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,こやぎ,2021年5月5日,1.0,まず試して見よう。,味も香りも薄くて美味しくないです。ボトルに入れっぱなしでいいと言うのに惹かれて買ったけど、どうやって淹れても不味いので全部捨てました。ガッカリです
12,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,Amazon カスタマー,2021年4月29日,5.0,美味しい,マイボトルに入れっぱなしでいいのがすごくいい美味しいです
13,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,kiki☆★,2021年2月19日,5.0,不味い,タンブラーで使えるのが便利。お湯の量もカップ用に比べて、多めに紅茶を楽しめるし、入れっぱなしでもいいので、楽。香りが素敵。
14,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,ぐーす,2020年12月7日,5.0,楽で美味しい,ズボラな人におすすめ入れっぱなしでも味もちょうど良く楽
15,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,Amazon カスタマー,2021年2月3日,5.0,楽。素敵な香り,ボトルに入れたままで 苦くならずに 最後まで 美味しく飲めて 満足してます‼️
16,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,こんぶ,2021年1月4日,5.0,仕事のおとも,パックをずっとボトルに入れてても苦くならず味も爽やか
17,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,Amazon カスタマー,2021年2月3日,5.0,満足です。,すごいおいしくていつもリピしてます！！
18,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,せちゃん,2021年4月9日,1.0,おいしい,味がうすい
19,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,kook9192,2020年11月8日,5.0,リピ商品！,いい味でした
20,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,宮下,2020年9月27日,4.0,今一,マイボトルやポットに入れっぱなしで良いというのは楽で良いですね。抽出しすぎで、えぐみが出たりしません。アールグレイにシトラスの香りが加わっているのですが、アールグレイの香りがかなり押さえ込まれている感じがします。バランスは悪くないのですが、アールグレイ好きにしてみれば少々不満といったところ。味も飲みやすくなっています。アイスにするとゴクゴクいけるかと。ティーバッグは賞味期限と使い切りの問題があるので、このサイズが丁度良いかも知れません。2020/09の注文で、賞味期限は2022/07でした。十分ですね。
21,B08G4TZZM3,リプトン キープ&チャージ リフレッシュ アールグレイ ティーバッグ 10袋入 ×6袋,リプトン,木村 守秀,2020年9月21日,5.0,また買います,リプトンの王道のアールグレイティーバッグです。ほんのりオレンジのようなシトラスのフレイバーがプラスされていて、スッキリとした味わいです。通常のティーバッグよりも少し小さめサイズで、一人分としても、マイボトル用としても十分に紅茶の香りと味が楽しめる容量です。入れたまま放置はやはり濃くなり過ぎてしまうので、お好みの濃さでティーバッグを出したほうが美味しいと思います。数日で使い切れるジッパー付き保存袋なので、香りが飛ぶことがなく最後まで美味しい紅茶を入れることができて便利だと思います。
