,ASIN,product,brand,name,date,score,title,comment
0,B08G4YF4M4,三井農林 日東紅茶 水出しアイスティーアールグレイ TB 100袋入り ティーバッグ,日東紅茶,KAZOO,2021年4月16日,5.0,おすすめ！美味しい！,水出しで簡単。味もスッキリしていて美味しくて気に入りました。ミルクやガムシロップ入れても美味しいです。3月のタイムセールで1875円でした。
1,B08G4YF4M4,三井農林 日東紅茶 水出しアイスティーアールグレイ TB 100袋入り ティーバッグ,日東紅茶,knife,2021年6月2日,5.0,水出しで美味しい,外食でアイスティーをいれて頂いてから、うちでも美味しいアイスティーが飲みたいなぁと思って購入しました。この時期から愛飲しています。とても美味しいです。
2,B08G4YF4M4,三井農林 日東紅茶 水出しアイスティーアールグレイ TB 100袋入り ティーバッグ,日東紅茶,Amazonカスタマー,2021年4月11日,5.0,美味しいです,冷蔵庫内の常備品です。水だしタイプの割に味と香りが濃厚で、夏の水分補給等にピッタリだと思います。
3,B08G4YF4M4,三井農林 日東紅茶 水出しアイスティーアールグレイ TB 100袋入り ティーバッグ,日東紅茶,バニララテ,2020年12月19日,4.0,とても美味しい,いつもは スーパーで買っていましたが、いくたびに買うのがめんどくさいので Amazonで 買いました。結構美味しいです。 家族で飲んでいます 香りも良いですし、ティーパックになっているので後片付けが楽です。
4,B08G4YF4M4,三井農林 日東紅茶 水出しアイスティーアールグレイ TB 100袋入り ティーバッグ,日東紅茶,バルサ大好き,2021年1月29日,5.0,水だしタイプなのに味と香りが濃厚です。,一年中、ポットに入れて飲んでいます。ポットが大きい為に注ぎ足しにも便利です。大容量でも香りも変わらずに維持できて満足です。冬場はミルクティーにして飲んでいます。
5,B08G4YF4M4,三井農林 日東紅茶 水出しアイスティーアールグレイ TB 100袋入り ティーバッグ,日東紅茶,Amazon カスタマー,2021年6月20日,3.0,味良し 香りよし,万人に好まれる商品だ。
6,B08G4YF4M4,三井農林 日東紅茶 水出しアイスティーアールグレイ TB 100袋入り ティーバッグ,日東紅茶,Amazon カスタマー,2021年1月7日,4.0,変わらない美味しさ🎵,おいしくたくさんあり紅茶好きには嬉しいです。
7,B08G4YF4M4,三井農林 日東紅茶 水出しアイスティーアールグレイ TB 100袋入り ティーバッグ,日東紅茶,澤　秀明,2021年2月3日,5.0,香りがいい,味は香り高くとても気に入っています。高く見えますが、一つ25円で500飲めるので気に入っています。
8,B08G4YF4M4,三井農林 日東紅茶 水出しアイスティーアールグレイ TB 100袋入り ティーバッグ,日東紅茶,オケイ,2020年11月1日,5.0,早く良く出る,水出しなのに風味はかなり良いです。オススメ
9,B08G4YF4M4,三井農林 日東紅茶 水出しアイスティーアールグレイ TB 100袋入り ティーバッグ,日東紅茶,さおり,2021年6月12日,5.0,まとめ買い,妻が毎日ペットボトル紅茶を嗜好しているので、コスパが悪いのとペットボトルがたまってしまうので作った安いかなと思って購入しました。味はかなり美味しいですね。安い言う事なしです。ゴミも減りますしね。
