,ASIN,product,brand,name,date,score,title,comment
0,B08GQFRS81,キーコーヒー フルーティーパレット フルーツミックスティー 7本入 ×6箱 粉末,キーコーヒー,ゆう,2021年7月11日,5.0,おすすめ！,水でも溶ける粉末で、携帯しやすいです
1,B08GQFRS81,キーコーヒー フルーティーパレット フルーツミックスティー 7本入 ×6箱 粉末,キーコーヒー,まめ子,2020年9月25日,3.0,とにかく美味しかった香りもとても良かった,まず、けっこう甘いですね砂糖入れすぎです甘いもん食べた後に飲むとかには全く合いませんそして紅茶感はあまりない香りはほぼ桃やたら甘い桃風味のお湯です表示にあるとおり桃とグァバはあくまでもイメージで果汁は一切入ってません香料で再現してあるだけですレモンは酸味を出すためかちゃんと入っておりたしかに甘い中にフルーツっぽい酸味が感じられますま、安くてお手軽なんでそれに見合った味ですね高級紅茶のフリして、これくらいのクオリティのぼったくり紅茶も世の中に多々ありますし（缶だけすごい高級感出して）それからするとちゃんと安いんでヒジョーに親切だと思います
2,B08GQFRS81,キーコーヒー フルーティーパレット フルーツミックスティー 7本入 ×6箱 粉末,キーコーヒー,かゆり,2020年10月1日,4.0,美味しいです,フルーツミックスティーという事でほとんど想像通りの味ですね。非常にフルーティーで甘く飲みやすい紅茶です。桃の味が強めに感じます。個人的にはちょっと甘すぎると感じますが、まぁこの辺りは好みによるでしょう。推奨湯量は140mlですがそれだとやや少なく感じるので私は2倍くらいのお湯で作っています。それでも薄く感じる程ではないです。それとお湯だけでなく水で作っても綺麗に溶け切るのでアイスでも手軽に楽しめるのが良かったです。水OKと書かれている物であっても実際やってみると粉っぽさが残ってしまい、舌触りがザラザラするインスタント飲料も少なくないのですが、これは本当に綺麗に溶けて全く粉っぽさは無く美味しくいただけました。なお2020年9月注文品で賞味期限は2021年12月までとかなり長めでした。
3,B08GQFRS81,キーコーヒー フルーティーパレット フルーツミックスティー 7本入 ×6箱 粉末,キーコーヒー,京都堀川姉小路『万物創造房』,2020年9月28日,4.0,甘い桃風味のホットジュース,水でとくだけでも、しっかりと香り高いフルーツティーが味わえるのは嬉しい。お湯だとスッととけて便利。ピーチのフレッシュな味に、さっぱりしたグァバの旨味と、レモンのキリッとした酸味が奥深くとてもいいバランス。使われている紅茶も、粉末とは思えないくらい紅茶として美味しい。味わいが”フレーバードティー”ではなく、ちゃんと”フルーツティー”であるのも、これでビタミンC入りというのもいいところ。ただ、折角のフルーツのしっかりした味わいが、砂糖の甘味がきつくて、フルーツじたいの甘さとして感じられないのは残念。一般の砂糖入り紅茶飲料と比べれば普通の甘さ程度だとは思われますが、やはりフルーツをメインにしているのであれば、もう少し甘みをおさえてある方が美味しかったのではないかと思います。
4,B08GQFRS81,キーコーヒー フルーティーパレット フルーツミックスティー 7本入 ×6箱 粉末,キーコーヒー,どっぺる,2020年9月27日,4.0,水にも綺麗に溶けるのでアイスでも楽しめる、味は甘い,粉状の透き通った紅茶、という珍しい製品です。お湯にも水にも溶けやすく、場所を選ばず使いやすいと思います。「フルーツフレーバーのついた紅茶」をイメージしていましたが、味は甘味がかなりしっかりしていて、デザート代わりに飲む雰囲気です。お菓子と一緒に、という使い方にはあまり向かない味付けだと思います。紅茶が苦手な中高生などにも受け入れやすいのではないでしょうか。
5,B08GQFRS81,キーコーヒー フルーティーパレット フルーツミックスティー 7本入 ×6箱 粉末,キーコーヒー,わいじょん,2020年9月25日,5.0,甘いのが好きであればおすすめ。,こちらはスティックタイプの紅茶です。水で簡単に溶けました。アイスティーにして飲む場合でもお湯で溶かす必要がなく便利です。味の方は、レモンの酸味とフルーツの甘味がバランスよくミックスされて、トロピカルなレモンティーといった感じで美味しいです。後味もスッキリしています。ホットで飲むより、キンキンに冷やしてアイスで飲む方をお奨めします。
6,B08GQFRS81,キーコーヒー フルーティーパレット フルーツミックスティー 7本入 ×6箱 粉末,キーコーヒー,right-s,2020年9月26日,5.0,溶けやすく使いやすい。甘さが際立つデザート感覚の味付け,爽やかさと甘味のバランスが非常に良く、大変美味しくいただくことができました。また、お湯はもちろん水にも溶けやすく、ダマにならなかったのは嬉しいですね。1杯140mlで40円というのは結構高いかな～という感じですが、この味は本当に良いです。値段が気にならなければぜひ。
7,B08GQFRS81,キーコーヒー フルーティーパレット フルーツミックスティー 7本入 ×6箱 粉末,キーコーヒー,柴リアンダイスキー,2020年10月1日,5.0,トロピカルなレモンティー,あのキーコーヒーの紅茶ということで興味があってお試し。かなり美味しかったです。フレーバーがちょうど良い強さ。味は他メーカーの粉末レモンティーに近いように感じましたが、このフレーバーが爽やかでとても良いです。ピーチの甘い香りにレモンとグァバの爽やかな香りが混じって、なんとも言えない複雑なブレンド紅茶の風味。流石に茶葉で入れる紅茶と比べるとお茶の香りは弱いですが、このフレーバーがとても気に入りました。手間がかからず本格的な味が楽しめるので、来客用にも良さそうです。
8,B08GQFRS81,キーコーヒー フルーティーパレット フルーツミックスティー 7本入 ×6箱 粉末,キーコーヒー,fiximixif,2020年9月27日,5.0,フルーティー感が良い,冷たい水でもきれいに溶けます。炭酸を注いでティーソーダにしましたが、美味しい！果実の甘味と紅茶香り、酸味もすこーしあり飲みやすい。140mlだと濃すぎるので、300mlくらい＋氷で飲んでいますが、充分楽しめます。美味しくいただいています！
9,B08GQFRS81,キーコーヒー フルーティーパレット フルーツミックスティー 7本入 ×6箱 粉末,キーコーヒー,天使のくま,2020年10月16日,5.0,もう少し甘くなくてもいいかな,果実感がかなりあり甘みが強めで美味しいです。ももの甘みとグァバの酸味を強く感じます、非常に溶けやすいためホットでもアイスでも手軽に作ることが出来て楽チンです。甘みが強めのため140mlの推奨水量では濃く感じるため私は二倍の280ｍｌにポッカレモンなどのレモン汁を少々入れて氷を入れてアイスティーにしていまうが非常にスッキリし美味しいです！ぜひご賞味ください!
