,ASIN,product,brand,name,date,score,title,comment
0,B08J3X523S,AHMAD TEA ( アーマッドティー ) デカフェ スウィーツティー セレクション ティーバッグ 20袋入り×3個 [ カフェインレス,AHMAD TEA (アーマッドティー),LCΩ6Fa,2021年1月20日,3.0,新たなジャンルのデカフェ紅茶！しかし香りと味には期待しすぎないように,香料がはっきりしていて、飲んでもその味がしないのが不思議な気分になりますが、気に入った香りならそれもまた良しです。アーマッドさんのデカフェのアールグレイの時に感じたように、どうも茶葉が湿気た感じの味がするのですが……個人的なものかな？味と香で相殺して星３つにします。
1,B08J3X523S,AHMAD TEA ( アーマッドティー ) デカフェ スウィーツティー セレクション ティーバッグ 20袋入り×3個 [ カフェインレス,AHMAD TEA (アーマッドティー),Bamse,2021年1月31日,5.0,美味しいです！,まだキャラメルフレーバーしか試していませんが、ミルクティーにして寝る前に飲んでみたのですが、水色はアーマッドティーのどれもですが、ミルクティーにすると薄く感じます。けれど香りはとても良く、乳脂肪が多い牛乳で作ったからか、とても濃厚で美味しいミルクティーになりました！私はそれでも砂糖などの甘味は足さずに飲むのが好きなので、充分美味しく頂きました。他の味がまた楽しみです。
2,B08J3X523S,AHMAD TEA ( アーマッドティー ) デカフェ スウィーツティー セレクション ティーバッグ 20袋入り×3個 [ カフェインレス,AHMAD TEA (アーマッドティー),購入者,2021年3月22日,5.0,香りはそのまま,ディカフェの中で、アーマッドティーが一番好きです。芳醇な香りはディカフェとは思えないです。ミルクティーにしても味がしっかりと濃くて、妊娠中から何度も何種類もリピしています。今回、甘い香りのフレーバーを見つけてテンションが上がりました。出産祝いでもばらまきまくってます。
3,B08J3X523S,AHMAD TEA ( アーマッドティー ) デカフェ スウィーツティー セレクション ティーバッグ 20袋入り×3個 [ カフェインレス,AHMAD TEA (アーマッドティー),Amazon カスタマー,2021年3月24日,1.0,やっぱりアーマッド！,デカフェと知らず買ってしまった(苦笑)やはりカフェインが入ってた方が美味しい。なにより、チョコレートやキャラメル等のフレーバーが味が全く感じられなかった。バニラに関してはいつもお店で購入しているので、そこまで抵抗無く飲めましたが…。
4,B08J3X523S,AHMAD TEA ( アーマッドティー ) デカフェ スウィーツティー セレクション ティーバッグ 20袋入り×3個 [ カフェインレス,AHMAD TEA (アーマッドティー),Piggyn,2021年1月30日,4.0,濃厚！芳醇！ミルクティーにも◎,3セットは多いなと思いながらも、生活圏内のスーパーで見つけられなかったのでAmazonで購入。どのフレーバーも濃いめに入れて、ミルクティーにすると合います。シナモンはストレートでも美味しいですね。カフェインレスのフレーバーはフルーツ系が多いので、新たな選択肢の1つとして通年販売を希望します。
5,B08J3X523S,AHMAD TEA ( アーマッドティー ) デカフェ スウィーツティー セレクション ティーバッグ 20袋入り×3個 [ カフェインレス,AHMAD TEA (アーマッドティー),Milliy,2021年7月9日,4.0,味にパンチ力も無くフレーバーも微妙,味は好き嫌い分かれると思います。普通の紅茶より薄味な気がしますが、デカフェはとてもありがたいです。香りはとても強く、ミルクティーにするとどれもいい感じに引き立ちます。個人的にはアップルパイと一緒にシナモンフレーバーを飲むのが凄く合っておすすめです。キャラメルとバニラは期待してた味ではなく、私はちょっと苦手だったかも…。3箱は要らなかったかな、、1.箱で満足しました。
6,B08J3X523S,AHMAD TEA ( アーマッドティー ) デカフェ スウィーツティー セレクション ティーバッグ 20袋入り×3個 [ カフェインレス,AHMAD TEA (アーマッドティー),HR,2020年11月2日,3.0,ノンカフェインの新たな選択肢,デカフェでフレーバー付きなので買いました。香りが今ひとつ好みではありませんでした。このシリーズではアールグレイとフルーツも試しましたがそちらの方が美味しかったです。
7,B08J3X523S,AHMAD TEA ( アーマッドティー ) デカフェ スウィーツティー セレクション ティーバッグ 20袋入り×3個 [ カフェインレス,AHMAD TEA (アーマッドティー),Amazon カスタマー,2021年3月2日,4.0,好みがかなり分かれそうな味,カフェインレスの紅茶はハーブティが多かったのですが、気分転換に頼んでみたら、美味しくいただけました3パックは多いので、他の紅茶と交互に飲んでテレワークの楽しみにしています
8,B08J3X523S,AHMAD TEA ( アーマッドティー ) デカフェ スウィーツティー セレクション ティーバッグ 20袋入り×3個 [ カフェインレス,AHMAD TEA (アーマッドティー),M.Y.,2021年3月24日,5.0,デカフェと思えない本格的な味わい,年齢を重ねるうちにカフェインに弱くなってしまった私にとって、癒しのティータイムに欠かせないお茶です。ミルクを入れたり、ココナッツオイルを少しだけ入れたり、甘みを足したり、その時の気分で色々アレンジして、まさにスイーツとして楽しんでいます。
9,B08J3X523S,AHMAD TEA ( アーマッドティー ) デカフェ スウィーツティー セレクション ティーバッグ 20袋入り×3個 [ カフェインレス,AHMAD TEA (アーマッドティー),くんりつ,2020年10月27日,4.0,チープな感じ,デカフェのスウィーツフレイバーとの事で、気分転換に買ってみました。少し香りが強めな気もします。また、シナモンは念のため産後に飲もうと思います。
