,ASIN,product,brand,name,date,score,title,comment
0,B08K9QZG3L,【Amazon.co.jp限定】 リプトン アップルカフェインレスティー 60袋入 デカフェ・ノンカフェイン ティーバッグ,リプトン,Amazon カスタマー,2021年5月11日,4.0,おいしい！,カフェインレスを探していたのて、ちょっとしたひと息の時に飲んでいます。空き瓶に入れながら小分けして利用。味は予想通り軽いりんご味です。
1,B08K9QZG3L,【Amazon.co.jp限定】 リプトン アップルカフェインレスティー 60袋入 デカフェ・ノンカフェイン ティーバッグ,リプトン,Kimi,2021年5月11日,3.0,薄味,香りはとても良い。味は普通の紅茶でノンカフェインなの？と思うほど。常飲するにはハーブ系は飽きやすいかも。
2,B08K9QZG3L,【Amazon.co.jp限定】 リプトン アップルカフェインレスティー 60袋入 デカフェ・ノンカフェイン ティーバッグ,リプトン,ねこ好きママ,2021年3月30日,1.0,コスト的にはお得,はじめてカフェインレス買ったけど、市販のアップルティーとは全然違う味でびっくりした。勉強代としてなんとか飲み干していきます。
3,B08K9QZG3L,【Amazon.co.jp限定】 リプトン アップルカフェインレスティー 60袋入 デカフェ・ノンカフェイン ティーバッグ,リプトン,青森りんご,2021年6月3日,4.0,大量です,アイスティーで飲んでます。紅茶だとたくさん飲むとカフェインのせいか胃が痛むときありまふがこれはノンカフェインのため負担なしです。アップルフレーバーのため満足感もあります
4,B08K9QZG3L,【Amazon.co.jp限定】 リプトン アップルカフェインレスティー 60袋入 デカフェ・ノンカフェイン ティーバッグ,リプトン,555,2021年3月20日,2.0,まずい,ティーバッグに穴が開いていた。味は悪くないです。思ってた通りの味がしました。リプトンカフェインレスティーよりも渋みがちゃんとあってイイと思いました。品質管理きちんとして欲しい。返品は出来ないようです。
5,B08K9QZG3L,【Amazon.co.jp限定】 リプトン アップルカフェインレスティー 60袋入 デカフェ・ノンカフェイン ティーバッグ,リプトン,まめまめ,2021年5月17日,5.0,満足！,私は満足、娘は普通の味が好きだったらしい濃いめにいれたら、ミルクティーでも美味しかったです
6,B08K9QZG3L,【Amazon.co.jp限定】 リプトン アップルカフェインレスティー 60袋入 デカフェ・ノンカフェイン ティーバッグ,リプトン,Sato,2021年1月20日,5.0,味は悪くないけど品質が…,カフェインレス中々大容量ないので助かります！
7,B08K9QZG3L,【Amazon.co.jp限定】 リプトン アップルカフェインレスティー 60袋入 デカフェ・ノンカフェイン ティーバッグ,リプトン,あやまま,2021年4月22日,5.0,コスパ良い,妻の人さんに伴って買った商品だったが、味、香りともに満足できる。妻は毎日のように飲むほど、いい商品と言っている。
8,B08K9QZG3L,【Amazon.co.jp限定】 リプトン アップルカフェインレスティー 60袋入 デカフェ・ノンカフェイン ティーバッグ,リプトン,Amazon カスタマー,2021年5月24日,5.0,美味しいですよ。,薬の関係でカフェインレスしか飲めないので頼みました。私は好きな味です。
9,B08K9QZG3L,【Amazon.co.jp限定】 リプトン アップルカフェインレスティー 60袋入 デカフェ・ノンカフェイン ティーバッグ,リプトン,ばあばです。,2020年11月23日,5.0,美味しい紅茶。,アップルティーはほどほどに飲みますがカフェインレスティーは初体験。カフェインレスでも何ら遜色なく美味しくいただけました。アップルの風味はしっかりありますが、アップル味は少し弱め。個人的にアップルの主張が強いティーはあまり好きではないので、これは嬉しかったです。逆に言うとアップル感が強いのが飲みたい方は少し肩透かしを食らうかも。カフェインレスとありますが、パッケージの説明には「できる限りカフェインを取り除いている」とあります。含有量はティーバッグ1袋で0.00gなので大丈夫かと思いますが、極度のカフェインアレルギーの方は気を付けた方がいいかも。
