,ASIN,product,brand,name,date,score,title,comment
0,B08KQDSCFH,[機能性表示食品] 伊藤園 おーいお茶 お抹茶 パウダー スティック 1.7g×32本 粉末,おーいお茶,adm,2021年1月2日,3.0,仕事中のリフレッシュに最適,迷いましたが、以前、100均のプロテイン用のボトルにお湯を入れて粉茶をシェイクしたら爆発した過去があるので、ボトル付きを買いました。底にこびりついたりもしますが、このボトルはしっかりしていてよかったです。お茶の味はＯＫ。機能はわかりませんが、とりあえず信じています。同じ成分のサプリはもっと安く購入できますが、高齢者は飲み込むのが面倒みたいなので、お茶として飲んでくれるのでありがたい。ただ、続けるのには少し高い感じがします。毎日続けるとなるとお値段が高いので星３つ。小分けじゃなくてよいので、もう少し安くしてくださいーもしくは、もっと安い同様の製品がでたらそっちに乗り換えたいです。
1,B08KQDSCFH,[機能性表示食品] 伊藤園 おーいお茶 お抹茶 パウダー スティック 1.7g×32本 粉末,おーいお茶,Amepon,2021年6月30日,5.0,ポケトルいらないかな,そもそも「医薬品」でもなく「特定保健用食品」でもない「機能性表示食品」のこの商品に、認知機能低下抑制効果など期待していない。企業の責任で機能性を表示できるとした「機能性表示食品」には、国の厳しい審査などがないからだ。メーカーでは1日の接種目安を2本としているが、普通に飲んだとして2本はなかなか飲めない。抹茶が濃いので胃が重くなる。グラスにあけると、驚くほどに緑色が濃く若干蛍光色が入っているようにも見える。毒々しいとも言える。しかしこれを抹茶割の割材とすると、とんでもなく美味しい。なかなか店頭販売していないのでAmazonで箱買いした。大正解だ。家での晩酌のグレードがかなり上がった。ほかのお茶飲料よりも高いので、企業努力で販売を継続しつづけて欲しい。
2,B08KQDSCFH,[機能性表示食品] 伊藤園 おーいお茶 お抹茶 パウダー スティック 1.7g×32本 粉末,おーいお茶,くろーばー,2021年2月18日,1.0,お値段がもう少し安ければいいなあ。,スーパーで一度購入し、お茶の甘味に感動して定期的に購入するようになりました。amazonでさらにお安く購入できると定期購入を始めました。1回目の定期購入の商品が届きましたので、手で箱を開けてすべての袋をストックの容器に移そうとした時に抹茶が飛び散りました。まだ一袋も開けていないのにおかしいと思い、粉が漏れている袋を探すと、一つの袋にカッターか何かで刺したような跡があり、そこから粉が噴き出てきてました。手で開けた箱にはカッターで切ったような跡は待ったくなかったので、保管時や配送時ではなく伊藤園の工場での個包装梱包時に何かあったのかと勝手に思いました。それでも高価なお茶なので衛生面は考えずそのまま飲んでしまいました。袋に残っていたお茶は酸化していたようで、いつもの甘味は全く感じませんでした。高価な買い物でしたが返品は考えておりません。本当に良い商品なので管理に気を付けて、これからも製造していただけたらと思います。安くても定期購入は辞めることにしました。
3,B08KQDSCFH,[機能性表示食品] 伊藤園 おーいお茶 お抹茶 パウダー スティック 1.7g×32本 粉末,おーいお茶,うちょ,2021年3月10日,4.0,大正解☆割材としてとても美味しい！！,抹茶のように茶筅でまぜたほうが良いくらい、濃厚です。抹茶として、色、味ともに、良いです。認知機能については、飲み始めたばかりなので、わかりません。味は、良いのですが、お値段がちょっとお高めです。
4,B08KQDSCFH,[機能性表示食品] 伊藤園 おーいお茶 お抹茶 パウダー スティック 1.7g×32本 粉末,おーいお茶,Sagittarius,2021年7月31日,2.0,一袋だけ亀裂がありました。,2箱で2678円で購入。1箱でも似たような金額でしたから、バーゲン品だろうとは思っていましたが、個包装であっても抹茶は劣化しやすい商品です。その旨断ってほしいレベルではないでしょうか？ちなみに前回(5月)は50％引きの購入で、1箱899円、半年以上の賞味期限がありましたので納得できましたが、賞味期限3か月の見切り品だと知っていたら、もっとお安くても注文しませんでした。家族が抹茶ラテにして飲んだりもしますので便利ではありますが、お抹茶としては普及品なのでもともとの価格設定も疑問です。
5,B08KQDSCFH,[機能性表示食品] 伊藤園 おーいお茶 お抹茶 パウダー スティック 1.7g×32本 粉末,おーいお茶,うさぎ,2021年1月24日,4.0,濃いお茶,抹茶好きとしては、手軽に抹茶を楽しめるのは凄くうれしい！こちらの商品はコンビニでも買えるので、Amazonで箱買いしたのがなくなった時や、家から職場に持っていった1本を飲み干した時に買えるのは最高！350mlなので、500mlだと個人的には嬉しいです笑定期便で3ｗ毎にしてますが、1日2本ペースで飲んでも(たまに1日3本飲んじゃう笑)間に合わないので、次は2ｗペースにしようか悩み中です笑ちょっと高いけど…機能性表示食品だから仕方ないですかね…！
6,B08KQDSCFH,[機能性表示食品] 伊藤園 おーいお茶 お抹茶 パウダー スティック 1.7g×32本 粉末,おーいお茶,あや,2021年1月4日,4.0,正味期限3か月…,同じ商品の缶タイプの物も買って飲み比べしましたが、個人的には缶の方は薄くてイマイチで粉末タイプの方が美味しく感じました。100均のシェイカーに粉末と水を入れて振れば溶け残りもなく、泡立てた方が抹茶ぽくて美味しいので沢山振るのがオススメです。ただ1日2本を毎日続けるとなるとお値段的に厳しいので★４つです。
7,B08KQDSCFH,[機能性表示食品] 伊藤園 おーいお茶 お抹茶 パウダー スティック 1.7g×32本 粉末,おーいお茶,里奈,2021年1月19日,3.0,手軽に美味しいお抹茶で健康に！,香りもよく、普通に抹茶を楽しみながら認知機能に効果があればと親に飲ませたのですが、かなり味が苦めでちょっと飲み切るのが辛いようです、、、ただ体に悪いものではないので、本当に認知機能に効果ありなら画期的な商品だと思いますが、もう少しマイルドな風味に出来ないものかと思います。
8,B08KQDSCFH,[機能性表示食品] 伊藤園 おーいお茶 お抹茶 パウダー スティック 1.7g×32本 粉末,おーいお茶,era,2021年1月1日,4.0,飲みやすいけど割高,味は緑茶というよりは、抹茶風味の青汁ぽいですが美味しいです。セットのボトルを使ってますが、水の量を計らなくていいので楽です。
9,B08KQDSCFH,[機能性表示食品] 伊藤園 おーいお茶 お抹茶 パウダー スティック 1.7g×32本 粉末,おーいお茶,小野寺　善男,2021年1月25日,4.0,超オススメ抹茶ドリンク,味　　　薄茶の抹茶(苦く無い)コスパ　悪い(100円切れば◎)良い点はアルミ缶なので冷蔵庫に入れて直ぐに冷えてくれる缶入りは遮光効果が良くグラスに入れて出すと色も味も褒められる昔抹茶のペットボトル入りを買った時に喉に粉が残る感じがしたがこちらとは雲泥の差、喉に残る事無く甘さも無いのでスルスル飲めます。
10,B08KQDSCFH,[機能性表示食品] 伊藤園 おーいお茶 お抹茶 パウダー スティック 1.7g×32本 粉末,おーいお茶,yori,2021年2月2日,3.0,美味しいです。,"気に入ったこと:味がおーいお茶そのもの気に入らないこと:シェイカー無しでは全く溶けません(^-^;茶せんでたてて水を入れ飲みました。リピはないなぁ(-""-;）理由:価格的に、本当の「抹茶」を購入した方が良いかもしれません。"
11,B08KQDSCFH,[機能性表示食品] 伊藤園 おーいお茶 お抹茶 パウダー スティック 1.7g×32本 粉末,おーいお茶,Pandora,2021年2月16日,5.0,飲みやすい薄茶,近くのスーパーで、置いてあったり、なかったりしたので、いっそのこと、まとめて買ってしまうことにしました。まとめ買いをすると、飲みたいときに飲むことができて便利です。缶を開けてそのままいただくのもよろしいですが、いろいろミックスして飲むのも楽しいです。
