,ASIN,product,brand,name,date,score,title,comment
0,B08L3VCTM1,伊藤園 エコティーバッグ おーいお茶 緑茶 (抹茶入り) 1.8g×120袋,おーいお茶,いんでぃ,2021年4月15日,5.0,賞味期限、短っ‼︎,このお値段でしたら問題ないお味です。お弁当にもお湯と一緒に持って行っています。休みの日も、ちょっとお茶を飲みたい時にすぐ入れられて便利です。
1,B08L3VCTM1,伊藤園 エコティーバッグ おーいお茶 緑茶 (抹茶入り) 1.8g×120袋,おーいお茶,Lani,2021年4月16日,2.0,賞味期限が！！,価格なりの品質で風味・香りともイマイチなティーバック。味も薄く緑茶好きには物足りない商品。安くてもお勧め出来ない。
2,B08L3VCTM1,伊藤園 エコティーバッグ おーいお茶 緑茶 (抹茶入り) 1.8g×120袋,おーいお茶,わんco,2021年2月27日,5.0,手軽に飲めて便利です,元々濃い緑茶が好みで、おーいお茶は濃い味を好んで飲んでいます。これも抹茶が効いていて濃く出るので美味しく頂いています。
3,B08L3VCTM1,伊藤園 エコティーバッグ おーいお茶 緑茶 (抹茶入り) 1.8g×120袋,おーいお茶,AI_Life,2021年6月26日,1.0,もっと良い茶葉を使ってほしい,お買い得さ満点で購入しましたが、賞味期限が早すぎる。届いたのは6月２６日、賞味期限は今年の9月。少し早い気がします。次は買わないかな。賞味期限早いならもっと安くして欲しい。
4,B08L3VCTM1,伊藤園 エコティーバッグ おーいお茶 緑茶 (抹茶入り) 1.8g×120袋,おーいお茶,足柄のトモ,2021年4月14日,5.0,濃く出ておいしい,職場でよく飲むので、おいしくて、お得なものを探していました。袋もおしゃれです。なくなったらまた買うと思います。
5,B08L3VCTM1,伊藤園 エコティーバッグ おーいお茶 緑茶 (抹茶入り) 1.8g×120袋,おーいお茶,松本　あき,2021年2月2日,3.0,賞味期限,ティーバッグをお湯から取り出すときに5回振ってから取り出すとよい味になります。振らないと味が出ません。
6,B08L3VCTM1,伊藤園 エコティーバッグ おーいお茶 緑茶 (抹茶入り) 1.8g×120袋,おーいお茶,foochan,2021年6月13日,3.0,お得です,間違えました笑お買い得だし、味も文句ないけど夏は飲まん！
7,B08L3VCTM1,伊藤園 エコティーバッグ おーいお茶 緑茶 (抹茶入り) 1.8g×120袋,おーいお茶,さっきー,2021年4月20日,1.0,5回振ってから取り出すのが大切,4/17日に届いた商品ですが、賞味期限が8月でした。こんなに大容量なのに…
8,B08L3VCTM1,伊藤園 エコティーバッグ おーいお茶 緑茶 (抹茶入り) 1.8g×120袋,おーいお茶,山田たろう,2021年7月24日,3.0,とてもお買い得,お茶は美味しいものが欲しいですが，普段飲みはそこまで高いものは変えません．これはお手頃．お味も普段使いには十分です．
9,B08L3VCTM1,伊藤園 エコティーバッグ おーいお茶 緑茶 (抹茶入り) 1.8g×120袋,おーいお茶,Kindleユーザー,2021年5月22日,4.0,オシャレ,安くてそこそこ美味しいですが個人的には抹茶入のプレミアムの方が濃くて香りも良いので好きでした。飲み切ったらプレミアムに戻すと思います。外装は可愛いのでその辺に置いておいてもダサくならずに良い感じです。
10,B08L3VCTM1,伊藤園 エコティーバッグ おーいお茶 緑茶 (抹茶入り) 1.8g×120袋,おーいお茶,リップル,2021年6月6日,3.0,お手頃です,とても美味しいお茶です。しかしこの量で賞味期限がかなり短く、正直びっくりしました。美味しい間に飲めそうもありません。
11,B08L3VCTM1,伊藤園 エコティーバッグ おーいお茶 緑茶 (抹茶入り) 1.8g×120袋,おーいお茶,butter,2021年7月4日,2.0,プレミアムの後にこっちだと物足りないないかも,思ったほど色が出ず味も薄い気がします
12,B08L3VCTM1,伊藤園 エコティーバッグ おーいお茶 緑茶 (抹茶入り) 1.8g×120袋,おーいお茶,Amazon カスタマー,2021年7月15日,5.0,賞味期限に注意,沢山入っていてよかった
13,B08L3VCTM1,伊藤園 エコティーバッグ おーいお茶 緑茶 (抹茶入り) 1.8g×120袋,おーいお茶,石川美佐子,2021年6月27日,4.0,薄い,暑いので冷水でじっくり時間をかけて、緑色を出しています。
14,B08L3VCTM1,伊藤園 エコティーバッグ おーいお茶 緑茶 (抹茶入り) 1.8g×120袋,おーいお茶,白,2021年5月4日,4.0,良し,時間がない時だけでなく、普段でも充分に美味しくいただけるので、気に入りました。
15,B08L3VCTM1,伊藤園 エコティーバッグ おーいお茶 緑茶 (抹茶入り) 1.8g×120袋,おーいお茶,Amazon カスタマー,2020年10月11日,3.0,暑い夏場に購入したのが失敗でした。,安いと思います
