,ASIN,product,brand,name,date,score,title,comment
0,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,フミアキ,2021年4月3日,3.0,経済的でおいしい,確かに『濃い』です。烏龍茶の味もしっかりします。でも渋い。とにかく渋い。濃いのではなく渋いといったほうが良いかも。水出しなら渋みはマシなのでしょうか。
1,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,GurisGuris,2021年5月10日,5.0,烏龍茶といえば伊藤園かサントリー,2パック水出しで子供用に冷蔵庫に用意して大人は1パックお湯出しでホットでも。美味しくお手軽に本格烏龍茶楽しめます。
2,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,m.m.,2021年4月25日,5.0,濃い？渋い？,烏龍茶はいつもペットボトルで購入していましたが、もったいないと思い、パックの物を探していた所、伊藤園さんのものがあり、かなり期待して購入してみました。我が家では、1リットルのボトルに２つ入れていますが、市販の烏龍茶と同じ味で非常に美味しいです。120袋も入っていてお得です！絶対リピートします♪
3,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,もでぃお,2021年4月18日,5.0,夏は麦茶！から烏龍茶へ変更,やかんに沸かした1リットルにワンパック入れても十分濃く美味しいです。市販のサン〇〇ーの烏龍茶(ペットボトル)が好きですが同じ味です。沢山入っているので場所はとりますが、値段と味と総合的に見て120点。
4,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,A＆S mama,2021年4月13日,5.0,非常に美味しくてお得です！,友達家族がコレでだいぶ痩せたと聞いてスーパーで40P入り買ってましたが、スグ終わってしまうのでAmazonで大容量タイプ購入。効果のほどはまだ分かりませんが、継続は力なり☆しばらく続けてみようと思います！
5,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,Amazonカスタマー,2021年5月4日,5.0,美味しい。,1パックを1Lのティーポットに入れて水出しで使っています。1日程度抽出に時間を掛けて冷蔵庫で抽出すれば丁度良い濃さで美味しいです。お湯または水で抽出とありますが、個人的には水出しが最適じゃ無いかと思います。
6,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,JUN☆≡,2021年5月8日,5.0,痩せるかなー☆,お茶は濃いめが好きなので香りと渋味のバランスが絶妙なこちらの商品を愛飲しています。アマゾンで大容量を扱っているのを知り購入しました。買い足す手間が省ける上お得なのが良いですね。
7,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,月琴,2020年12月31日,5.0,コスパ最高です,伊藤園の烏龍茶が好きで購入しましたが、家であの味が出せると思ってたのですが、少し違いました、薄いのかも？と2袋いれても、やはりあの味の烏龍茶にはならなかったので、やはりペットボトルで購入しないとダメなのかな？と思っています
8,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,タイガーマスク,2021年2月21日,5.0,美味しいです,いつも飲んでるジャスミン茶より、お安くなっていたので購入。その辺の烏龍茶パックより、全然濃くて旨い！次からは、こちらに乗り換えます。
9,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,オリーブ,2021年6月19日,5.0,美味しい,味濃くて、美味しいです。
10,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,ライライ,2021年3月15日,4.0,濃い,普通に美味しいです
11,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,柳井 満.,2021年5月2日,5.0,味濃い,烏龍茶が好きなので購入。美味しいです。子どもには苦いみたいです。
12,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,のん,2021年5月27日,5.0,美味しい,2パックで500mlで煮出すとかなり美味しく、黒ウーロン茶みたいになります。リピートする予定です。
13,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,Amazon カスタマー,2021年2月7日,5.0,おいしい,抽出に時間ばかかるケド、濃いめの烏龍茶で美味しくさっぱり飲めました
14,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,HSK子,2021年6月1日,5.0,リピートします,美味しい美味しい美味しい
15,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,バンビ,2021年5月15日,5.0,濃くて美味しい,水出しで一回1リットルに2つ入れて飲んでいます。これで伊藤園の缶の烏龍茶と同じくらいの濃さかなと思います。
16,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,ヤンヤン,2021年3月7日,5.0,美味しかったです。,渋みもありますが、美味しくいただけます。
17,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,まちたび,2021年1月25日,4.0,酸っぱい,同社のこのシリーズのおーいお茶・緑茶版も利用したのですが、そちらは普通の緑茶どころかペットボトルのものにも及ばず、本製品もあまり期待してはいませんでしたが、緑茶版よりは飲めました。烏龍茶の風味や苦味がちゃんと見た目の茶色と一緒に伴っていて、仮にも葉っぱで入れている割には香りは感じませんが、烏龍茶を飲んでいるという感じがちゃんとするものでした。ただ、やはり本パッケージに使っている烏龍茶のペットボトルと比べると、ちょっと薄い感じがするので、２パックで濃い目に出して飲んでます。伊藤園であることや、同社の一定評価を確立した製品名・パッケージを利用しているため、再現度が求めらるところなのに、廉価で楽なバックタイプという点に全振りしたのか、色々思う所ありですが、冒頭であげたおーいお茶よりはよいと思います。
18,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,Amazon カスタマー,2021年1月19日,5.0,良き味,本品のペットボトルタイプが安く売っている（１００円程）ので、よく買うのだがサ○トリーの黒烏龍茶と比べると、本品は香りも味も倒的に劣る。しかし！本品は自分で濃さの調整が可能。ヤカンで抽出したが、1バッグを大体600ml程度の熱湯で10分程抽出した場合の濃さが個人的に好ましい味となった。（ペットボトルより美味しい）20-30分程かけて抽出すると、苦味というよりはえぐ味が強くでたので、10-15分程が丁度よいのかもしれない。内容量も多く（120袋）、上記の場合だと約72リット程度も作れるので、2リットルのペットボトルで36本分となるので、ペットボトルを購入するより遥かに安上がり。
19,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,拳を握って立つ女,2021年1月19日,5.0,あのペットボトル版の風味には及ばないと思いますがちゃんと烏龍茶,某大手カルト宗教学会系と噂のある伊藤園です。まあ一応日本のメーカーのはずなので大丈夫でしょう。カップ1杯分ではなくやかんサイズです。水出しも出来るみたいですが煮出しで使っています。ジッパー付きで保管も安心です。シッパーなしだと輪ゴムで留めたり割と面倒なんですよね。やかんだと1個で0.5～1リットル分です。二個ずつ繋がっているのでうちのやかんの1.5リットルにぴったりです。たまたまですが切らなくていいのは楽チンです。他の製品で切るときにパックが破れるときがありますが、これだと切らずにつかっているので破れる心配は皆無です。味は普通に烏龍茶です。良くも悪くも烏龍茶です。爽やかな苦味があります。1.5リットルで2パックなので濃い目に作りましたが子供でも大丈夫でした。烏龍茶デビューの子供は嫌がるかと思ったんですけどね。普通においしい烏龍茶で、たまたまですが2パックずつで使いやすかったので★5です。
20,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,スティックチョロ,2021年1月6日,4.0,濃い目に出すとうまい！,いままでウーロン茶は、コンビニで買う500ｍｌの冷たい製品ばかり飲んでいましたが、今回、温かいウーロン茶を淹れてみて、とても美味しいと感じました。外出時にマイボトルにポンと入れてお湯を注ぐだけなので、たいへん便利です。また、120袋で1
21,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,ぴろしき饅頭,2021年1月18日,5.0,濃いけど普通のウーロン茶,ティーバッグといっても、ヒモがついているものではなく、四角いバッグをお湯（または水）に沈めて使うタイプになります。今は冬場ということもあり、私はティーポットにこれを入れて、ホットでいただいていますが、非常に美味しいです。ティーポットにある程度の時間（１０分とか）入れたままにしておいても、苦くなったりしないで、そのまま美味しく飲めて、大変使いやすいと思いました。ホットだと300mlが推奨ですが、もう少しお湯を多く入れて、たっぷりの量を楽しんでいます。個包装はされていませんが、アルミ袋の口にはジッパーがついているし、保存に問題は無いと思います。コスパも良く、すべてにおいて申し分のないお品物だと思うので、星５つをつけました。
22,B08L3W7L2M,伊藤園 お得用 濃いウーロン茶 ティーバッグ 4.0g×120袋,烏龍茶,ｍｆｈｔｙ,2021年2月15日,5.0,500mlのマイボトルにピッタリ,ひも無しティーバッグタイプの烏龍茶で、水出し・お湯出しどちらも OK のタイプですが、水出しだとどうしても時間をかけても烏龍茶らしい渋味が水道水に負けてしまう感じなので、500ml のお湯で 10-15 分程度お湯出ししたものを湯冷ましにして飲んでいます。冬場は湯冷ましで丁度良いくらいですが、夏場は冷蔵庫用ポットに移し替えが良さそうです。ジッパー付袋に入っていますが、120袋と使い切るまでにはそこそこ時間がかかる数が入っていますので、一週間分程度(10袋ほど)を都度別のスクリューキャップ式のジップロック容器に移し替えてそこから使っています(やはり全体を常に都度湿気に晒すのは良くないですし)。
