,ASIN,product,brand,name,date,score,title,comment
0,B08L3WSXZ9,伊藤園 お得用 ワンポット 抹茶入り緑茶 ティーバッグ 2.5g×120袋,ワンポット,おばちゃん,2021年5月18日,4.0,お得感あるけど美味しくない,「伊藤園 エコティーバッグ おーいお茶 緑茶 (抹茶入り) 1.8g×120袋」が美味しくて便利だったので、これもパッケージ以外は同じかと思って（安くなっていたので）買ったのですが、こちらはティーバッグといっても、紐のついているタイプではありません。茶こしはいらないけど、急須は必要でちょっと面倒。味も若干落ちる気がします。それでもコスパは悪くありませんが。
1,B08L3WSXZ9,伊藤園 お得用 ワンポット 抹茶入り緑茶 ティーバッグ 2.5g×120袋,ワンポット,m.m.,2021年5月25日,4.0,物足りない,難点は個包装ではない点、ジップロックの外パッケージの中に120バッグ全部が素のまま＆エージレスが入っています。マイボトルの中身、ペットボトルのお茶に飽きて軽いお茶水にするのにエコティーバックを使っていたのですが、風味的にはエコティーバックのほうが優れている気がします。そのほうが小分けに買えてロスの心配がなくてよいかな？
2,B08L3WSXZ9,伊藤園 お得用 ワンポット 抹茶入り緑茶 ティーバッグ 2.5g×120袋,ワンポット,Forestry,2021年6月8日,5.0,ティーバッグだけど、紐はない。,水出しで、飲んでいます。急いでいる時はボトル振れば飲めます。普段は、朝セットで夕食に。1リットルで、3袋入れています。抹茶入りで濃くて美味しいです。色々飲んでみましたが、お茶は有名な伊藤園ですね。
3,B08L3WSXZ9,伊藤園 お得用 ワンポット 抹茶入り緑茶 ティーバッグ 2.5g×120袋,ワンポット,Amazon カスタマー,2021年6月2日,5.0,エコティーバック22袋に軍配かな,パックを少し折りたたむだけでペットボトルの細い口からも投入可。夏はコレで冷蔵庫にストックしやすい。飲み終わったら指で簡単にパックはペットボトルから取り出せる。美味しいし、便利。
4,B08L3WSXZ9,伊藤園 お得用 ワンポット 抹茶入り緑茶 ティーバッグ 2.5g×120袋,ワンポット,SYUちゃん,2021年3月17日,4.0,やっぱりお茶は、伊藤園。,味がおーいお茶よりも薄く感じる。伊藤園のパックシリーズジャスミン茶を長らく飲用していて気に入っていたので、緑茶も購入してみたがこちらはあまり味を感じない。入れ方の問題かな？薄味なだけで味は美味しいです！
5,B08L3WSXZ9,伊藤園 お得用 ワンポット 抹茶入り緑茶 ティーバッグ 2.5g×120袋,ワンポット,Amazonカスタマー,2021年5月4日,5.0,ペットボトルでも作れる！,1パックを1Lのティーポットに入れて水出しで使っています。1日程度の抽出であればお茶としての甘味も十分で十分美味しいです。内容量が120袋なので、毎日1袋としても約4ヶ月分なのは良いと思います。
6,B08L3WSXZ9,伊藤園 お得用 ワンポット 抹茶入り緑茶 ティーバッグ 2.5g×120袋,ワンポット,ちいかわくまさん,2021年4月7日,5.0,薄味の緑茶,苦味がなくさっぱりクリアな味わいで水出しでも短時間でしっかりと出るので、夏場は特にありがたい！ひとパックがマイボトルにちょうどよい。エコだし節約だし一石二鳥！
7,B08L3WSXZ9,伊藤園 お得用 ワンポット 抹茶入り緑茶 ティーバッグ 2.5g×120袋,ワンポット,月琴,2021年5月25日,4.0,コスパ最高,我が家ではティーバッグ２つで１Lに使っています。冷えた還元水で飲むと便利で美味いです。緑茶特有の飲んだあとのスッキリとした感じが気に入っています。緑茶ハイにも使えます。当分、レギュラーとしてリピートするつもりです。
8,B08L3WSXZ9,伊藤園 お得用 ワンポット 抹茶入り緑茶 ティーバッグ 2.5g×120袋,ワンポット,sal,2021年4月25日,5.0,巨大です,Amazonぶらんど500mlの水を買って、このティーパックを入れて使用しています。簡単に水だし茶がつくれて、重宝しています！
9,B08L3WSXZ9,伊藤園 お得用 ワンポット 抹茶入り緑茶 ティーバッグ 2.5g×120袋,ワンポット,おくら,2021年5月4日,5.0,もっと香りがあれば良いのですけど。,1Lのティーポットに2煎くらい飲みますが、あまり薄まらず美味しく頂いています。沢山入っているので、惜しげなく飲めて嬉しいです。
