,ASIN,product,brand,name,date,score,title,comment
0,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,Amazon カスタマー,2020年2月25日,2.0,賞味期限が近い,味も大きさも値段も問題なし。ストローだけがダメ。折れないタイプのストローだから子供だと飲みにくい。ストローが改善されれば完璧なのに。
1,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,Aurora,2020年4月5日,3.0,子どもが丁度飲み切れるサイズ,4月に購入して消費期限11月でした。学童で飲むために量が少なめのものを探しました。すぐに届き助かりました。在宅していたのに、いつの間にか玄関に置いてあり、外に食品を長時間置いておくのは嫌だなと思いました。たまたま外に出たので気づきましたが、出なかったら明日の朝まで放置でした。置きましたとピンポンしてくれたらいいのに。
2,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,THKN,2018年10月1日,5.0,ストローがダメ。,生後8ヶ月の子供用に購入。このまま飲ませるとパックを潰して中身が吹き出たり、ストローを引き抜いて出してしまいます。なのでストローマグに移して飲ませていますがゴクゴク飲んでくれます。どうしても割高になってしまうので、普段はペットボトルを使用し、災害時や非常用のストックにもっていると便利です。実際停電した時に役立ちました。
3,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,Amazon カスタマー,2020年8月19日,4.0,飲み切りサイズ,子どもが生まれてからずっとこの麦茶です。やさしい味、量もちょうどいいです。最初の頃、ストローが真っ直ぐで飲みづらそうだったのと、ある時ストローを思いきり口に入れてしまい、痛がったことがありました。今は上手に飲めるようになりましたが、ストローが改善されるとなお良いと思います。
4,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,AKI,2021年7月24日,5.0,非常用にいいです,こどもじゃなくて60過ぎのじいさんですが、夜トイレに起きたとき尿意だけじゃ無く喉の乾きも覚えるので、ちょい飲み用に購入。この125ミリリットルという量が年寄りには最適。それに紙パック（ノンフィルム）なので可燃ゴミに出せるという点も素晴らしい。
5,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,とっとこ,2021年4月25日,4.0,味良し、サイズ良し、ストロー改善希望,飲み切りサイズなので、赤ちゃんにはちょうどいい量だと思います。ただ唯一の欠点は少し値段が高いこと一個あたり３０円くらいだと買いやすくていいと思います生後半年の娘は嬉しそうに飲んでいるので、その点は満足です！
6,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,茶か缶,2020年11月17日,4.0,夜間喉が渇いたときに最適,2さいの子ども用。ネコのイラストがお気に入りで、大人が紙パックのジュースを飲むときに子どもには代わりにコレをあげると喜んで飲んでます！お出かけ、災害用に備蓄しています。
7,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,コロ助丸,2020年6月8日,5.0,量はちょうどいい,きれいに梱包されていました。予定通りの到着でした。冷やして美味しくいただいています。少量パックのお茶は幼い子供には重宝します。ありがたいです。
8,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,佳乃,2020年4月18日,5.0,持ち歩きに便利,麦茶トレーニングに。沢山あるので夏までに麦茶が飲めるようにしようと購入しました。ペットボトルだと余っちゃうし、家で作ったのはまだ不安なので、少量が沢山あるこちらを選びました。
9,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,Amazonカスタマー,2019年2月19日,5.0,量がちょうどいい,西松屋などで買うより安いです！お茶デビューの際にこれを使いました！子どもも沢山飲んでいました。お出かけなどにもピッタリです！
10,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,ポロ,2019年6月23日,5.0,少量なので麦茶トレーニングに！,1歳の息子と旅行に行く時に、マグだと洗わなければならないのでパックの飲み物を購入しました。西松屋とかで買うより安かったので、こちりで購入。息子も喜んで飲んでくれます。
11,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,あっこちゃん,2020年10月11日,1.0,安いです！,娘のために、繰り返し購入していますが・・・・今回は半分しか届きませんでした。既に購入済みの方々なら御存知でしょうが、3連結の商品を２つのパテーションに分けてある商品です。今回はパテーションごと半分に商品がちぎられて、片方しか届きませんでした。請求額は同じです。詐欺にあった気分です。
12,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,みい,2020年11月8日,5.0,息子が大好き,10ヶ月の子供の為に購入！この麦茶しか飲まない為まとめ買い！近くの薬局など売ってない為助かりました。
13,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,Amazon カスタマー,2019年10月16日,5.0,これ、半分しか届きません。だまされた。注意してください。,0歳の息子が離乳食を開始したので購入しました。他のメーカーの麦茶も試しましたが余り飲んでもらえず悩んでいたところ、こちらの商品を見つけて試しに購入してみました。濃すぎず飲みやすい様で良く飲んでくれます。1パックの量も丁度良く飲みきりなので、飲みかけで菌の繁殖を気にせず安心して与えられています。
14,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,Amazon カスタマー,2019年12月12日,4.0,まとめ買い！,うちの子は、どのジュースよりもどのお茶よりも、これが大好きです。スーパーよりもお安く購入でき、助かります。
15,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,奈々,2019年11月20日,5.0,いつも新鮮！,まだマグで飲めなかったので練習用にこちらを購入しました！はじめはくわえたら少しパックを押して飲ませてあげたりしました。今は上手に飲むことができます♪味も特に嫌がらなかったので、今はお出かけ時にも持ち歩いています！
16,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,こま,2021年3月30日,1.0,子どものストローデビューに,2021年3月末に購入しましたが、同年6月29日賞味期限の物が届きました。卑怯だと思います。
17,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,Sakura,2019年5月21日,4.0,ストックしています。,マグが面倒な日にお世話になっています。飲んだら捨てるだけなので助かっています。でも少し押すくらいでも溢れ出してしまうので子供には持たせず私が持ってあげています。
18,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,apple,2021年3月12日,4.0,卑怯,ストローが曲がってくれたらなー…
19,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,Amazon カスタマー,2019年9月1日,5.0,手抜きしたい時にあると便利。,孫が家に来た時のお茶に買いました。丁度いい量のパックなので便利です。このお茶は美味しいと言ってよく飲みます。
20,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,折坂有香,2017年8月4日,5.0,一点のみ改良希望,一歳の娘が大好きです。一番合うみたい。すぐ潰してこぼしますけど。
21,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,Amazon カスタマー,2018年12月31日,4.0,便利,飲み切りサイズで愛飲しています。さっぱりした味がナイスです
22,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,おむし,2018年4月17日,4.0,娘がいつものんでます,お値段が安かったので購入しました。味は普通の麦茶で良いと思います。今までピジョンの麦茶を買っていたのですが、ピジョンはストローが太く、曲がるタイプで赤ちゃんにも飲みやすそうでした。こちらのものは、ストローが細く、曲がらないので飲みにくそうです。のどに刺さらないかヒヤヒヤして見ています。飲みにくいせいか、すぐに飽きて強く握って中身を飛び出させたり、ストローを抜いたりしてしまいます。価格も味も○なのに、ストローだけ残念。
23,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,Amazon カスタマー,2017年10月3日,4.0,飲み切りサイズ,amazonは値段の変動が結構あるので「必ず」とは断言しませんが、六条麦茶の小さい100mlパックよりも安価であることが多い。コップが一人で上手に使えるようになるまでは、特に外出時などの必需品。大人用の２Lペットと比べ非常に高価だが仕方ない。背に腹は変えられません。伊藤園さんなら間違いないだろうし、麦茶はカフェインレスで安心です。
24,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,みみずまま,2017年5月28日,3.0,美味しいです,高齢で　もともと水分を取らないほう一度ふたを開けて　次に飲むとき　どれくらい時間が経ったか記憶もしていないそれで　一度口を開けたら　残しても捨てられるよう勿体なくないよう　小さいサイズを探して行って行きついたのが　こどもむぎちゃ　ですむかし　宇野千代さんがエッセイでおやつに　ビスコを食べていると書いてらっしゃったのも思い出し年を取ったら　子供用が便利だなと　思い出した次第。
25,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,Amazon カスタマー,2021年6月23日,5.0,飲みきりサイズでちょうどよい,乳児期に伊藤園のこども緑茶を見つけ夏場は凍らせて保冷剤代わりに外出時持って行ってました。いま8歳ですが夏場の夜喉が渇いて困るときにキッチンが階下だと行きづらく、毎回起こされるのもストレス。小型冷蔵庫に入れておけば子供が自由に飲めます。そろそろ追加の時期で、購入していたスーパーがグループ統合で入らなくなりこちらで購入。安かったし飲みきりサイズにいいのです。
26,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,じゅんじゅん,2021年2月18日,4.0,８２歳の叔母に送っています,ベビーザらスなどで売ってる、子供用紙パックホルダーに入れれば赤ちゃんが力入れて麦茶をこぼすことは無いだろう。逆さにしたりストロー取った場合はその限りではないが。ペットボトル持つよりも軽いので、ちょっと外に散歩行こうとした際のお供に。
27,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,lunascape,2019年7月18日,2.0,まだまだいけるよ,色んなメーカーのベビー麦茶を試しましたがこちらの麦茶が一番子供が好きなようで大量買いで購入したいと思いました。が、Amazonさんだと高いですね…コープだと18本入って820円です。ドラッグストアーで買うよりも高いと思います。Amazonさんにしては珍しくですね。
28,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,我妻,2019年2月14日,5.0,単価は高いが使い勝手が良い。,乳幼児の次のステップとしての携帯麦茶用に購入。一回で飲みきれないことの方が多いけど小さめなので余ってもあまり勿体無く感じず気軽に持ち運べて良いです。飲み物はスーパーで買うと持って帰るのが大変なのでまとめて宅配してくれるのはとても助かります。
29,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,茉莉,2021年2月3日,5.0,味は苦味がなく飲みやすいようです,紙パックのまま使用したり、ベビーマグに移し替えたりして赤ちゃんに飲ませています。少量なので1回飲みきりでとてもよいです。買うと重いので助かります。
30,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,LOTUS,2020年4月30日,5.0,気軽に持ち運べて最適なサイズ,何度もリピしています。子供はもう3歳ですが外遊びに１つ持っていくとお手軽でいいです
31,B08L63423M,伊藤園 健康ミネラルむぎ茶 こどもむぎ茶 紙パック (ノンフィルム) 125ml ×36本 デカフェ・ノンカフェイン,健康ミネラルむぎ茶,koh,2020年11月16日,5.0,ベビーにぴったり,よかったです。
