,ASIN,product,brand,name,date,score,title,comment
0,B08LL7R359,リプトン 和風フレーバーティー 3種アソートセット (さくら・いちご・うめ) 36袋 ×72袋 ティーバッグ,リプトン,レイブン,2021年3月22日,5.0,どれも良い香り,毎年春になるとこのお茶が飲みたくなって、これを買うのが楽しみでした。いつも地元のスーパーで飼うのですが、今年も一回買って、なくなったころにまた買いに行ったらすでに売り場にはありませんでした。多分売り出して1ヶ月経ってない？Amazonで見つけたのでうれしくて買っちゃいました。定期おトク便もあるみたいだし、期間限定じゃないのかな？そしたらいつでも飲めるー！と思うとうれしいです。
1,B08LL7R359,リプトン 和風フレーバーティー 3種アソートセット (さくら・いちご・うめ) 36袋 ×72袋 ティーバッグ,リプトン,リッツP,2021年3月9日,3.0,梅ガムのにおい,春が近づいて来たので、季節を感じられると思い購入しました。桜の香りは少しだけです。味は当然ながら普通の紅茶。もう少し香りがあれば、リラックス効果もあると思うのですが、その点は残念です。でも、香りが少ない分、食事にも合わせられて良い点もあると思いました。一緒に口にする物に影響を与えない程度の香りなので、結果的には良いのかもしれません。
2,B08LL7R359,リプトン 和風フレーバーティー 3種アソートセット (さくら・いちご・うめ) 36袋 ×72袋 ティーバッグ,リプトン,コティロウ,2018年3月1日,5.0,春の味,友達にもらって美味しくて、今度は自分で探して購入。毎日ポットで入れ、たっぷり飲めるので満足です。 100個入りより割高ですが、紅茶は香りが大切。小分けなのでいつも新鮮で香りがいいです。
3,B08LL7R359,リプトン 和風フレーバーティー 3種アソートセット (さくら・いちご・うめ) 36袋 ×72袋 ティーバッグ,リプトン,tomo,2021年6月3日,5.0,香り控えめ,お嫁さんの誕生日にプレゼントしました。彼女は珈琲より紅茶派なので、季節の移り変わりを香りで感じられるように梅、桜、苺の紅茶とても好評だったので、私用にも購入しました。気に入って貰って嬉しかったです。入れたての香りと味を楽しめるのが気に入ってます。
4,B08LL7R359,リプトン 和風フレーバーティー 3種アソートセット (さくら・いちご・うめ) 36袋 ×72袋 ティーバッグ,リプトン,konbu,2020年1月25日,3.0,大満足,さくら…桜餅のさくらではなく、さくらんぼの香りでした。はじめは、ちょっとガッカリしましたが、慣れてくると美味しく感じるようになりました。
5,B08LL7R359,リプトン 和風フレーバーティー 3種アソートセット (さくら・いちご・うめ) 36袋 ×72袋 ティーバッグ,リプトン,Amazon カスタマー,2021年4月28日,5.0,季節感を 香りと味で楽しめる,スタバで期間限定のサクラ味に似てると私は思います！毎日のブレイクタイムはこの子で決定です！幸せですありがとう
6,B08LL7R359,リプトン 和風フレーバーティー 3種アソートセット (さくら・いちご・うめ) 36袋 ×72袋 ティーバッグ,リプトン,ゆづ,2021年3月4日,4.0,思ったのと違った,パッケージの大きさの割に入ってる数が少ないと感じますが、お値段相応か、それより安い感覚です。味は、ストレートだと桜餅や塩漬けに似た香りですが、砂糖を適量入れると桜のチョコレートや桜ラテのような甘い香りになります。水出しでもしっかり入れられるので重宝しています。
7,B08LL7R359,リプトン 和風フレーバーティー 3種アソートセット (さくら・いちご・うめ) 36袋 ×72袋 ティーバッグ,リプトン,ぽよ,2018年12月5日,5.0,ブレイクタイムに❤️,紅茶が、とても大好きで、桜🌸も、大好きなので、好きな物だけの物なので、良かったです…母におすそ分けしたら、喜ばれました。
8,B08LL7R359,リプトン 和風フレーバーティー 3種アソートセット (さくら・いちご・うめ) 36袋 ×72袋 ティーバッグ,リプトン,十六夜,2021年1月27日,5.0,ほんのり桜の香り,最近は、お店に売っていないのでAmazonで買えるのは嬉しい。値段も安いので良いですね。ミルクティーにすると美味しいです。
9,B08LL7R359,リプトン 和風フレーバーティー 3種アソートセット (さくら・いちご・うめ) 36袋 ×72袋 ティーバッグ,リプトン,まったく,2020年7月23日,5.0,個人の感想!,飲みやすく、桜の香りが良いので、リピートしていますし、これからも購入させて頂きます。100袋入りが1300円くらいで売られていたので、100袋入りが販売されたら嬉しいです。
