,ASIN,product,brand,name,date,score,title,comment
0,B08M75X4GY,【Amazon.co.jp限定】 リプトン ボタニックティー ベッドタイムブリスティーバッグ 30袋,リプトン,コティロウ,2021年4月22日,5.0,ハーブティー好き・ラベンダー好きはぜひ！,職場で飲むために水出しで毎日飲んでいます。ピンクのパッケージのものはローズヒップ感が強くて酸っぱすぎて個人的には苦手ですが他の2つはハーブティ感が強くて大好きです。付属のタンブラーは週1.2回使っていたのですが二重構造の中の空間にどこから侵入したのか水滴が溜まってしまいとても残念でした。カスタマーセンターに問い合わせたところ新品を送っていただけたので対応にも満足です。飲みきったらまた購入したいと思います。
1,B08M75X4GY,【Amazon.co.jp限定】 リプトン ボタニックティー ベッドタイムブリスティーバッグ 30袋,リプトン,Amazon カスタマー,2021年1月23日,3.0,睡眠前に超オススメ^_^,ルイボスティーが好きなのと、好きなモデルさんが紹介していたので購入しました。ルイボスよりローズヒップが強く、説明通りに作ると思っていたより酸味と苦味を感じました。多めのお湯で作るのがおすすめです。後味はスッキリしていて良いです。香りは気品のある感じで、癒やされます。
2,B08M75X4GY,【Amazon.co.jp限定】 リプトン ボタニックティー ベッドタイムブリスティーバッグ 30袋,リプトン,Amazon カスタマー,2021年3月27日,2.0,爽やかなお茶です,花粉症に効くらしいネトルティー。試し買いしてみました。香りはレモンの香りで爽やかな香り。ミント感があって鼻が通りそうで好き。味はいつまでも口の中に残る苦々しさとなんとも言えない感覚…。学生時代に校庭で転んで味わったあの味のような…？？？味はハッキリ言って美味しくないです。でも飲み切れないほどの不味さでもない…なんかクセになりそうなならなそうな…。1袋飲み切って追加を考えます。
3,B08M75X4GY,【Amazon.co.jp限定】 リプトン ボタニックティー ベッドタイムブリスティーバッグ 30袋,リプトン,🥺,2021年1月3日,5.0,少し酸味と苦味が強い,リラックスしたい時に飲んでいます。カモミールよりラベンダーの香りがしっかりとしているかと思います。
4,B08M75X4GY,【Amazon.co.jp限定】 リプトン ボタニックティー ベッドタイムブリスティーバッグ 30袋,リプトン,Ｍ,2021年6月1日,5.0,校庭の砂場の味…のような…,おすすめに出てきたので初めて頼んでみました。ハーブティーは特定のものしか受け付けなかったのですが、こちらはラベンダーやリンデンなど珍しい組み合わせで、その割に嫌な癖も無くとても飲みやすくて絶妙なバランスの良い香りでした。ノンカフェインなので就寝前に飲んでも夜中にトイレに行きたくなる事もなかったです。匂いに敏感だったりアロマが苦手な方はわかりませんが、ハーブティーやアロマが好きな方は気にいると思います。
5,B08M75X4GY,【Amazon.co.jp限定】 リプトン ボタニックティー ベッドタイムブリスティーバッグ 30袋,リプトン,かもめ,2021年4月4日,5.0,リラックスしたい気分用,香りも味もサッパリしていてリラックスできます。美味しいです。
6,B08M75X4GY,【Amazon.co.jp限定】 リプトン ボタニックティー ベッドタイムブリスティーバッグ 30袋,リプトン,eriu,2021年2月9日,5.0,１日の終わりに飲むとホッとする,ほっとする味。寝る前のひとときに良い時間を過ごしています。良く眠れます。お値段が少し安かったら買いやすいですが。
7,B08M75X4GY,【Amazon.co.jp限定】 リプトン ボタニックティー ベッドタイムブリスティーバッグ 30袋,リプトン,Amazon依存症,2021年5月31日,5.0,リラックスできます。,つわりでムカムカして炭酸水やレモン水でごまかしてる時期に、こちらの香りでかなり落ち着けました。ハチミツ混ぜて飲んでます。
8,B08M75X4GY,【Amazon.co.jp限定】 リプトン ボタニックティー ベッドタイムブリスティーバッグ 30袋,リプトン,Aya,2021年6月1日,5.0,リラックスを促す香り,ラベンダーの香りが強すぎることなく丁度いい感じで、リラックスしたい寝る前に毎晩飲んでいます。
9,B08M75X4GY,【Amazon.co.jp限定】 リプトン ボタニックティー ベッドタイムブリスティーバッグ 30袋,リプトン,atsco,2020年12月31日,4.0,意外と美味しかったです,スーッとして美味しい。夏のアイスティーもいいが冬でホットティーでも美味しく飲める。ミント嫌いな方は無理かも
10,B08M75X4GY,【Amazon.co.jp限定】 リプトン ボタニックティー ベッドタイムブリスティーバッグ 30袋,リプトン,ねろ,2021年3月7日,4.0,癒しのラベンダー,ラベンダーが主張しているハーブティーは少ないイメージがあります。ラベンダー好きな方でも好みが分かれると思います。個人的に飲んだ日は少し深い眠りが取れました。
11,B08M75X4GY,【Amazon.co.jp限定】 リプトン ボタニックティー ベッドタイムブリスティーバッグ 30袋,リプトン,うきうき,2021年1月23日,5.0,スーッとする,紅茶ベースでラベンダーがふわっと香って美味しい。
12,B08M75X4GY,【Amazon.co.jp限定】 リプトン ボタニックティー ベッドタイムブリスティーバッグ 30袋,リプトン,しろちょこ,2021年3月2日,5.0,可もなく不可もなく。,ほっこりしたいときにピッタリのハーブブレンドです。リーズナブルでなかなかのクオリティだと思いました。
13,B08M75X4GY,【Amazon.co.jp限定】 リプトン ボタニックティー ベッドタイムブリスティーバッグ 30袋,リプトン,Ryo,2021年6月16日,5.0,飲みやすい,美味しい
14,B08M75X4GY,【Amazon.co.jp限定】 リプトン ボタニックティー ベッドタイムブリスティーバッグ 30袋,リプトン,りりあまりあ,2020年10月18日,5.0,良いブレンドです♪,飲んだことがない味のティーでした。後味の遠くの方にかすかにレモンの味がほんのり感じられるのですが大部分は初めての味でした。原料は緑茶（ケニア）、ネトル、レモングラス、ペパーミント、オレンジリーフ、メドウスイート、ローズマリー、アニス、グレープフルーツピールとなっているので、おそらくどれかがメインになっていると思われます。リプトンのスタンダードなものしか飲んだことがなかったので、これは良い意味で裏切られた感じです。特に冬の季節にも良いとは思いますが、この手のティーは一年中飲んだ方が良いと思います。なぜなら体を温めると、代謝も上がって健康にも良いからです。健康的な食事、運動、ストレスを溜めない、そして体を温めるで私は長年健康を維持できているのでこの体を温めるという習慣は医学的にも推奨されているのでおすすめです。
