,ASIN,product,brand,name,date,score,title,comment
0,B08NTL7YF5,【Amazon.co.jp限定】 リプトン ロイヤルミルクティー用 アッサムブレンド ティーバッグ 100杯分,リプトン,かめ,2021年4月21日,4.0,安価ですがインド製茶葉のみの贅沢仕様,普段からリプトンのティーバッグの紅茶を愛飲しています。今回Amazonでアッサムブレンド ティーバッグを見かけて注文してみました。感想としては、期待したほど美味ではなかったです。まずくはないですが、いつものでいいかな、と思いました。
1,B08NTL7YF5,【Amazon.co.jp限定】 リプトン ロイヤルミルクティー用 アッサムブレンド ティーバッグ 100杯分,リプトン,絵に熊,2021年5月6日,4.0,コスパは良いが味は普通,説明書き通りに水と牛乳を入れてレンチンしてもいいのですが、水3分の1とティーバッグを入れてレンチン2分加熱して1分蒸らし、十分抽出されたら牛乳を3分の2入れてレンチン2分加熱して飲んでます。良い牛乳を入れるほどお高いミルクティーの味になります。タイムセール時に購入して1ティーバッグ10円ほどで飲めるので満足です。
2,B08NTL7YF5,【Amazon.co.jp限定】 リプトン ロイヤルミルクティー用 アッサムブレンド ティーバッグ 100杯分,リプトン,apple-pop,2021年3月19日,3.0,期待したほどでは…,レビューが良かったので購入してみましたがまずくはないが美味しくもないです100袋もあるのでどうしようかと思ってます
3,B08NTL7YF5,【Amazon.co.jp限定】 リプトン ロイヤルミルクティー用 アッサムブレンド ティーバッグ 100杯分,リプトン,かよ,2021年2月7日,5.0,水で抽出してからミルクを入れてます,私が注文した時は在庫が切れていたのか2週間かかりました。紅茶には詳しくないのですが、確かにスーパーで売っているアレとは全然違う！パッケージに書いてある方法でロイヤルミルクティー淹れたら美味しかった。多分また購入します。
4,B08NTL7YF5,【Amazon.co.jp限定】 リプトン ロイヤルミルクティー用 アッサムブレンド ティーバッグ 100杯分,リプトン,むめ,2021年1月9日,4.0,特に美味しくない,間違ってロイヤルミルクティだと思って購入したら、ロイヤルミルクティ用だったので驚き、確認ミスでしたが普通紅茶として飲んでます！！！
5,B08NTL7YF5,【Amazon.co.jp限定】 リプトン ロイヤルミルクティー用 アッサムブレンド ティーバッグ 100杯分,リプトン,トロッコの糸,2021年4月25日,5.0,おいしい,ミルクティーが大好きで色々なメーカーを試していますが、深みがあっておいしいです。変な渋みもないしクセがなく飲みやすいです。量が多くてお得で気に入ってます。袋に書いてある通りのレシピでミルクティーを作るとおいしいですが、膜が張ってしまいます。
6,B08NTL7YF5,【Amazon.co.jp限定】 リプトン ロイヤルミルクティー用 アッサムブレンド ティーバッグ 100杯分,リプトン,Kuma,2021年5月18日,5.0,ロイヤルミルクティ用でした！,美味しいですし、ミルクティーによく合います。リピートします！
7,B08NTL7YF5,【Amazon.co.jp限定】 リプトン ロイヤルミルクティー用 アッサムブレンド ティーバッグ 100杯分,リプトン,きょ,2021年4月26日,5.0,飲みやすい,リーズナブルだけど味がしっかりしていて美味しい。ミルクティーにぴったり。沢山入っているので日常のティータイム用としては100点^_^
8,B08NTL7YF5,【Amazon.co.jp限定】 リプトン ロイヤルミルクティー用 アッサムブレンド ティーバッグ 100杯分,リプトン,さとみちゃん,2021年4月4日,5.0,ミルクティー至上主義な俺が歓喜！！,ミルクに合います。定期購入でリピしています。
9,B08NTL7YF5,【Amazon.co.jp限定】 リプトン ロイヤルミルクティー用 アッサムブレンド ティーバッグ 100杯分,リプトン,ヒサ,2021年6月13日,4.0,ミルクティーに合う紅茶,味はいいと思うので、もう少し少量ずつ売って欲しい。
10,B08NTL7YF5,【Amazon.co.jp限定】 リプトン ロイヤルミルクティー用 アッサムブレンド ティーバッグ 100杯分,リプトン,sugi,2021年1月14日,5.0,買って正解。,おしゃれなパッケージだったので自分飲み用に購入してました、味も美味しかったです。
11,B08NTL7YF5,【Amazon.co.jp限定】 リプトン ロイヤルミルクティー用 アッサムブレンド ティーバッグ 100杯分,リプトン,nako★,2021年3月31日,5.0,味は良い,又購入します
12,B08NTL7YF5,【Amazon.co.jp限定】 リプトン ロイヤルミルクティー用 アッサムブレンド ティーバッグ 100杯分,リプトン,タミー,2021年5月16日,5.0,美味しかったです,癖がなくて牛乳に合います。500mlのカップに2個入れて20分くらい置いて牛乳入れて飲んでます。300mlのカップで1個入れたときはちょっと薄かったので、お上品に飲むかデカいので飲むかが良いと思います。20分入れてると紐にお湯が伝ってきて紙がべちゃべちゃになるのがちょっとあれですけど、美味しいんでどうでもいいです。美味しい～～～
