,ASIN,product,brand,name,date,score,title,comment
0,Amazon カスタマー,2020年12月21日,5.0,一味違ったオシャレな贈り物としてオススメです。,紅茶好きなお客様に、ひと味違う贈り物を探して見つけました。ドライフルーツが入った紅茶は珍しいので、お客様との話題になりそうで購入を決定！発送も早く、翌日には届いたので早速持参し訪問。喜んでいただけたようで、写真を送って下さいました♪(12月24日追加)11月27日の新聞で、茶葉から入れた紅茶は感染力のあるコロナウィルスを１分間で100分の１まで無害化するそうです。「チョイスが良いな〜」と褒められました。知らなかったんですけどね...,,,
1,matsui,2021年1月19日,5.0,家庭で気軽にリッチなフルーツティーがたのしめます。,ポットに入れてお湯を注いだだけなのに　家庭でフルーツたっぷりの贅沢な紅茶が楽しめました。たっぷりのフルーツの食感と香りがとても優雅で　紅茶とマッチしています。とてもおいしかったので、また自分用にもプレゼント用にも購入したいです。,,,
2,aiai,2021年5月2日,5.0,本物のドライフルーツの自然なジューシーさが紅茶に合う,ティーバッグとドライフルーツの一杯ずつの小分けセットでお湯を注ぐだけで簡単にフルーツティーが楽しめます。普段は茶葉に風味が着いたフレーバーティーを飲んでいますが、これは本物のドライフルーツならではの自然なフレーバーとジューシーさが楽しめるので飽きずに飲めます。ガラスカップで見た目も可愛く、フルーツを眺めながら楽しめるのもまた良い。茶葉そのものはクセのないストレートティーなのでフルーツの風味とぶつかることなく、爽やかな味わいになります。パッケージもフルーツをイメージさせる可愛いデザインでした。,,,
3,Kiki,2021年3月12日,5.0,美味しくお洒落,上質なティータイムが楽しめます。耐熱ガラスの容器だと、フルーツの色を楽しむことが出来ます。フルーツも食べられます(^^♪　気の利いたプレゼントにもぴったり‼　リピ確定です。,,,
4,p.m,2021年1月12日,5.0,おしゃれなパッケージでギフトに最適,可愛すぎずシンプルで洗練された今っぽいパッケージがおしゃれ。今回は自宅用に購入でしたが、ギフトにしても良さそう。6個入りにしては箱が大きいなと思いましたが、贈り物としてなら豪華な感じがして喜ばれそう。フルーツも色とりどりで可愛いです。自宅での仕事が増えたので、ちょっと疲れた時に癒しの一杯にしたいと思います。,,,
5,YN,2021年4月23日,5.0,このドライフルーツは一味違う！！,えいこく屋さんの紅茶は間違いなく美味しいので定期的に購入していますが今回はドライフルーツティーを購入してみました。初めてでしたがこんなにドライフルーツが美味しいとは思っておらず衝撃を受けました！紅茶の渋みとフルーツの甘みがベストマッチです。かわいいギフトパッケージもあるようなので次回は友達にプレゼントしたいと思っています。,,,
6,kkk,2021年1月10日,5.0,気に入ってます,自分用はもちろん、知人や友達へのちょっとした御礼「ほんの気持ちです」という時にベストです。豪華過ぎず安っぽ過ぎず、嫌味になりません。渡した時と実際に飲んでもらう時、2度喜んでもらえます。,,,
7,まあみ,2021年5月23日,4.0,贅沢フルーツティ,お友達に配って喜ばれました❗,,,
8,小田島真佐子,2021年5月21日,4.0,かわいくておいしい,女子受けするフォルム。もう少しお安いとなお良いけど・・・,,,
9,maki,2020年12月30日,5.0,そのままホットティーでも、アレンジティーにしても最高☆,まずパッケージが可愛いです。開けるとお店のこだわりポイントが溢れたカードが出てきて、ワクワクします。中は個包装になっていて、ひとつひとつに乾燥剤も入っているので、ゆっくり楽しめます。そのままホットティーでいただいても美味しいですし、アレンジ次第でいろいろ楽しめると思います。美味しかったので友達へのプレゼントにもさせていただきました。友達にも大好評でした。,,,
