,ASIN,product,brand,name,date,score,title,comment
0,B08S3MFPTB,紅茶 ティーバッグ アールグレイ 【 ギフト で喜ばれる100袋入り】 AKBAR アクバー 紅茶 ティーバッグ 「 アイスティー や,AKBAR ( アクバー ),乱れ撃ちの彦六,2021年2月9日,4.0,デザインを、優先したら、悲し穴,アールグレイのよい香りでした。100袋あるのでお裾分けをしたら、とても喜ばれました。しばらく楽しめそうです。ずっと浸しておくと苦味がでるので、適度なところで引き上げた方がよいですね。
1,B08S3MFPTB,紅茶 ティーバッグ アールグレイ 【 ギフト で喜ばれる100袋入り】 AKBAR アクバー 紅茶 ティーバッグ 「 アイスティー や,AKBAR ( アクバー ),こきざうるす,2021年4月16日,5.0,香り豊かな紅茶,パッケージフィルムをはがすと、アールグレイの良い香りが広がる。それくらい強めの香りが私は好きです。芳香としても使いたいくらい。お湯にひたすと濃いめにでるので、ミルクにも合います。買ってよかったです。
2,B08S3MFPTB,紅茶 ティーバッグ アールグレイ 【 ギフト で喜ばれる100袋入り】 AKBAR アクバー 紅茶 ティーバッグ 「 アイスティー や,AKBAR ( アクバー ),az,2021年3月28日,4.0,よい香り,自分用に手軽に飲める紅茶を求めて購入しました。味や香りに関してはやや薄いと感じるものの問題なく楽しむことが出来ました。しかし、１００袋がひとまとめにされているが故に一度外装のフィルムをとってしまうと香りがどんどん抜けていってしまいます。大人数で一気に消費するならともかく、個人で楽しむ場合は保管方法などを工夫する必要がありそうです。
3,B08S3MFPTB,紅茶 ティーバッグ アールグレイ 【 ギフト で喜ばれる100袋入り】 AKBAR アクバー 紅茶 ティーバッグ 「 アイスティー や,AKBAR ( アクバー ),Amazon カスタマー,2021年2月7日,4.0,アールグレイの香りに癒される。,今までリプトンの高級紅茶をもんでいましたが、アマゾンでこの商品を見つけた購入いたしました。想像していた以上のアールグレーの味でした。満足です。
4,B08S3MFPTB,紅茶 ティーバッグ アールグレイ 【 ギフト で喜ばれる100袋入り】 AKBAR アクバー 紅茶 ティーバッグ 「 アイスティー や,AKBAR ( アクバー ),なお,2021年3月26日,4.0,少々香りが薄いと感じるが、飲みやすいが…,開ける前は凄く香りが強くかんじたけど、一杯入れるたびになれてい香りです!
5,B08S3MFPTB,紅茶 ティーバッグ アールグレイ 【 ギフト で喜ばれる100袋入り】 AKBAR アクバー 紅茶 ティーバッグ 「 アイスティー や,AKBAR ( アクバー ),gaganbo1,2021年2月23日,5.0,紅茶の味がします。,香りやコクがある紅茶です。味わいを楽しみたい方は、蓋をして蒸らすのがおすすめです！長めに置くと渋みでるので、苦手な方は早めに上げてください。色々なアレンジできるので、渋みが多く出てしまった方はミルクなど入れてみて下さい‼︎
6,B08S3MFPTB,紅茶 ティーバッグ アールグレイ 【 ギフト で喜ばれる100袋入り】 AKBAR アクバー 紅茶 ティーバッグ 「 アイスティー や,AKBAR ( アクバー ),ラブリー,2021年2月12日,5.0,良い香り,紅茶好きでいろいろなフレーバーを楽しみたい派です。こちらのアールグレイは開封前から良い香りが漂っていて、期待大でした。実際に飲んでみると色も良く、香りも高くおいしかったです。パッケージも本場スリランカ産がしっかりと伝わってきてプレゼントにも良さそうだと思いました。
7,B08S3MFPTB,紅茶 ティーバッグ アールグレイ 【 ギフト で喜ばれる100袋入り】 AKBAR アクバー 紅茶 ティーバッグ 「 アイスティー や,AKBAR ( アクバー ),choco,2021年5月6日,5.0,豊かな風味,大容量でお値段もお安く美味しかったです。苦味、えぐ味もなく普段コーヒー派のわたしですが飲みやすいアールグレイです。紅茶のマフィンも作りましたが香りが良く美味しく出来ました。
8,B08S3MFPTB,紅茶 ティーバッグ アールグレイ 【 ギフト で喜ばれる100袋入り】 AKBAR アクバー 紅茶 ティーバッグ 「 アイスティー や,AKBAR ( アクバー ),フクロウ虫,2021年6月27日,4.0,購入してよかったです,とても香り高い紅茶です。香りの好みは分かれそうですが、日本製とは違うクセのある香りに感じました。水出しでアイスにしてみたところ、スッキリとした味わい深いうまさで気に入りました。
9,B08S3MFPTB,紅茶 ティーバッグ アールグレイ 【 ギフト で喜ばれる100袋入り】 AKBAR アクバー 紅茶 ティーバッグ 「 アイスティー や,AKBAR ( アクバー ),M50,2021年4月22日,1.0,香り良く、美味しい紅茶です。,不味い買わないほうがいい
