,ASIN,product,brand,name,date,score,title,comment
0,B08V29DGY9,サントリー クラフトボス Tea ノンシュガー 紅茶 450ml ×24本,BOSS(ボス),Amazon カスタマー,2021年4月19日,5.0,配送は信用のある業者にて,仕事場に持って行ってます。キャップを開け一口。周りの人から紅茶の香りが すごくする。と言われます。色々な無糖の市販の紅茶を購入した結果、1番良いと思います。
1,B08V29DGY9,サントリー クラフトボス Tea ノンシュガー 紅茶 450ml ×24本,BOSS(ボス),Amazon カスタマー,2021年4月23日,5.0,美味しい,無糖紅茶好きの家族が好んで飲んでいます。アールグレイの香りが良いみたいです。
2,B08V29DGY9,サントリー クラフトボス Tea ノンシュガー 紅茶 450ml ×24本,BOSS(ボス),Amazon カスタマー,2021年4月10日,5.0,紅茶の香りが良い,購入してすぐにセールで５００円も安くなってってがっかりしましたが苦味も癖もなく、温くなっても飲めたのでまあ、良かったです。
3,B08V29DGY9,サントリー クラフトボス Tea ノンシュガー 紅茶 450ml ×24本,BOSS(ボス),Amazon カスタマー,2021年6月2日,5.0,家族のお気に入りです,ちゃんと紅茶らしい香りと風味があるのに後味スッキリです。
4,B08V29DGY9,サントリー クラフトボス Tea ノンシュガー 紅茶 450ml ×24本,BOSS(ボス),トゲミん,2021年6月27日,5.0,あっさりして飲みやすい,香り、味、飲みやすさ文句無いです
5,B08V29DGY9,サントリー クラフトボス Tea ノンシュガー 紅茶 450ml ×24本,BOSS(ボス),cyndy,2021年6月17日,5.0,後味スッキリ,無糖でスッキリ飲みやすい紅茶の風味も豊かで美味しいです
6,B08V29DGY9,サントリー クラフトボス Tea ノンシュガー 紅茶 450ml ×24本,BOSS(ボス),岩本雅道,2021年3月28日,5.0,紅茶の香りと飲みやすさ,とても美味しいですね。紅茶特有の芳醇な香りにハーブのような香りがブレンドして鼻から抜けました。ディンブラ茶葉を使用とのこと。美味しさと香りの担保は茶葉の品質です。無糖ストレートティーですから、食事と一緒に飲むのにも適しています。料理の味わいを邪魔しませんので。サントリーから販売され、安心感は最初からありました。紅茶の美味しさを再確認している気分です。とても美味しいので、職場にも持参し、仕事の合間のひと時に飲んでいます。今日は桜の花見に持っていって飲みました。サイズが450mlと持ち運びしやすい大きさなのも利点です。気分転換出来て、落ち着きました。ペットボトルのラベルからも高級感が漂います。普通に美味しいので、万人に愛される味わいだと評価しています。
7,B08V29DGY9,サントリー クラフトボス Tea ノンシュガー 紅茶 450ml ×24本,BOSS(ボス),Amazon カスタマー,2021年6月29日,4.0,無糖紅茶,昔は甘い紅茶が大好きだったのですがある時期から無党派になりました。◎味わいしっかり。・他の無糖紅茶に比べてお茶の味が濃いです。上品かつしっかりめな苦味、香りを楽しめます。・紅茶飲みたい欲をしっかり満たしてくれる好みの味です。おいしい。これになれるとたの無糖紅茶が物足りなく感じるようになりました。×量が減った・いつのまにか500→450mlに量が減ってました。サイレント値上げ反対っす、
8,B08V29DGY9,サントリー クラフトボス Tea ノンシュガー 紅茶 450ml ×24本,BOSS(ボス),hiro,2021年3月24日,4.0,あっさり,ストレートティーはストレートティーだけど、原料原産地がスリランカ、ケニアとあるように、エスニックな茶葉が使われており、それが好きな人は大好き、苦手な人は苦手と別れると思う。個人的にはそのくせが好きです。
9,B08V29DGY9,サントリー クラフトボス Tea ノンシュガー 紅茶 450ml ×24本,BOSS(ボス),旭,2021年3月21日,5.0,いい香りの美味しい紅茶です。,紅茶飲料には糖分が入っていて甘いものが多いですが、こちらはノンシュガータイプ。紅茶本来の美味しさが味わえて、食事のお供にも良さそうです。
10,B08V29DGY9,サントリー クラフトボス Tea ノンシュガー 紅茶 450ml ×24本,BOSS(ボス),うーちゃん,2021年6月26日,5.0,エスニックな香りが残るストレートティー,好きだわ
11,B08V29DGY9,サントリー クラフトボス Tea ノンシュガー 紅茶 450ml ×24本,BOSS(ボス),amazonカスタマー,2021年2月23日,1.0,ヘルシー,数少ないノンシュガー紅茶の中で飲みやすい商品です。クラフトボスのコーヒーは3月下旬にボトルデザイン変更のリニューアルのようですが、 21年2月下旬にクラフトボスティーシリーズは、サイレントチェンジで、内容量が500mlから450mlに減らしたようです。Twitter公式アカウントでは「やさしいプライスでコンビニに」とPRしていますが、容量減っているので実際は値上げです。ノンシュガーは、19年と20年に過去2回パッケージデザイン変更+リニューアルしていますが、リニューアルの度に味(液体濃度)が薄くなっています。春から夏にかけて水分摂取量が増えるタイミング、今回の容量減はとても残念です。昨年、2種類のCCレモンが存在していると、一部で話題になっていましたが、本件も同様です。メーカーとしてきちんと公表していただきたいところです。次回は良い方向のリニューアルに期待します。
12,B08V29DGY9,サントリー クラフトボス Tea ノンシュガー 紅茶 450ml ×24本,BOSS(ボス),ぷるぷる,2021年3月9日,1.0,紅茶っぽい,容量が500→450へ減るが、値段は据え置きのため値上げとなる
