,ASIN,product,brand,name,date,score,title,comment
0,B08VTC68QJ,AGF プロフェッショナル カフェインレスインスタントコーヒー1杯用 50本 デカフェ・ノンカフェイン インスタント(スティック),AGF(エージーエフ),Hirochel,2021年4月16日,5.0,味は申し分ないですが梱包がヒドい！,紅茶はいつもティーバッグを利用していたのですが、お湯を注いでからつきっきりでいることをしないのでよく失敗して渋みも出してしまっていました。スティックタイプのドリンクはよく使っていましたが、紅茶には出会ったことがなくAmazonでその存在を初めて知り試しに購入しました。お湯にさっと溶け　初めて飲んだ時にそのスッキリした味と香りに驚きました！！ほんとにおいしい！娘にも勧めたところ美味しい〜と半分持っていかれました。（笑）それからはスティックオンリーです♪パッケージが変わって見失いましたが再発見して安心！携帯にも便利で旅行にも必ず携行しています。
1,B08VTC68QJ,AGF プロフェッショナル カフェインレスインスタントコーヒー1杯用 50本 デカフェ・ノンカフェイン インスタント(スティック),AGF(エージーエフ),ミニューシャ,2021年3月13日,4.0,激甘でした。,前パッケージの粉末紅茶がすわディスコンかと思い込み騒いでしまい接待用の少量タイプ迄買ってレビュー書いてしまいましたがどうやら単なるパッケージ替えだったようです。定期購入指定もしたし今後の安定供給を期待します。別段パッケージを変える必然性があったのかは疑問で飽きられない様にとのマーケティング政策は理解するが食品業界でのロングセラーのブランド力は戦略上有益な筈故探すのに困る様なランニングチェンジ（おまけにショートしてるし）は抑えて頂けると有難いです。素材供給元が別チャネル（ベンダ、自社）ルート供給でも一エンドユーザとしては一向に構いませんが。
2,B08VTC68QJ,AGF プロフェッショナル カフェインレスインスタントコーヒー1杯用 50本 デカフェ・ノンカフェイン インスタント(スティック),AGF(エージーエフ),Coco,2021年5月27日,2.0,上手にいれた気分になれる〜❣️,箱が破損していた。個別包装なので異物の混入とかはないけど、スーパーなら見切り品になるレベル。「配達員の責任」って意見もあるけど、ここまで重なると、そうでないことは明白。Amazonは、きっちりと原因を調べて、改善するべき。味は、普通にうまい。星二つなのは、箱破損が理由。あと、フリーズドライじゃないです。気にする人は注意。
3,B08VTC68QJ,AGF プロフェッショナル カフェインレスインスタントコーヒー1杯用 50本 デカフェ・ノンカフェイン インスタント(スティック),AGF(エージーエフ),Aki,2021年4月8日,1.0,ディスコンかと騒いてしまいましたが単なるパッケージ替えのようでしたスミマセン,どのタイミングでこうなってたかはわかりませんが、最低です。
4,B08VTC68QJ,AGF プロフェッショナル カフェインレスインスタントコーヒー1杯用 50本 デカフェ・ノンカフェイン インスタント(スティック),AGF(エージーエフ),dobidowa,2021年5月16日,1.0,箱破損,手軽に使用でき、茶殻もでないので便利ではあるが、香りが薄く、美味しくもない。一度使ったティーバッグを再使用したような気になる。大手食品メーカーの商品とは思えない。
5,B08VTC68QJ,AGF プロフェッショナル カフェインレスインスタントコーヒー1杯用 50本 デカフェ・ノンカフェイン インスタント(スティック),AGF(エージーエフ),匿名,2021年7月20日,3.0,たぶん配達員だと思われる,お湯だとなんだか薄くロイヤル？ただのミルクティーです。試しにミルクに溶かしてみたらとても甘かったです。リピはないかなと悩み中です。
6,B08VTC68QJ,AGF プロフェッショナル カフェインレスインスタントコーヒー1杯用 50本 デカフェ・ノンカフェイン インスタント(スティック),AGF(エージーエフ),HS,2021年5月2日,5.0,香りも味にも不満,ゴミが増えるとかスペース取るとかマイナスもあるけれど、一本で丁度よい飲みやすいコーヒーが出来るのはいいね。大手コーヒーチェーン店と比べたらマイナスですが。
7,B08VTC68QJ,AGF プロフェッショナル カフェインレスインスタントコーヒー1杯用 50本 デカフェ・ノンカフェイン インスタント(スティック),AGF(エージーエフ),めれ,2021年7月17日,5.0,普通のミルクティー,冷たい水にサッと溶けて、美味い!!たぶんホットでもいけるのではないかと…夏なんで…(ΦωΦ)👅なんで…常温の水道水でもうまいっす!
8,B08VTC68QJ,AGF プロフェッショナル カフェインレスインスタントコーヒー1杯用 50本 デカフェ・ノンカフェイン インスタント(スティック),AGF(エージーエフ),あまぞん,2021年4月7日,5.0,個包装は便利♪,妻が大好きで定期的に買ってます。お気に入りです。１００本入りもあるといいな。
9,B08VTC68QJ,AGF プロフェッショナル カフェインレスインスタントコーヒー1杯用 50本 デカフェ・ノンカフェイン インスタント(スティック),AGF(エージーエフ),Q-Z,2021年4月19日,5.0,甘味が……,とにかく美味しいです。表示されたお湯の量より多めに入れても、十分に香りもあり、きれいにさっととけます。
