,ASIN,product,brand,name,date,score,title,comment
0,B08VTDBTFL,AGF プロフェッショナル プレミアム紅茶1杯用 50本 粉末,AGF(エージーエフ),Hirochel,2021年3月13日,4.0,味は申し分ないですが梱包がヒドい！,前パッケージの粉末紅茶がすわディスコンかと思い込み騒いでしまい接待用の少量タイプ迄買ってレビュー書いてしまいましたがどうやら単なるパッケージ替えだったようです。定期購入指定もしたし今後の安定供給を期待します。別段パッケージを変える必然性があったのかは疑問で飽きられない様にとのマーケティング政策は理解するが食品業界でのロングセラーのブランド力は戦略上有益な筈故探すのに困る様なランニングチェンジ（おまけにショートしてるし）は抑えて頂けると有難いです。素材供給元が別チャネル（ベンダ、自社）ルート供給でも一エンドユーザとしては一向に構いませんが。
1,B08VTDBTFL,AGF プロフェッショナル プレミアム紅茶1杯用 50本 粉末,AGF(エージーエフ),ミニューシャ,2021年4月16日,5.0,激甘でした。,紅茶はいつもティーバッグを利用していたのですが、お湯を注いでからつきっきりでいることをしないのでよく失敗して渋みも出してしまっていました。スティックタイプのドリンクはよく使っていましたが、紅茶には出会ったことがなくAmazonでその存在を初めて知り試しに購入しました。お湯にさっと溶け　初めて飲んだ時にそのスッキリした味と香りに驚きました！！ほんとにおいしい！娘にも勧めたところ美味しい〜と半分持っていかれました。（笑）それからはスティックオンリーです♪パッケージが変わって見失いましたが再発見して安心！携帯にも便利で旅行にも必ず携行しています。
2,B08VTDBTFL,AGF プロフェッショナル プレミアム紅茶1杯用 50本 粉末,AGF(エージーエフ),Aki,2021年5月27日,2.0,ディスコンかと騒いてしまいましたが単なるパッケージ替えのようでしたスミマセン,箱が破損していた。個別包装なので異物の混入とかはないけど、スーパーなら見切り品になるレベル。「配達員の責任」って意見もあるけど、ここまで重なると、そうでないことは明白。Amazonは、きっちりと原因を調べて、改善するべき。味は、普通にうまい。星二つなのは、箱破損が理由。あと、フリーズドライじゃないです。気にする人は注意。
3,B08VTDBTFL,AGF プロフェッショナル プレミアム紅茶1杯用 50本 粉末,AGF(エージーエフ),Coco,2021年4月8日,1.0,上手にいれた気分になれる〜❣️,どのタイミングでこうなってたかはわかりませんが、最低です。
4,B08VTDBTFL,AGF プロフェッショナル プレミアム紅茶1杯用 50本 粉末,AGF(エージーエフ),dobidowa,2021年5月16日,1.0,箱破損,手軽に使用でき、茶殻もでないので便利ではあるが、香りが薄く、美味しくもない。一度使ったティーバッグを再使用したような気になる。大手食品メーカーの商品とは思えない。
5,B08VTDBTFL,AGF プロフェッショナル プレミアム紅茶1杯用 50本 粉末,AGF(エージーエフ),匿名,2021年5月2日,5.0,たぶん配達員だと思われる,ゴミが増えるとかスペース取るとかマイナスもあるけれど、一本で丁度よい飲みやすいコーヒーが出来るのはいいね。大手コーヒーチェーン店と比べたらマイナスですが。
6,B08VTDBTFL,AGF プロフェッショナル プレミアム紅茶1杯用 50本 粉末,AGF(エージーエフ),HS,2021年6月7日,5.0,香りも味にも不満,口コミ通り甘かったですが氷を入れてアイスミルクティーにするには丁度良いと感じました(◍•ᴗ•◍)個包装も使いやすく持ち運びも出来て便利です♪
7,B08VTDBTFL,AGF プロフェッショナル プレミアム紅茶1杯用 50本 粉末,AGF(エージーエフ),shima,2021年4月18日,2.0,マイカップでちょうどいい濃さ,香りは良いです。しかし、人工甘味料の甘さがキツいです。砂糖と人工甘味料の違いが分かるような舌だとは思っていませんでしたが、愛飲している砂糖のみの商品と比べると明らかに甘さの質が違いました。飲めなくはないですが、リピートすることは無いかなと思います。
8,B08VTDBTFL,AGF プロフェッショナル プレミアム紅茶1杯用 50本 粉末,AGF(エージーエフ),佐藤浩之,2021年5月5日,4.0,おいしいそうです。,ミルク多めで美味しいです。紅茶を楽しみたい方には香りが少ないかもしれません。
9,B08VTDBTFL,AGF プロフェッショナル プレミアム紅茶1杯用 50本 粉末,AGF(エージーエフ),はちみつ33,2021年5月10日,5.0,美味しいです。,飲みたい時にすぐ飲める。職場で気軽に飲んでます。
10,B08VTDBTFL,AGF プロフェッショナル プレミアム紅茶1杯用 50本 粉末,AGF(エージーエフ),ゆきんこ,2021年5月11日,4.0,ミルク多め,カップ一杯分で使いやすいです♪他の粉末タイプと飲み比べだけどこれが好きです
11,B08VTDBTFL,AGF プロフェッショナル プレミアム紅茶1杯用 50本 粉末,AGF(エージーエフ),はな,2021年5月17日,4.0,お手軽,美味しかったのでリピします。
12,B08VTDBTFL,AGF プロフェッショナル プレミアム紅茶1杯用 50本 粉末,AGF(エージーエフ),おりなす山のぶぶ,2021年4月17日,4.0,ホットで飲むならこれ！,パッケージ変わったのですかね？何時もの味で安心です。
13,B08VTDBTFL,AGF プロフェッショナル プレミアム紅茶1杯用 50本 粉末,AGF(エージーエフ),Amazon カスタマー,2021年5月12日,5.0,味,スティックタイプで手軽に飲める。
14,B08VTDBTFL,AGF プロフェッショナル プレミアム紅茶1杯用 50本 粉末,AGF(エージーエフ),ミイナ,2021年6月12日,5.0,パッケージかわった？,いつの間にか新製品となっていたので、こちらの商品を購入することになりました。味は以前と同じで問題ありません。私が購入したときは賞味期限が約1.5年あり飲みきれる期間でした。やはりスティックタイプは便利です。
