,ASIN,product,brand,name,date,score,title,comment
0,B08WCB4JD2,アサヒ 十六茶 お茶 630ml ×24本,十六茶,yamakun,2021年5月1日,5.0,いつも買ってます,セールでお安く買えました。職場に持って行って1日水分補給するのに丁度良い量です。容器を帰りに捨てて帰られるので水筒持参より荷物にならないし、洗う手間も省けます。Amazonで買うと、お安く、また玄関先まで届けてくれるので助かります。
1,B08WCB4JD2,アサヒ 十六茶 お茶 630ml ×24本,十六茶,猫タロウ,2021年3月27日,4.0,コスパ良い,十六茶のシリアルナンバーを入力したところ大半が登録済みの番号でがっかりした。買って損した気分です。
2,B08WCB4JD2,アサヒ 十六茶 お茶 630ml ×24本,十六茶,dashi,2021年7月14日,4.0,お仕事中の水分補給に丁度良いです！,コスパは良い。味も良い。昔の16茶のほうがうまかった気はするがこればかりはいたしかたない。
3,B08WCB4JD2,アサヒ 十六茶 お茶 630ml ×24本,十六茶,山下昌代,2021年4月7日,5.0,シリアルナンバーが登録済み,飲みやすく、定期的に購入しています。１日1本飲んでいます。
4,B08WCB4JD2,アサヒ 十六茶 お茶 630ml ×24本,十六茶,ゼッツガン,2021年4月13日,5.0,セールなら,味はカフェイン無しで飲みやすく量も１日で飲むのに丁度良いです。
5,B08WCB4JD2,アサヒ 十六茶 お茶 630ml ×24本,十六茶,坂本健二,2021年5月5日,5.0,飲みやすいです,子供のスイミングや体操やる時に一本ずつ持って行きます😊
6,B08WCB4JD2,アサヒ 十六茶 お茶 630ml ×24本,十六茶,ひろ＆こう,2021年7月20日,5.0,水分補給,味が気に入っています。お安く買えて満足です。
7,B08WCB4JD2,アサヒ 十六茶 お茶 630ml ×24本,十六茶,Yu Ram,2021年6月29日,5.0,美味しい,体に良さそうだし　飲みやすく　お気に入りです
8,B08WCB4JD2,アサヒ 十六茶 お茶 630ml ×24本,十六茶,coco,2021年5月2日,4.0,美味しい,1年くらい前から夏も冬も夫婦ともこのお茶をのんでます。
9,B08WCB4JD2,アサヒ 十六茶 お茶 630ml ×24本,十六茶,ABOAB,2021年5月5日,1.0,スーパーで買うより安い時に購入,箱が蹴られたように破けていた。配達の方が玄関に置いて受け取った時はその激しく破けた面は反対側で気がつかなかった。何年か前も同商品の箱破れが何度もあった。爽○○茶とかの時に箱に難はない。
