,ASIN,product,brand,name,date,score,title,comment
0,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,tenprikoji3,2020年12月19日,4.0,うーん微妙！,寒くなっても、飲みたくなる、キリンの午後紅茶、甘さもちょうどよい。
1,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,belowcloud,2020年10月3日,4.0,2021版は不味いままでした,ストレートとは云え(微糖とまでではない)舌にほのかな甘味が感じられ スッキリとした味がたまらない。
2,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,こうちゃん,2021年6月18日,1.0,キリン午後の紅茶,全く異なる商品が届きました。ネット上もカスタマーセンターへの問い合わせもできません。本来注文した午後の紅茶との交換で構いませんが、アクセスできません。
3,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,tred,2020年10月15日,5.0,口に含んだ時の爽やかな味がgood!,いつもの味でしたがいつもより安く買えました！またセールが来たら買いたいと思います。
4,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,アロイ,2020年6月3日,5.0,異なる商品が届いたので,昔から変わらぬ味。ジュースの甘さはキツい年頃なので健康重視で。紅茶が身体に良いかはわからないけど。
5,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,brush,2021年2月13日,5.0,ﾌﾟﾗｲﾑﾃﾞｰで安く買えて良かった！,やっぱり定番のストレート　午後の紅茶最高でした。ぜひ、お買い得の際は、また、購入したいです
6,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,十六夜,2020年11月18日,4.0,たくさん飲むので買いだめ,美味しい朝はこれ飲んでます良く飲んでると歯にステイン
7,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,シロヒコ,2021年1月3日,5.0,やっぱり最高,コロナウィルスが紅茶で不活性化するとの情報を聞き買いました。効果のほどは不明です。
8,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,RマニアＶＳ白骨死体,2020年3月11日,4.0,飲みやすい。,甘さ控えめで、すっきりとした味わいです。昔からある商品ですので、やはり安定した美味しさがあります。
9,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,Amazonカスタマー,2021年6月14日,5.0,食事にもあいます。,よく飲むので、お店で購入すると運ぶ手間もありなかなか箱で購入できないのでたすかります。毎日のむので安く購入でき納得です
10,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,IM,2021年4月21日,5.0,定番,夏は冷たく、冬は暖かく試飲し、その上さっぱりしていてとても美味しい。
11,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,Amazon カスタマー,2020年12月13日,5.0,お得,間違いない
12,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,竹内　忠志,2020年4月1日,5.0,後味　さっぱり,仕事に毎日持って行ってます。頭を使った後に最適。
13,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,いやほい,2020年8月31日,4.0,間違いない,ストレートだから、和洋OK
14,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,mimmy001,2020年5月23日,5.0,安定の美味しさ,適度な甘みと酸味のバランスが好きでリピート購入しています
15,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,ペン✒ちゃん,2021年6月28日,4.0,ストレートだから合わせやすい,いつも飲んでる物なので購入しました。少しでもお安いほうが嬉しいです(*^^*)
16,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,レジラ,2021年1月21日,5.0,うまい,安く買えて良かったです。
17,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,フェラーリー69,2021年5月9日,5.0,依存性です。,言う事無し！いつもの 美味しい午後ティーです♪
18,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,A,2020年7月31日,5.0,安かった,よかった！
19,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,Amazon カスタマー,2020年5月14日,4.0,安定の美味しさ,いつも会社で飲んでます。
20,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,党　辰也,2019年11月26日,3.0,美味しかった！,とても美味しい紅茶サイズもとてもいいです
21,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,shin,2020年5月19日,5.0,ぬるくても美味しい。,美味しい
22,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,Amazon カスタマー,2021年3月21日,3.0,とても美味しい,もうちょっと安くならないかなぁ。
23,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,かおる,2020年4月23日,4.0,美味しい,午後の紅茶シリーズで一番好きな味
24,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,M・W,2021年3月23日,5.0,賞味期限は6か月程度,安く購入でき良かったです綺麗な箱で届きました
25,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,Amazon カスタマー,2021年5月4日,5.0,美味しい,前よりも味が洗練されていた
26,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,Amazon カスタマー,2020年4月23日,5.0,安い(^^),いつも注文しています。重いので配達してもらい助かっています。
27,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,fkcnot,2020年2月3日,5.0,洗練されてました,300ccでもイイかも
28,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,宮崎里美,2021年2月25日,5.0,おいしい,運転手様お疲れ様
29,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,ジュピター,2018年11月7日,4.0,概ねok,リニューアルして、甘さが控えめになり、すっきりしています！
30,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,ひまんじ,2019年9月8日,5.0,コロナ！,ずっと飲んでます
31,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,ちびどん,2018年9月19日,5.0,甘さが控えめになった！！,購入し間違えて48本届きました。今の所飽きは来ていませんが、ミルクティーなら死んでいたと思います。
32,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,snygg,2021年3月14日,5.0,安心安定。,とても美味しいですね。芳醇な香りが鼻から抜けました。甘さも押さえてありましたが、意外にもしっかりとした甘さが逆に美味しさにつながっているのではと感じたほどです。砂糖類が入っている方が美味しいのは事実ですが。昔から飲んでいるので、安心感は最初からありました。紅茶の美味しさを再確認している気分です。ペットボトルのラベルからも高級感が漂います。普通に美味しいので、万人に愛される味わいだと評価しています。
33,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,,2021年3月21日,4.0,人工甘味料不使用で紅茶らしさも堪能出来る、甘さ控えめストレートティー♪,砂糖入りの紅茶と言えば午後ティーというくらいの認識で以前から度々飲んでいました。今回はリニューアルしたので以前との違いを……と思ったのですが、正直言いましてわかりませんでした。変わらず美味しいですし、香りも良いです。逆に飲んでいる側が歳を取っているのに変わらぬ美味しさに感じているのはそのようにリニューアルが繰り返されているからかもしれません。砂糖入りの紅茶を否定する人もいますが、そんな意見は気にせず楽しめば良いと思います。手軽にゴクゴク。ずっと美味しい紅茶です。
34,B08WXSC99Q,キリン 午後の紅茶 ストレートティー 500ml PET ×24本,午後の紅茶,sasabon,2021年3月17日,4.0,美味しい紅茶の味わいを堪能しました,綺麗なカットのボトルです。ふたを開けて匂いを嗅ぐと良い香りがしました。味は最初はあまり甘くないかな…と思っていると少しして紅茶独特の渋みとともにサッと甘みが広がります。渋みがやや効いているのか、甘すぎるようなそうでもないような…ギリギリの感じです。家族にも飲んでもらいましたが、「あんまり甘くない」という息子と「甘い～苦手」という夫がいて味覚差がでました。夫の方は普段からペットボトルの紅茶は飲んだことのない人です。私自身としては、ほど良い甘さと思いました。
