,,ASIN,product,brand,name,date,score,title,comment
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),クロコダイルダンディ,2021年3月18日,4.0,イマイチ,"このワークデザインコーヒーというシリーズには働き“ながら""飲む、タスクの“あいま""に飲む、休憩時の“息抜き""に飲むと言ったシチュエーションに合わせて3種類のコーヒーがあり、それぞれ最適化されているらしい。そしてこの「あいま」は仕事の合間、短時間で飲みきれる小容量で満足いくようなタイプのインスタントコーヒーとしてほんとにさっといれて、クイット飲み干す感じのコーヒー。個人的にはパッケージに書いてあるコク5", 酸味4, 苦味3 のバランスというよりは、コクと苦味が逆転した印象。苦味はしっかりきて、目がさめるような感じ。もう少しコクと香りが欲しいなぁとも思ってみたけどすぐ飲み干せ、でも飲んだ気分になるお手軽感がいい感じ。まさにショートブレイク用。アイディアに詰まっている時など、ちょっと飲むのにちょうどいいサイズでそんなに量はいらないんだけどなぁ…という時に最適だった。
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),カデレオ,2021年3月20日,4.0,コーヒーのおまけの音楽機能が充実している!!,テレワーク中の合間に飲みました。コーヒー大好きです。スティックでサッと取り出し、サッと溶けてくれます。風味はやや薄め。逆に言うと淡いコーヒーの香りで心地よくはありました。酸味、苦みは少なめ。うまみとコクが少々あり、全体的にサッパリとした印象です。もう少し味に特徴があると良かったかなと個人的には思いましたが、ショートブレイク用というコンセプトには非常にマッチしていると思います。クセも無く、口当たりは抜群。総じて飲みやすく、美味しかったです。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),Dawn,2021年4月2日,5.0,スティック1本にお湯（100ml~120ml）、ショートブレイク用の飲みきりサイズのコーヒー,まず当方試飲品 【ショートブレイク用(あいま)】 の内容物は、おそらく『スプレードライ製法』で製造されたと思われる不定形粒状で、商品名には冠していませんが【ブレンディ】系のインスタント珈琲と言えそうです。従って『フリーズドライ製法』の【マキシム】系よりも、若干水溶性が高いですが、アイス飲用の際は「湯で溶かしてから氷を投入」とも指示されています。一方の香味は、酸味が生じ難い【アラビカ豆(エチオピア産)】が用いられ、香料無添加のインスタント珈琲らしく刺激性が無い事に加えて、焙煎も中程度に抑えられているみたいで、ブラックでも飲み易い苦みに控えられています。尚、香味スペック表記においては、酸味が「やや強め」と示されていますが、こちらは「弱い」に改めても良いぐらいで、フルーティーさを求める方にはイマイチとなりそうです。勿論【糖類＆乳製品】だけで無く【乳化剤】等の添加物は一切無く、お茶の様に頂く珈琲との認知が妥当です。そして本商品最大特徴は、スティック型個包装の容量が「100～120ml」分と少なめになっており、種別的には「デミタス珈琲」では無いのですが、用意するカップはそれぐらいに小さい物が望ましいです。パッケージは、鋏不要で開封出来るアルミパック個包装で、外装紙箱は保管箱用途に流用出来る造りを備えます。販売元は【味の素AGF】で、製造所は神奈川の【トーカイ・パッケージングシステム・海老名事業所】となっており、賞味期限は2年近くありました。総じて、文字通り仕事の合間に、短時間で飲み切れる量の個包装インスタント珈琲で、香味も「ダレ過ぎず＆テンション上げ過ぎない」中間的な焙煎としてあり、想定用途に沿った良い一杯と感じます。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),qwop,2021年4月25日,5.0,パッと切り替えたい時に最適かも,普段ホット系お茶はあまり飲まない(基本アイス)ので、たまにホットコーヒー缶(250ml)を手にしても、熱い飲み物を 250ml というのは持て余すことがあるので本製品の 100-120ml というのは、まさにテレワークのテレコンとテレコンの合間の 5-10 分で一息入れるのにちょうどよい量で気に入りました。風味的には苦みがしっかりしつつもさっぱりした感じなのもリフレッシュにちょうど良いと感じました(逆に、マグカップ一杯をしっかり飲む…だと、もうちょっとしっかりしたボディと酸味とかが欲しいかなとも思いますので、やはりこの量に合わせたブレンドなのだろうなと思っています)。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),,2021年4月10日,5.0,デミタスカップに丁度良い少量インスタント珈琲で、香味は刺激性を抑えて滑らか☕,こういうスティックコーヒーだと1本で150～200mlと正直物足りなかったのですが、これは300mlと大容量なのが嬉しいです。まさに仕事しながら飲むことができます。味に関しては苦味がちょっと強いかな、といった感じ。仕事しながらなので苦味でアクセントを与えつつ仕事しようという感じでしょうか。個人的には好きな味です。QRコードの音楽に関しては、私は音楽を聞きながらの仕事はしないので採点せず。とはいえ、コーヒー自体は美味しいのでこれはおすすめできますね。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),Tarezou,2021年3月31日,4.0,250ml 缶でも持て余すことがあるのでちょうどよい,スティック形式の個包１袋で100mlほどの少量のコーヒーが作れます。忙しい仕事の＜あいま＞にサクッと気分転換的に飲むというコンセプトですが、確かに小休憩的に飲み干すにはちょうど良い量です。インスタントの割には入れる時の香りは立つ方だと思いますが、コクは少々物足りない感じで、爽やかな苦味が特徴に思います。全体的に淡白であっさりめの風味ですが、小休憩時にまったりと濃厚なコクを楽しむのもどうかとは思うので、ちょっとしたリセット的に飲むのにはこれで良いのかも知れません。パッケージ箱に２次元バーコードがあって、ここから＜作業用BGM＞が聞けるサイトに行けるようですが、その事に気づかず封のシールをはがしたらバーコードの印刷ごと剥がれてしまいました。どんなものか興味はあったのですが、ここにしかバーコードがなかったので残念でした。封シールがバーコードにかぶって貼られているので聴きたい方はカッターで開封するなりした方が良いですね。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),福山知美,2021年4月9日,5.0,300mlがすばらしい,普通、市販のコーヒーメーカーの表記で例えば5杯用とあれば、それは1杯180ml程度で換算された量を抽出することを差しています。つまりコーヒー1杯は180ml程度。しかしこの商品は、1本のスティックに対し、お湯の量はホットならば100-120mlと書いてあります。この量は、一息飲むのにちょうどいい。つまり本当に「合間」用なのです。外箱には作業中のBGMが得られるQRコードまであって、本当に本当にワークなのだなと分かります。お味も良くて、意外とこの手軽さはいいんじゃないか、と感心しました。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),つくしケース,2021年4月2日,4.0,小休憩時にリセット的に飲みきれる量とあっさり風味　爽やかな苦味で気分転換になります,仕事中に飲むコーヒーとして、AGFさんが３つの提案をしてくれました。今回、私が飲んでみたのは「あいま」です。◆　「あいま」の特徴　◆仕事のあいまのショートブレイクをイメージしたお味＆容量になっていて、コクしっかり、酸味まぁまぁ、苦味少なめというお味で、１スティックで１００ｍｌ程度の少量のものとなっています。個人的に特に感じたお味の特徴としては、やや香ばしさが強めに感じました。◆　シリーズ紹介　◆ながら：仕事をしながら飲む大容量タイプいきぬき：ドリップタイプでしっかり休憩用◆　Work Design Music　◆パッケージ天面にあるQRコードを読み込んで各種シーンをチョイスすると、BGMをかけてくれます。ただ、利用規約に同意して、仕事内容を選んで、働きたい場所を決めてようやく音楽スタートとなります。ちょっと面倒、でもそのときの雰囲気を選択できるかな。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),Mimi,2021年4月8日,5.0,予想外の美味しさ,仕事の合間に飲むコーヒーと云うブレイク用と云う珍しいスティックコーヒー。味わいや豆の品種よりも「仕事をしながら」を全面に打ち出したユニークさで脳内に仕事をしながら飲む自分を想像出来ます。香り＆コクはやや低めのサッパリした味わい。コーヒークリームを入れると更にマイルドな口当たりになりカフェオレにも合います。働く時間をデザインする作業用BGMのQRコードがスティックに印刷されているのでスマホで読み取れば音楽も聴けるオマケ付きは今までに無い面白い企画だと思いました。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),拳を握って立つ女,2021年3月31日,4.0,少量を短時間に気軽に飲めるのだけがメリットな製品,(ショートブレイク用「Aima（あいま）」のレビューです)100ml程度の少量のお湯が適量という、ほんとうに何かの合間にちょっとだけ飲むのに適量のスティックです。こんな少量なら、飲んだ気がしないかも…と、最初は心配していましたが、苦みとコクがしっかりしていて、少量でも満足感のある味わいのコーヒーでした。しっかりした味があるので、ミルクを入れても負けません。私はコーヒーはこのくらいの量で満足なので、このコンセプトと味はとても良いと思いました。注意点としては、普通のマグで作ると、少量なのでやや寂しい感じがあるかな？と思います。これ用に、小ぶりのコーヒーカップなどがあると、より美味しく飲めると思います。お値段的にやや高値設定に感じられるので、星は４つをつけますが、私はかなり気に入っています。,,
