,ASIN,product,brand,name,date,score,title,comment
0,B08X4W9KNL,AGF ブレンディ ナチューム 紫いものラテ 4本 ×4個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),百目鬼,2021年5月24日,4.0,紫芋系めっちゃ好きな私だけど･･･,紫いもと見て飲んでみたくて購入しました。凄く甘ったるいのかと思っていましたが、私にはとても薄く感じたので星4個にしました。もっと紫いも感強くても嬉しいです。
1,B08X4W9KNL,AGF ブレンディ ナチューム 紫いものラテ 4本 ×4個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),Saori334,2021年5月5日,1.0,香りはすれども味はせず。,芋系のラテ珍しい！ラテ系すごく好きで絶対美味しい！と思って購入しましたが想像以上に味が薄い＋どろっとしていてもったりで好みではありませんでした…。芋をすりおろして水足して飲んでる感じしました…。
2,B08X4W9KNL,AGF ブレンディ ナチューム 紫いものラテ 4本 ×4個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),Amazon カスタマー,2021年6月25日,5.0,サッパリしていました,ちょうどいい甘さで、夕方や夕食後にちょっと小腹が空いたときに飲んでいます。野菜や食物繊維が摂れるのがうれしいです！
3,B08X4W9KNL,AGF ブレンディ ナチューム 紫いものラテ 4本 ×4個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),KANA,2021年4月28日,3.0,私には合いませんでした。,味は甘すぎず紫芋の風味がしっかりコーヒーもキャラメルも飽きたのでヘルシーで美味しい
4,B08X4W9KNL,AGF ブレンディ ナチューム 紫いものラテ 4本 ×4個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),くろまる,2021年6月22日,1.0,ヘルシーな小腹満たし,ノーマルな南瓜の味だと思って購入してしまいましたが…………生姜がはいってました。私には初めて？意外な組み合わせだったので慣れないです。ごめんなさい。あまり好きではない味でした。南瓜は大好きなのですが…………。
5,B08X4W9KNL,AGF ブレンディ ナチューム 紫いものラテ 4本 ×4個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),Amazon カスタマー,2021年4月2日,5.0,小腹が空いたら,ふんわりと優しい味のお芋のラテです。おいしいです。甘みはきつくはなく、優しい味わい。なんか優しい、と思ったら、白砂糖の代わりにきび糖を使ってあるとのこと。それを読むと、そういえばこれは精製された白砂糖の甘みとは違うなと納得。きなこが入っていることでそれを増しているかも知れません。かつ、優しい甘みのためか、飲んだ後に甘みが口の中に残らないのもいいですね。スティックに入った粉にお湯を注いでかき回すと、ふんわりと泡が立つのですが、その泡の感触も優しい。液体はスプーンでちょっとかき回すと多分薄紫…パッケージの通りだと思うのですが、泡が立っていて基本見えません。スティックのパッケージも紙のようで（最近、キットカットもか見に変わりましたが、それと同じような気がします）あけやすいです。ちょっと甘いものが口にしたいなと思ったときにちょうどいいですね。
6,B08X4W9KNL,AGF ブレンディ ナチューム 紫いものラテ 4本 ×4個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),ゴボウ,2021年3月15日,2.0,生姜の味がします。,"まず粉をカップに入れるところから紫いものいい匂い！これは期待できるか？と思っていざ飲んでみると...なんだろう。紫いも感が薄れてなんだかお湯と甘みと全てが分離しているような。薄いココアを飲んでいるような、ラテ感はあるんだけどなんかこうしっくりこない。なんか舌に変な味が残るし、全てが合わさることがない感じというか。まずくはないんだけど、甘いものが欲しい時はありな気はするんだけどオススメするかっていったらオススメできないかなーっていうお味。んでたまにきな粉の味がする。ああ、いたきな粉ってなる。あれ？混ぜきれてない？でも結構混ぜたと思うんだけど...。ってってもやもやするくらいには、なんだか味が分離してる。そしてチビチビ飲んでたら疑問とともに一杯飲み終わってしまいました。んで他の方のレビューを見てみると「ぼんやりとした味」とあって、うん、それ分かる。商品説明に『こだわり“ナチュラル""素材の甘み・香り(“パフューム"")を楽しみながら』ってありましたけどナチュラル感もなければ、香りも粉の時だけ...。材料みるとそんなことなさそうなのになーって思いつつ人工甘味料っぽいお味が。ちょっとこれは残念。わざわざカフェインレスうたうと、美味しくなくなるんでしょうか？"
7,B08X4W9KNL,AGF ブレンディ ナチューム 紫いものラテ 4本 ×4個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),clover,2021年5月1日,5.0,自然な優しい甘みが美味しい,抹茶ラテやミルクティーは甘すぎると感じていましたが、こちらの商品は甘味がちょうどよく飲み終わっても後味が良かったです。粉末なので、オフィスの給湯室でも手早く作れ気に入っています。
8,B08X4W9KNL,AGF ブレンディ ナチューム 紫いものラテ 4本 ×4個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),ゆぃんろん,2021年4月6日,4.0,好みが分かれるかもですが、我が家では星5,かぼちゃのラテをいただきました。総じて評価が良くない印象を受けますが、普通に美味しかったです。甘味料はステビアで人工ではないのも良いですね。ただ、飲んだあと、しばらく香料が口の中に残る感じがあるのが残念ポイント。かぼちゃは製品にすると、さつまいもと区別がつかない感がありますがこれも例外なく、かぼちゃ？さつまいも？な感じです。とは言え、パンプキンパイのフィリングのような味わいでなかなかおいしいです。ジンジャーは、風味程度。全体的に悪くないです。現在初夏に差し掛かろうという気候ですが、冬に飲んだらもっと良いだろうなという印象です。
9,B08X4W9KNL,AGF ブレンディ ナチューム 紫いものラテ 4本 ×4個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),まりりん,2021年4月7日,5.0,口当たりがふわふわ・・・それでもって体にいい,ノンカフェインで白砂糖不使用なので、ほっこり癒されたい、小腹がすいてきた・・そんなときにおすすめの紫芋のラテです。15本入りで、とろりとした紫いもに香ばしいきな粉が溶け込んだ、飲みごたえのあるまろやかなラテです。（※ラテと言っても、コーヒーは入っていません。）個包装スティックタイプなので、いつでもどこへでも持って歩いて楽しめます。白砂糖の代わりに、優しい甘みのサトウキビから取れるきび糖、植物由来の甘味ステビアを使用しているので、体に嬉しい食物繊維入りです。ノンカフェインなので、ナチュラルなヘルシーラテです。夜、小腹が減った時にも、ちょうどいいです、ラテでも、牛乳不要で、お湯を注ぐだけでOKという手軽さもあり、ほんのり紫芋の香りがするので、癒されます。お湯の量を多くしたり少なくしたりと、調整することで、甘さも好きな濃さに自由に調整できます。当初の期待以上に、美味しかったので、☆５つの評価とさせて頂きました。
