,ASIN,product,brand,name,date,score,title,comment
0,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),pamwpng,2020年4月1日,5.0,味の好みは人それぞれ前提,THERMOSの350mlのステンレスボトルにお湯で作ってみましたが、簡単にきれいに溶けるので、これは楽ちんで良いですね。クセの無いさっぱりとしたコーヒーなので、仕事中に飲むのにはぴったりだと思いました。冷やしたミネラルウォーターでも美味しそうです。
1,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),きのこのこのこ,2021年2月1日,4.0,コスパ最高〜,とりあえず思った点としては、これを麦茶として飲もうとするとペットボトル飲料やティーバッグの麦茶と同じ感覚で飲むと違和感があるかもしれません。味としては、まぁ麦茶っぽい何か。ただとって付けたような香ばしさ(？)とも言うべき香りで無理矢理それっぽくしてるような感じがします。上記のように、ディーバッグやペットボトル飲料と同じ感じのものを期待すると、ハズレ感は否めないかもしれません。正直、コスパも悪い方の部類には入るかと思います。ただ、純粋に味そのものは言うほど不味いものではなく、「何となく飲みたいな」っていうときにコップなり空のペットボトルなりに水を入れて、この粉末を入れれば麦茶っぽい飲み物が手軽に飲める。そんな「思い立ったら」って場面では非常に重宝してます。(コーヒータイプも同じく)一応300ml用を謳ってますが、正直500ml程度でもさほど違和感は感じず、これを持ち歩いて水を買ったらそれに入れて溶かす…等の使い方もできそうです。まぁ出先で麦茶が飲みたいなら最初からペットボトルの麦茶を買えば済む話なんですけど
2,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),Amazonユーザー,2021年6月10日,4.0,簡単、手早く美味しい♪,他の種類に比べ2倍の値段でしたがルイボスティー好きなのと、それでもペットボトルを買うより安いので購入しました480容量のマグに2本入れて少し濃いめに飲むのが好きですスーッとする感じが少なめでオリゴ糖が入ってほのかに甘みがありますそのままでも、ミルクシナモンを入れてチャイ風でも美味しいです他の種類と同じ値段になったら嬉しいですスーツとするルイボス！という感じを味わいたい、無糖がいい！という部分とスティックタイプで水にも溶けやすく抽出時間を気にせず飲める手軽さの部分とで前者に重きをおく方には不向きです
3,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),kouhei42,2020年9月26日,4.0,麦茶かと言われると…,300mlくらいのマグでコーヒーを飲むのにも良い濃さのコーヒーがすぐにでき、満足です。少し勢いをつけてお湯を注げば、混ぜなくてもすぐ溶けました！さすがに豆から淹れたときの味には及ばないけど、たまに他のインスタントコーヒーで感じる残念感は個人的にはありません。育児の間に忙しいけど、美味しいコーヒーで一息入れたい私にはありがたい存在になりそうです。他のかたも指摘されてましたが、箱はペチャンコに潰れてました。贈り物としての注文だったら嫌だったなぁ、と思いました。
4,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),Kindleユーザー,2020年9月7日,5.0,クセがないルイボスティー,思っていたほど不味くはないかな。非常用の水にそえて保管しようと思います。好みの問題ですが、500mlに溶かしたほうが美味しく感じました。
5,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),やきゅう好き,2020年7月22日,1.0,たっぷり美味しいインスタントコーヒーがすぐ飲めます,お湯に入れたら、香りがすぐ飛びただの茶色の湯になった。次に水に溶かしてみたが、香りは多少するが香ばしさが無い。添加物も入っており、どうして高評価が多いのか不思議でならない。マイボトルにちょうど良い容量の麦茶パックをみつけたので、今後はこれでホット麦茶を楽しもうと思う。いずれにしても、マイボトルスティックの麦茶は使えないなと思う。
6,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),しゃくじん,2021年4月29日,5.0,不味くはないです,自分は職場に持っていくボトルで使用していますが水入れて粉入れて振るだけってのが非常に楽で何度もリピートしています。喉が渇いたら飲む用なので500mlの水に1袋溶かして飲んでいます。当然味は薄いですが味わって飲むシチュエーションではないので自分的には十分です。他のものでは水には溶けなかったり150ml用だったりで自分はこの商品一択です。
7,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),ゴーレン,2020年7月9日,3.0,美味しいのは麦茶パック,●味について350mlにいれるとかなり薄く感じます。マイボトル用に購入しましたが、少し少なめにしようと思います。苦味酸味はほとんどないのでごくごく飲めるかと思います。●梱包について他の方もレビューしていましたが箱は潰れた状態で届きました。蓋が外れ、中身が何個か飛び出ていました。段ボールではなくプチプチ付きの袋できます。スティックタイプなので衛生面には問題ありませんが、気になる方はご注意ください。
8,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),Ama子,2020年8月31日,5.0,にがい,AGF マイボトルスティック ワン ブラックコーヒー 30本 粉末は、全く問題なくおいしくとても気に入っています。ただ、Amazonの配送業者が、不衛生でとても困りました。ああいう方が配送されると思うとAmazonでの買い物をやめたくなります。
9,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),ha hd,2021年6月10日,4.0,ボトルコーヒーよりコスパがいいと思ったら,とても香ばしく、飲みやすい。スティックなので飲みたい時にサッとできる、顆粒もとても溶けやすく冷たい水でも溶けやすい
10,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),サカイ　ヒロユキ,2020年3月24日,2.0,ブラックコーヒーは、問題ないのです。ただ、Amazonの配送業者が不衛生で困りました。,ボトルがついてるんだと思いました
11,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),ねこねこ,2020年12月24日,4.0,とてものみやすい,朝、コーヒーを職場に持っていくのに時間がなくてもさっと入れれるので、助かっています。お湯の量で、アメリカンも楽しめるので気に入りました。
12,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),ジミン,2021年3月8日,3.0,ボトルがついてるんだと思った,粒はなくさらっと溶けやすいですが、味や香りは他のスティックタイプよりないのが残念です。
13,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),クマさん,2021年7月20日,3.0,忙しい朝の準備におすすめ,溶かす量が良くないのか？コストコのルイボスティーよりクセがあります。少し面倒だけどコストコの方が美味しいです。煮出しもいらない、茶殻も出ないので楽な点はとても良いです。
14,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),たかだい,2020年4月4日,4.0,香りがないので,家族の会社で飲むように買いました、ボトルで簡単に作れるようなので便利かなと思います。まだ飲んでいないので味は分かりませんがアラビカ豆だということなので美味しいかなと。ただ配送が酷かったです！箱が潰れて袋の中で中身が飛び出していました。飲むのには影響がないにしても、開封した途端ガッカリします。
15,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),めれ,2021年2月27日,3.0,溶けやすい,味はむぎ茶の味でしたが匂いに慣れませんでした。サッと溶けるのでとても便利です次はコーヒや緑茶を試してみたいです
16,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),とくさん,2021年4月25日,5.0,お手軽,仕事の時にボトルにいれてもって行きますが　味もまろやか時間がたってもおいしくお手軽です
17,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),たつしゅん,2021年6月20日,5.0,味は微妙だけど手軽にアイスコーヒーが楽しめるのはいい。,飲みたい時に、氷と水を入れるだけで、直ぐ溶けるし、時間がたっても、味が落ちない！凄く良い！
18,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),ミー,2021年1月16日,2.0,意外に美味しい‼️,飲めなくは無いがブラックで飲むには厳しい。コーヒーとしての味わいが薄すぎる。
19,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),あべみ,2020年6月10日,4.0,水に直ぐ溶ける！,最近のように暑い日に、重いペットボトルを買う事なく、自宅で手軽にアイスコーヒーが作れて便利で重宝しています。
20,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),Amazon カスタマー,2020年10月17日,5.0,苦味も酸味も無,家族が毎日お茶を持っていくので購入しました。使用後もゴミがでず味があっさりして飲みやすいです。中々粉末タイプの物が近くで購入出来ないのでリピートしようと思います。
21,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),グリーン・ライト,2021年5月15日,4.0,アイスコーヒーが冷水で手軽に作れる。,簡単に作れるので便利です。味も飲みやすいです。
22,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),ポテトヘッド,2020年6月7日,4.0,美味しい！,さっと溶けてさっぱり美味しいです緑茶と珈琲も試しましが麦茶が一番美味しかったです
23,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),Amazon カスタマー,2020年6月24日,4.0,簡単、美味しい。,さっと溶けて使いやすいです。毎日主人の水筒に使ってます。スーパーで売られているペットボトルの麦茶や水だしパックの麦茶より香ばしい感じがします。
24,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),ミントティー,2020年6月3日,5.0,有り難うございます,マイボトルを持ち歩くため購入。味は、まぁ嫌いではないかな程度。ハンディさがいいなと感じてます。もしマイボトルを忘れても、このスティックさえあれば、コンビニで水を買えばつくれるので！
25,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),きぃ,2020年12月2日,2.0,美味しかったです,これを麦茶というのは厳しいかと。それっぽい何かですね。麦茶が好きでちょっとずつ手軽に飲めれば…と購入してみましたが再購入はしません。お手軽さは評価します。
26,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),HIRO,2020年4月25日,5.0,ちょうど良い量かな。,お水にも牛乳にもすぐ溶けて、とっても使いやすい。職場に持っていくボトルに使いました。
27,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),Amazon Customer,2021年2月27日,4.0,麦茶ではない何か,簡単に溶けて飲みやすくとてもいいです！1本入れるとちょっと濃く感じるかもしれませんので分けて飲むのもいいと思います！
28,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),kokimama,2020年8月17日,3.0,すぐ溶けます🎵,なかなか良いお味でした。有難う御座います。
29,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),萩原博一,2020年6月3日,3.0,美味しい！,口に入れるものなので箱潰れが少し気になりましたが、水に溶けやすく会社に持って行くのに丁度いいです。ミルクにも入れてみたいと思います。
30,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),マサヤ,2020年11月15日,5.0,また頼みます,手軽に飲めて良いです。水でもぬるま湯でもお湯でも何にでもすぐに溶けます。味も美味しいです。
31,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),あおい,2021年1月7日,1.0,梱包に工夫を！,味はインスタント感強めでした
32,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),ラムラムチョコレーズン,2021年2月18日,4.0,水筒用に重宝しています。,アイスでもホットでも溶けやすい。水の量で好みの濃さになる。薄くすると酸味が出る。インスタントにしては香りがいい気がします。
33,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),ごんぎつね,2020年4月13日,5.0,うーん、量的にはいいのだけど,手軽に作ることが出来て、味も飲みやすいのでまた購入したいと思います。
34,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),M,2020年8月24日,3.0,手軽にコーヒー,取りあえずそこそこといった感じです
35,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),かりん,2020年7月19日,3.0,手軽にお茶を楽しめる,軽くて携帯に便利です。主人が職場にこれと空のボトルを持って行って飲んでいます。麦茶と比べると溶けにくく、底に残ってしまいます。味はそれなりでした。
36,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),織田家の信奈,2021年4月23日,3.0,取りあえずそこそこ,お手軽で飲みやすいけど、味が薄い？ような気がします。
37,B08X4X6DS3,AGF マイボトルスティック ワン ルイボスティー 30本 ×2個 デカフェ・ノンカフェイン 粉末,AGF(エージーエフ),Ai,2021年6月1日,1.0,溶けにくい,これは麦茶の味ではない。想定外のレベル。
