,ASIN,product,brand,name,date,score,title,comment
0,B08XLPSG5V,ドルチボーレのオーガニックルイボスティー 1.8g×100個 レッドマークJP20グレード茶葉使用 ソイロンティーバッグ,Dolci Bolle,コウイチ,2021年4月21日,4.0,美味しい,量が少ないと効かないので、毎日400mlくらい飲んでいます。私だけかもしれませんが、毎日辛かった片頭痛がとても楽になりました。そのかわり、私は便秘とはほぼ無縁の人間だったため、お腹は壊しやすくなりました。それでもメリットの方が多いと感じるので毎日飲んでます。
1,B08XLPSG5V,ドルチボーレのオーガニックルイボスティー 1.8g×100個 レッドマークJP20グレード茶葉使用 ソイロンティーバッグ,Dolci Bolle,a.s,2021年5月13日,5.0,美味しかったです！,お買い得だと思います。美味しくて最近は冷たくして飲んでいます。
2,B08XLPSG5V,ドルチボーレのオーガニックルイボスティー 1.8g×100個 レッドマークJP20グレード茶葉使用 ソイロンティーバッグ,Dolci Bolle,もうすぐ三十路女,2021年6月23日,5.0,頭痛に効きました,友人からお勧めされ、購入致しました。とても美味しく飲みやすかったです！
3,B08XLPSG5V,ドルチボーレのオーガニックルイボスティー 1.8g×100個 レッドマークJP20グレード茶葉使用 ソイロンティーバッグ,Dolci Bolle,まいまい,2021年4月13日,4.0,夏はアイスで,ガブガブ飲めます、美味しい
4,B08XLPSG5V,ドルチボーレのオーガニックルイボスティー 1.8g×100個 レッドマークJP20グレード茶葉使用 ソイロンティーバッグ,Dolci Bolle,sanae,2021年3月31日,5.0,美味しいです！,1.8gというとわずかに見えますが、実際には、普通の緑茶などのテトラパックっぽいティーバッグと同じサイズです。色は鮮やかな秋のもみじ色といった趣きです。水出しでも小一時間くらいですぐに飲めるようになるので、ステンレスマグボトルに浄水とこちらを1パック入れていただいています。ルイボスティー好きな方なら、こちらを最初に口に含んだ時の華やかで甘い香りを控えめに感じられて、飲み進むと、甘さはなくすっきりとした後味が美味しいと思います。私はそんなにルイボスティー好きじゃないのですが、これは美味しいです。妻も「そんなに好きだっけ？」と驚いてました。ルイボスティーが苦手な方は、緑茶のパックと1個ずつ入れたりして、ブレンドにするのもおススメです。我が家は、2リットルに本品1
5,B08XLPSG5V,ドルチボーレのオーガニックルイボスティー 1.8g×100個 レッドマークJP20グレード茶葉使用 ソイロンティーバッグ,Dolci Bolle,東まま,2021年3月23日,4.0,美味しい,Your browser does not support HTML5 video. 甘みがあってえぐみが無く渋みも少ないスッキリしたお茶です。水出しだと甘味はそのままで雑味はより少ないクリアな味わいになります。香りはルイボスティー特有の芳ばしい香り。イメージとしては「秋」や「たき火」を思わせます。ルイボスティーってそもそも地味な味わいですよね。そんなに諸手をあげて「うまいうまい」と称賛するようなものでもありません。でも風味が穏やかでカフェインレスだから水分補給を兼ねて一日中飲んでいられます。デスクワークのお供にも良いし、お酒を飲んだ翌朝の胃に優しくて癒されます。
6,B08XLPSG5V,ドルチボーレのオーガニックルイボスティー 1.8g×100個 レッドマークJP20グレード茶葉使用 ソイロンティーバッグ,Dolci Bolle,けいたん2021,2021年3月9日,5.0,水出しでも使いやすい。華やかで甘い香りだけど、後味スッキリで美味しい！,自宅で仕事をすることが多くなり、コーヒー、紅茶、緑茶を一日10杯くらい飲んでいたらカフェイン中毒になりました。そこからの離脱は相当大変で、この冬はその反省から、ノンカフェインの麦茶を飲んでいました。そんな折、VINEプログラムでこのルイボスティーを知りました。ノンカフェイン＆ノンカロリーであり、かつオーガニックであるとのこと。こんなお茶があるとはまったく知りませんでした。この味を表現するのはかなり難しいです。色は紅茶や麦茶に似ていますが、風味はまるで違います。そうは言えども、美味しくないわけではなく、ふつうの紅茶等と同様ぐいぐいいけます。この大袋に100個の小袋が入っています。小袋ひとつでカップ3杯、鍋で煮立たせば1Lはいけます(説明書には、1Lで小袋2つとの表記はあります)。今後は麦茶よりも美味しく感じられるこのお茶にシフトしようと思います。なお、冒頭にも書きましたが、コーヒー、紅茶、緑茶などのカフェインの摂り過ぎには十分ご注意ください。ほんと、そこからの離脱は大変ですから。(反省)。
7,B08XLPSG5V,ドルチボーレのオーガニックルイボスティー 1.8g×100個 レッドマークJP20グレード茶葉使用 ソイロンティーバッグ,Dolci Bolle,rewshow,2021年3月18日,2.0,雑味が少なく甘みがあって優しい,○　色もよく出るし味もいい×　茶葉が漏れる味は普通のルイボスティー。色もよく出ていて、薄さは感じません。茶葉は多くはないが少なくもない。1袋に100個も入っているのでお得感あって安心。でも気になったのは茶葉の漏れ。飲み終わると必ずカップの底に茶葉が漏れ出てる。淹れてる最中に網目から外に出てきているのか、袋内のバッグがどれか破れているのかわかりませんが、害はないとはいえ飲んでてわりと気になりました。
8,B08XLPSG5V,ドルチボーレのオーガニックルイボスティー 1.8g×100個 レッドマークJP20グレード茶葉使用 ソイロンティーバッグ,Dolci Bolle,とろん,2021年3月17日,5.0,ハイグレードなのにリーズナブルで１００個も入っている。,麦茶代わりに使える、大容量サイズのルイボスティーです。小さなティーバッグですが、2lのヤカンに2つ入れて煮出したところ、あっという間にきれいな赤茶色になりました。スーパーで売られている国産有名メーカーの製品と比べると、甜茶のような甘みにやや欠け、発酵っぽい渋味が微妙に感じられますが、ちょっと煮出しすぎたのかもしれません。決して本製品が劣るということではなく、むしろお茶らしくて私は大いに気に入りました。ホットでもアイスでも美味しくいただけるルイボスティーですが、水出しでも簡単に美味しく淹れることができるのも良いですね。麦茶よりも芳醇で、紅茶のような渋味もなく、わが家では大人も子供も気に入っています。
9,B08XLPSG5V,ドルチボーレのオーガニックルイボスティー 1.8g×100個 レッドマークJP20グレード茶葉使用 ソイロンティーバッグ,Dolci Bolle,拳を握って立つ女,2021年3月24日,4.0,水でもしっかり出て美味しいです,夜、紅茶の代わりに飲んでいます。色は紅茶同様鮮やかな水色です。他のレビューに「煮出す」と書いている方もいますが、煮立てるのではなく、カップに入れて熱湯を入れて蒸らす程度で十分だと思います。テトラパックなので茶葉がよく開きました。味はそれほどクセがあるとは思いませんが、ミルクなどを入れるよりはストレートで飲んだ方が良いです。ティーバッグを入れたままでも苦くならないので、持ち歩きにぴったり。甘さはありませんが、すっきりした味わいなので、食事にも合います。
