,ASIN,product,brand,name,date,score,title,comment
0,B08XR2H2N9,AGF ブレンディ ザリットル 緑茶 6本 ×3個 粉末,AGF(エージーエフ),suzaku217,2021年5月27日,3.0,サッと溶ける！,自宅近くのスーパーでこの商品を見つけ、美味しかったのでアマゾン定期便で4箱セットを頼みました。しかしながら届いたのは3箱で、ちょっと割高だったなと感じています。味はジャスミンの香りが濃く漂う、美味しくて手軽な飲み物だと思います。
1,B08XR2H2N9,AGF ブレンディ ザリットル 緑茶 6本 ×3個 粉末,AGF(エージーエフ),もあもあ,2021年6月4日,1.0,手軽に作れておいしい,はっきり言えます。これは烏龍茶ではないです。匂い味共に薬品っぽい何かです。嵩張らないからいいかなと思い購入しましたがもう飲みたくもない。
2,B08XR2H2N9,AGF ブレンディ ザリットル 緑茶 6本 ×3個 粉末,AGF(エージーエフ),Amazonカスタマー,2021年6月19日,5.0,3箱でした,冷水で良く溶けて飲みやすいです。個人的には粉っぽさは感じなくて飲みやすいと思います。シェイクしても泡立ちがほぼ無いので即座に適量に調整できます。
3,B08XR2H2N9,AGF ブレンディ ザリットル 緑茶 6本 ×3個 粉末,AGF(エージーエフ),Amazon カスタマー,2021年6月12日,5.0,話にならない,冷水でもあっという間に溶けるのに驚いたが飲んでみて味と香りにもっと驚いたコスパも優れていて文句なし
4,B08XR2H2N9,AGF ブレンディ ザリットル 緑茶 6本 ×3個 粉末,AGF(エージーエフ),PHV GR SPORT,2021年6月26日,1.0,サッと水に溶けて美味しい,６本入り4個と説明されていたのですが、3個しか入っていませんでした。同時にオーダーしたジャスミンティーは、きちんと4個でした。ルイボスティーは、あと１個別で発送されるのでしょうか。
5,B08XR2H2N9,AGF ブレンディ ザリットル 緑茶 6本 ×3個 粉末,AGF(エージーエフ),ykasshy,2021年6月27日,5.0,冷水にすぐ溶けて美味しい,お気に入りでまとめ買い。近所に売ってるとこがないので。夏のお茶づくりが、超楽になりました
6,B08XR2H2N9,AGF ブレンディ ザリットル 緑茶 6本 ×3個 粉末,AGF(エージーエフ),さるるるる,2021年6月18日,5.0,4個セットが3個しか届いていない,味も美味しく、水にすぐ溶ける便利さ。満足してます。ただもう少しやすければ良いけれど。
7,B08XR2H2N9,AGF ブレンディ ザリットル 緑茶 6本 ×3個 粉末,AGF(エージーエフ),ナルニア国の住人,2021年7月18日,5.0,水にすぐ溶ける,手軽かつおいしいです。リピートしています。
8,B08XR2H2N9,AGF ブレンディ ザリットル 緑茶 6本 ×3個 粉末,AGF(エージーエフ),イタリアンハスキー,2021年4月12日,3.0,ジャスミンティーのしっかりした味,今までは7◯レミアムのルイボスティー550mlのペットボトルで購入していました。1ケース24本入でネットスーパーでも購入できるのですが、1本あたり86円。どちらも2
9,B08XR2H2N9,AGF ブレンディ ザリットル 緑茶 6本 ×3個 粉末,AGF(エージーエフ),Dawn,2021年4月7日,5.0,酸味強め、牛乳と1対1くらいで合わせると美味しい,水にも溶ける顆粒Stickタイプなのですが、茶葉から抽出したジャスミンテイーのような味わいです。1ℓ入る水筒に粉末を入れ、お湯を注いで、菜箸で軽くかき混ぜただけで、おいしいジャスミンテイーが完成しました。マグカップに注いでホットで飲んでも、氷を入れて冷やしてアイスで飲んでも美味しかったです。製氷機に入れて、ジャスミンテイーの氷を作り、その上から、冷やしたジャスミンテイーを注いだら、氷が解けても薄まらないので、そんな使い方もいいなと思いました。これから暑くなる季節で、ますます爽やかなジャスミンテイーが飲みたくなる季節・・・手軽に毎日使えるこの商品が、便利でとてもいい商品だと思いましたので、☆５つの評価とさせて頂きました。
10,B08XR2H2N9,AGF ブレンディ ザリットル 緑茶 6本 ×3個 粉末,AGF(エージーエフ),Ca,2021年4月11日,5.0,ノンカロリーではありません。ﾌﾞﾚﾝﾃﾞｨ ｻﾞﾘｯﾄﾙ ﾙｲﾎﾞｽﾃｨｰ 6本 ×4個(粉末),コーヒーのレビューをします。早速1リットルの瓶に入れて作ってみました。先ず冷蔵庫から出したばかりの冷たい水で混ぜてみましたが、混ざりますしダマにはなりませんが底にモワッとした溶けきらない粉が残る感じです。結構ずーっとかき混ぜましたが完全には溶けきらない。余りに冷たい水だとしょうがないのかな。次に常温の水を混ぜたら一気に全部溶けました、良かった。スティックの中身は粉です。飛び散りやすいとかはありません。それとスティックは外側が紙になってます。切りやすいです。香りはほぼなし、近くで嗅げば当然ありますがスティックを切り取った瞬間も水と混ぜてる瞬間も湧き立つ香りはありません。ここがドリップとの一番の違いかな。そのまま飲んでみると酸味が強い。苦味は少ない。これは相当シャキッ！とする味わいだ。牛乳を入れてみるとコーヒーらしさが一気に消えて酸味も苦味も消える。とても飲みやすくて美味しいとも言えるしコーヒー飲みたい欲がそれほど満たされないとも言える。とはいえ今まで色んなインスタントコーヒーを飲んできましたがインスタントにしては美味しい方だと感じます。インスタントに良くある渋いような苦味が無いからです。コーヒー牛乳は好きだけど苦味は好きじゃ無い方ならドリップより本品のが飲みやすいんじゃないかなぁと感じました。我が家も強いこだわりは無いので(在宅ワークの眠気覚ましになるなら有難いという状況…)、これなら是非リピートしたいと思える味。何より一気に朝作って一日かけてちょこちょこ飲める点も効率的で良い！星は5と致します。一点作ってみて気になったのが写真で見ての通りの泡です。軽く掻き混ぜてるのに何故かモッコモコに仕上がります(しかもなかなか消えない)まあ飲めるから良いのですが。
11,B08XR2H2N9,AGF ブレンディ ザリットル 緑茶 6本 ×3個 粉末,AGF(エージーエフ),madam_kaorin,2021年4月11日,4.0,手軽にジャスミンテイーが作れます！,まず当方試用品 【烏龍茶】 は、定番可溶剤【デキストリン】を混ぜ込み、淡褐色粒状に整えられた「水でも溶ける粉末烏龍茶」で、1本あたり1Lの調理が可能です。その水溶性は、確かに冷水でも速やかに溶け、特段に少量の湯で溶いたりする必要もありません。一方の香味は、流石に加工されたインスタント飲料だけに、ホットで淹れても香りは立ち上がりませんが、味は茶の種別が「紅茶」である通りに、発酵が進んだ特有の渋い味わいが強く感じられ、規定量通りの水溶調理で美味しく頂けます。色合いに関しても「烏」の様に黒いと言う意味合い相応に、かなり濃厚な褐色に染まっており、視覚的にも渋さを連想させられます。この点に関しては、原材料に【乳化剤】が含まれており、それの効果で茶葉抽出効率が上がっている事も影響してそうです。また、保存料は変色防止剤の【ビタミンC】が添加され、意外な事に【香料】も利用されていますが、実際の香味は上述通りで、あまり効果を発揮していないみたいです。パッケージは、手で千切る事も出来るスティック状包装を、保管箱として流用し易い紙製化粧箱に詰めてあります。販売元は、珈琲飲料を得意とする【味の素AGF】で、製造は厚木市の【トーカイ・パッケージングシステム・飯山事業所】に委託され、賞味期限は10ヵ月程ありました。総じて【香料】まで用いている割には香りが控えめですが、発酵した紅茶らしい渋味は堪能出来る品で、☆×4ぐらいが妥当かと思います。
12,B08XR2H2N9,AGF ブレンディ ザリットル 緑茶 6本 ×3個 粉末,AGF(エージーエフ),SERA,2021年4月13日,4.0,1リットル一気に作れる、常温の水に溶ける。,ブレンディといったらインスタントコーヒーのメーカー。味も香りもぶれんでィーといったところでしょうか？今までブレンディはコーヒー部門で大変お世話になっておりました。そしてこのたび、緑茶まで出されて楽しみが増えました。このようなインスタントは洗い物が少なく、ゴミも出ないに等しくて「ものをもたない」生活に憧れる人にとっては大変喜ばしいものです。場所をとらないし、さっと水に溶かすだけでアイスティが出来てしまいます。しかもあっというまに水に溶ける!水ですよ、水！お湯じゃないんです。だからキャンプや外出先でも簡単に緑茶が楽しめるんです。それでペットボトルのお茶が良いのではなんていわれそうですが、ペットボトルのお茶って独特の香りってありますよね。急須で入れたお茶とは明らかに違う。テレビでペットボトルのお茶と急須で入れたお茶を名士に飲み比べてもらいましたなんてCMがありましたが、私は名士でなくてもわかりますよ。味の違い・・・それでこちらはどちらかと言えば急須で入れたものに近いかも・・・ただ難点をいえば私のように濃い目のお茶になれてしまった人間からすれば味が薄めというか・・・たぶんこれが普通のお茶なんでしょうね。おうちのお茶が飲めます。抹茶入りとなっていますが、これは色を出すために入っていると思います。手軽にお茶を飲みたいと思っているかたにお勧めです。
13,B08XR2H2N9,AGF ブレンディ ザリットル 緑茶 6本 ×3個 粉末,AGF(エージーエフ),,2021年4月11日,5.0,インスタント特性の影響か香りは飛んでいるが、発酵した紅茶らしい渋味は心地良い♪,ブレンディのスティックタイプの粉末というとカップで作るものが多いですが、こちらのシリーズは1Lと大きめのボトルに1本入れて作り置きするためのものになります。いくつか種類がある中で今回はジャスミン茶を試してみましたが、ボトルに粉末を入れて1Lの水を注ぎ冷蔵庫で数時間冷やしておくと溶け残りもなく黄色が鮮やかなジャスミン茶が出来上がりました。普通に茶葉から出すとティーポットの準備やら湯での抽出・冷まして冷蔵庫に入れるなど手間が非常に掛かりますが、これだと楽々ですね。スティックの切り口をうまく切れば、2Lのペットボトル入りミネラルウォーターに2本入れて2Lのジャスミン茶を作ることもできそうです。飲み口はジャスミンの香りが強く、スティックと言われなければ気づかない人も多そうです。多少の苦みが残りますがお茶ですのでこんなものだと思います。頻繁にジャスミン茶を飲むわけではないのでそこまで違いは分かりませんが・・・。6本x4個パックなので24L分のセットになります。夏場よく飲まれるのであればまとめ買いしておくのもよいかと思います。
14,B08XR2H2N9,AGF ブレンディ ザリットル 緑茶 6本 ×3個 粉末,AGF(エージーエフ),まりりん,2021年4月7日,2.0,粉が溶けやすく楽しみがすぐ味わえる,AGF ブレンディ ザリットル 烏龍茶 6本 ×3個 粉末とても細かな粉末となっており、溶けやすいです。1リットルで1スティックを混ぜて出来上がり、簡単に烏龍茶が出来る粉末スティックとなっております。【作り方】冷たい水でもさっと溶けやすく、玉になる事もなく、水全体に粉末が広がります。簡単な作り方としては、はじめに1リットルケースに粉末を入れるのではなく、200mlくらいのコップに入れて混ぜて溶かしてから、1リットルのケースに800mlの水を入れておき、そこに烏龍茶のもとを溶かした200mlを混ぜれば簡単に混ざります。【味】これは、烏龍茶の香りとさっぱり感が失われており、薄い豆茶のような感じの香りと味になっています。烏龍茶は、茶葉のほのかな渋み、そして香りと後味のすっきり感が、とても大切なのですが、失われてしまっています。粉末にした事で失われているのか？それとも茶葉の問題なのかは不明ですが、烏龍茶として今一度、味、香り、すっきりした切れ味あるのど越しを見直して、作ってほしいです。スティックタイプで溶けやすく、簡単なのでとても便利ですので、美味しい烏龍茶の味を作り直して、新たな商品として販売して欲しいです。
