,ASIN,product,brand,name,date,score,title,comment
0,B091L36QDV,L'OR Espresso ネスプレッソ 互換カプセル デカフィナト 4箱40杯分 コーヒー エスプレッソ フランス製 アルミ製カプセル,L'OR Espresso,川崎のビジネスマン,2021年6月2日,5.0,美味しい！&コスパがいい！,美味しい氷たくさん入れたグラスに注いで飲んでもよいドルチェグストカプセルで検索されたので購入したが、ネスプレッソのカプセルで慌てて中古マシン購入して飲んでいます
1,B091L36QDV,L'OR Espresso ネスプレッソ 互換カプセル デカフィナト 4箱40杯分 コーヒー エスプレッソ フランス製 アルミ製カプセル,L'OR Espresso,mm,2021年6月9日,5.0,セール価格ならば星5,I’ve really found the aluminum capsule to replace Nespresso capsule. Specially this Ristretto has very deep and rich flavor even lungo style. So I’m enjoying a cup of coffee with various dessert!
2,B091L36QDV,L'OR Espresso ネスプレッソ 互換カプセル デカフィナト 4箱40杯分 コーヒー エスプレッソ フランス製 アルミ製カプセル,L'OR Espresso,よっちゃん,2021年5月18日,5.0,ドルチェグストのカプセルと間違えたw,いつも朝とおやつの時間にコーヒーを飲んでいます。カフェで飲むような深い味わいで美味しいコーヒーを毎日飲むことができて良かったです。牛乳を入れるとカフェラテも楽しめますのでハマりそうです。素敵なコーヒーコップも頂いて嬉しかったです。味もすごく良かったのでまたリピしたいです。
3,B091L36QDV,L'OR Espresso ネスプレッソ 互換カプセル デカフィナト 4箱40杯分 コーヒー エスプレッソ フランス製 アルミ製カプセル,L'OR Espresso,J,2021年5月19日,5.0,Deep and Rich,あまり甘くなく、むしろ強めの風味が自分の好みにぴったりでした。これまで飲んでいたネスプレッソのコーヒーより香りが薄いかと思ったら、飲んでから口の中に広がる香りが結構深みがあって、とても好きになりました。
4,B091L36QDV,L'OR Espresso ネスプレッソ 互換カプセル デカフィナト 4箱40杯分 コーヒー エスプレッソ フランス製 アルミ製カプセル,L'OR Espresso,Amazon Customer,2021年7月31日,4.0,深い味わいで美味しいコーヒー,互換カプセルはネスプレッソマシンで使いにくいのが多いがこのカプセルはネスプレッソカプセルとほぼ同じ。味は普通。まだアイスにしか使っていないが薄すぎず香りもたつ。エスプレッソというより濃いけど日本人好みの普通のコーヒーの味に近いかな？でもさほど安くも無いのでこの値段ならネスプレッソカプセルをお勧めします。
5,B091L36QDV,L'OR Espresso ネスプレッソ 互換カプセル デカフィナト 4箱40杯分 コーヒー エスプレッソ フランス製 アルミ製カプセル,L'OR Espresso,金　容均,2021年6月24日,3.0,とても気に入っています！,まず届いた時点で賞味期限があと4か月半しかない。色々購入してきたけれどこんなに短いのが届いたのは初めてです。手持ちのストックよりもこちらを先に消費しなければならない。味に不満はないけれど、香りが弱いと感じます。お店への信頼度と好みの点から次回購入することはありません。
6,B091L36QDV,L'OR Espresso ネスプレッソ 互換カプセル デカフィナト 4箱40杯分 コーヒー エスプレッソ フランス製 アルミ製カプセル,L'OR Espresso,otokajo,2021年7月12日,2.0,まあまあ,味は薄くクレマも立ちません。１カプセル３０円台レベル。商品名が正しいのならノンカフェインのはずですが、その記述は一切ありません。箱にも書いてありません。
7,B091L36QDV,L'OR Espresso ネスプレッソ 互換カプセル デカフィナト 4箱40杯分 コーヒー エスプレッソ フランス製 アルミ製カプセル,L'OR Espresso,かるがも,2021年6月24日,4.0,賞味期限短いのが届いた,香りがもう少し欲しいところだけど、値段を考えると優秀
8,B091L36QDV,L'OR Espresso ネスプレッソ 互換カプセル デカフィナト 4箱40杯分 コーヒー エスプレッソ フランス製 アルミ製カプセル,L'OR Espresso,leo-p,2021年7月21日,5.0,とても美味しい!,Nice taste and good cream formed with Nespreaso machines
9,B091L36QDV,L'OR Espresso ネスプレッソ 互換カプセル デカフィナト 4箱40杯分 コーヒー エスプレッソ フランス製 アルミ製カプセル,L'OR Espresso,らん,2021年7月23日,5.0,コストが良く、味もいいですね！2回目の注文しました。これからもずっと注文して行こうとおもいます。,カプセルコーヒーの中では一番おいしい！
10,B091L36QDV,L'OR Espresso ネスプレッソ 互換カプセル デカフィナト 4箱40杯分 コーヒー エスプレッソ フランス製 アルミ製カプセル,L'OR Espresso,宮島麻子,2021年6月15日,5.0,Great taste,フランス産とのことで旅に思いを馳せ、頂戴しました。向こうではお砂糖を入れて飲むのが一般的なので、そのようにして頂くとぐっとコーヒーの味が引き立ちます。さすがフランス仕込みのお品。濃すぎず薄すぎずで、朝はアメリカーノ、午後はショットで、シーンを選ばず使いやすかったです。ただ、濃くはないのでミルクと合わせると物足りなさを感じます。追記ネスプ信者のわたくしは正規品も様々なお味を飲んでいます。味わいの近い物と比較してみて、鮮度にもよりますが、クレマの立ち上がりが若干少ないものの、香りは遜色なく、総じて、アリなお品でした。今回、おまけのグラスカップにひかれて購入したものの、金ばりのデカロゴデザインがちょっと野暮ったい気もするかな…。ソーサーついてたらいいんだけど…。きれいっちゃきれいだけどね。
11,B091L36QDV,L'OR Espresso ネスプレッソ 互換カプセル デカフィナト 4箱40杯分 コーヒー エスプレッソ フランス製 アルミ製カプセル,L'OR Espresso,mmm,2021年7月24日,3.0,香り豊かな本格的な味！,The exact same product sells for about half the price in Australian supermarketsMuch better than the regular plastic capsules of many other brands but not that much cheaper than original Nespresso capsules either
12,B091L36QDV,L'OR Espresso ネスプレッソ 互換カプセル デカフィナト 4箱40杯分 コーヒー エスプレッソ フランス製 アルミ製カプセル,L'OR Espresso,A,2021年7月11日,4.0,シーンを選ばずそして美味しい,初めてネスプレッソ以外のカプセルを試しましたが、問題なく使えています。スッキリした味わいでアイスでもホットでも！味のバリエーションがないので、そこは寂しいですがやはりお値段の安さで星５つ。フレイバーが楽しみたいときなどはネスプレッソのお店で購入していますが、併用していきたいと思います。
13,B091L36QDV,L'OR Espresso ネスプレッソ 互換カプセル デカフィナト 4箱40杯分 コーヒー エスプレッソ フランス製 アルミ製カプセル,L'OR Espresso,Getchada,2021年6月29日,5.0,Good but overpriced in Japan,コロナ禍になる以前は、主人のヨーロッパ出張のたびにL'ORを購入していました。現在は出張もままならなくなりましたが、Amazonで購入可能になり嬉しいです（お味のバリエーションは少ないかな？）。主人と懐かしいねーと話しをしました。カプセルデザインもフランスらしく美しくモダンで、自宅のマシンとも相性が良いです。素敵なグラスもいただきありがとうございました。
14,B091L36QDV,L'OR Espresso ネスプレッソ 互換カプセル デカフィナト 4箱40杯分 コーヒー エスプレッソ フランス製 アルミ製カプセル,L'OR Espresso,Amazon カスタマー,2021年5月11日,5.0,お値段が嬉しい！,これまで、ネスプレッソ正規品を100円/個以上で毎日数回飲んでいたが、さすがに値段が高すぎるのでエスプレッソ/ネスプレッソ互換品で試してみた。70円/以下では少々薄い。この86円/個を飲んでみたところ、味も濃さもまあまあで、安価であることを考慮すると合格点あげます。
15,B091L36QDV,L'OR Espresso ネスプレッソ 互換カプセル デカフィナト 4箱40杯分 コーヒー エスプレッソ フランス製 アルミ製カプセル,L'OR Espresso,ワニャ,2021年6月5日,5.0,美しくモダンなカプセル！,エスプレッソそのものを飲みたいという欲求がほとんどなかったので、今までは「ワンショット入れる」→「掃除を兼ねてルンゴボタンでお湯摘出」でアメリカーノを作ってばかりでした。今年に入ってからルンゴも活用しようと各種試してきましたが、本品は焼いたトーストのような香ばしい香りと比較的マイルドな苦みで、ネスプレッソ界のルンゴの中で一番おいしいと思いました。
16,B091L36QDV,L'OR Espresso ネスプレッソ 互換カプセル デカフィナト 4箱40杯分 コーヒー エスプレッソ フランス製 アルミ製カプセル,L'OR Espresso,せせせせざ,2021年5月21日,5.0,普通のコーヒー,たくさんの中から、特に主人のお気に入りに出会えて、毎日、何杯もご機嫌に飲んでくれています！今後、私はディカフェ、期待しています！カップも素晴らしいですね。
