,ASIN,product,brand,name,date,score,title,comment
0,B091LL2LH5,リプトン コールドブリュー スタンダードブレンド (水出し 紅茶 ティーバッグ) 450g,リプトン,maru,2020年9月10日,5.0,年中購入できてありがたい,お水で簡単に1Lサイズのアイスティーが作れる　なかなか便利です！　味もそこらのペットボトルの紅茶より美味しいと思うので　うちではよく飲んでます。中学生の娘の水筒の中身にもよく使ってます。アイスティーのときには嬉しそうです。
1,B091LL2LH5,リプトン コールドブリュー スタンダードブレンド (水出し 紅茶 ティーバッグ) 450g,リプトン,しぷ,2020年3月3日,5.0,マクドナルドと同じ味,好きな人が飲みたいと買ってみましたが、近くのドラッグストアの方が常駐されていて、安く買えた…
2,B091LL2LH5,リプトン コールドブリュー スタンダードブレンド (水出し 紅茶 ティーバッグ) 450g,リプトン,aki,2020年7月6日,5.0,手軽ならわりに美味しい,お手軽に美味しいアールグレーのアイスティーが作れてお気に入りの商品です。安く購入したかったので30袋入りにしました。以前セールで5袋1箱250円で購入したこともあるので、Amazonでももっと安くなると嬉しいです。
3,B091LL2LH5,リプトン コールドブリュー スタンダードブレンド (水出し 紅茶 ティーバッグ) 450g,リプトン,3110,2018年4月26日,4.0,美味しいのは間違いない。,朝の朝食や、お風呂上り、週末のブランチに最適なアイスティー。水出しなので、浄水器やウオータ・サーバーからの水で、ピッチャーでたっぷりのアイスティーができ、冷蔵庫で冷やしておけば、いつでも手軽にアイスティーが飲める。ある程度、紅茶が出たら、ティーパックを取り除かないと、苦みが強くなるので注意が必要。
4,B091LL2LH5,リプトン コールドブリュー スタンダードブレンド (水出し 紅茶 ティーバッグ) 450g,リプトン,Amazon カスタマー,2017年7月19日,4.0,夏の定番,このシリーズの少量サイスを見つけて使用。珈琲より紅茶派なので、夏はアイスで飲めるモノが欲しくって。煮だして紅茶を出すとどうしても濁ってしまうので、このタイプのモノは助かります。
5,B091LL2LH5,リプトン コールドブリュー スタンダードブレンド (水出し 紅茶 ティーバッグ) 450g,リプトン,FineSky,2019年7月16日,4.0,アールグレイの香りと風味がおいしい、アイスで飲むのに最適！,水を注ぐだけで本当にすぐにアイスティーが飲める。宣伝文句通り苦味も渋みも感じられず、個人的にはおすすめ。強いて言うなら、若干ハイビスカスの酸っぱい匂いがやや好みではないのと値段が少し高めなのが残念だが、一度は試してみる価値のある商品。
6,B091LL2LH5,リプトン コールドブリュー スタンダードブレンド (水出し 紅茶 ティーバッグ) 450g,リプトン,ari,2019年7月4日,5.0,ホームセンターで,コーヒーではカフェインが強すぎるため、このアイスティーを会社に毎日持っていきます。1分ならさっぱり、1時間なら氷で薄まってもいいくらいの濃さです。
7,B091LL2LH5,リプトン コールドブリュー スタンダードブレンド (水出し 紅茶 ティーバッグ) 450g,リプトン,総帥,2019年9月26日,5.0,南国気分に少しだけ浸れる香り重視の紅茶,このお値段で大量のアイスティーが作れるのはとても魅力的です★
8,B091LL2LH5,リプトン コールドブリュー スタンダードブレンド (水出し 紅茶 ティーバッグ) 450g,リプトン,ちゃま,2018年3月9日,5.0,良い,プレゼント用に購入しました。水出し出来るので夏にはとても便利なアイテムです。ちょうど、リプトンの期間限定ストアが開催されていたのでそこで買ったタンプラーにフルーツ入れたりして飲んで楽しみました。
9,B091LL2LH5,リプトン コールドブリュー スタンダードブレンド (水出し 紅茶 ティーバッグ) 450g,リプトン,いちこ,2021年6月8日,5.0,一年中飲みたい,一度に大容量アイスティーが作れるので便利でした、夏の間はリピートします！
10,B091LL2LH5,リプトン コールドブリュー スタンダードブレンド (水出し 紅茶 ティーバッグ) 450g,リプトン,Amy-Emy,2017年7月30日,4.0,夏には便利なアイテム,去年に続き、購入。他のメーカーのものよりよく出るし、味も一番良い。ちょっとだけお値段が高いのがマイナス1。
11,B091LL2LH5,リプトン コールドブリュー スタンダードブレンド (水出し 紅茶 ティーバッグ) 450g,リプトン,タミー,2021年7月24日,2.0,夏に便利！,皆さんのレビューが良かったので購入してみましたが、私の口には合いませんでした。香りも好みではなく、残りをどうしようか思案中です。
12,B091LL2LH5,リプトン コールドブリュー スタンダードブレンド (水出し 紅茶 ティーバッグ) 450g,リプトン,ななこ,2020年12月9日,5.0,一番美味しいアールグレイ。,アールグレイは香りも良くミルクティーにも合います。水出し5分というのも良い!
13,B091LL2LH5,リプトン コールドブリュー スタンダードブレンド (水出し 紅茶 ティーバッグ) 450g,リプトン,Amazonessカスタマーさん,2019年11月13日,5.0,そんなに？,水だけを入れるだけなのに凄く美味しい～やめられません
14,B091LL2LH5,リプトン コールドブリュー スタンダードブレンド (水出し 紅茶 ティーバッグ) 450g,リプトン,mamma,2020年6月29日,5.0,アイスティーがすぐできる!,とても飲みやすく、夏にはぴったりで我が家の夏の常備茶です。
15,B091LL2LH5,リプトン コールドブリュー スタンダードブレンド (水出し 紅茶 ティーバッグ) 450g,リプトン,Amazon カスタマー,2019年7月17日,5.0,コクがあって美味しい～,香りが良く濃いめなので氷を入れてもちょうど良い
16,B091LL2LH5,リプトン コールドブリュー スタンダードブレンド (水出し 紅茶 ティーバッグ) 450g,リプトン,Amazon カスタマー,2020年9月25日,5.0,便利！！,美味しいし簡単。ブリタで浄化した水を使うと更に美味しい。リピ確定です。
