,ASIN,product,variant,brand,name,date,score,title,comment
0,B091ZXDPD4,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),,購入者,2023年3月22日,5.0,美味しいです,選ぶのが楽しく、1パックごとに数々のハーブがブレンドされて入っているのでとても美味しいです。追記　美味しかったので再購入しましたが箱がつぶれて中身がぱっくり、残念でした。
1,B091ZXDPD4,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),,ブブコ,2022年12月20日,4.0,ティータイムにおすすめの香り,どれも大体美味しくて香りが良いです。ペパーミント、レモングラス系が多く、コリアンダーなど珍しいハーブが色々ブレンドされています。
2,B091ZXDPD4,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),,オリヴィア,2023年4月30日,2.0,全く好みではないアソートメントでした。,１つくらい好みのものがあるかと思ったのですが、口に合いませんでした。
3,B091ZXDPD4,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),,非公開,2023年2月10日,5.0,色々楽しめました,毎日、今日は何を飲もうか楽しめました。全体的に優しい味です。
4,B091ZXDPD4,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),,よもぎ,2022年10月22日,5.0,パッケージが可愛すぎる♪,パッケージが可愛くて、パケ買いしました笑中のティパックの袋のイラストも可愛いです！全てオーガニックでこの価格は嬉しいです。また購入したいと思います。
5,B091ZXDPD4,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),,コジミコ,2022年7月15日,5.0,おすすめ！,味もしっかりしていて、あっという間に飲み切ってしまいました。高すぎず、いろんなハーブティーを手軽にお試ししたい人にオススメだと思います。期待以上でした。
6,B091ZXDPD4,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),,おみちり,2022年5月30日,5.0,パッケージも◎,パッケージも可愛らしく、何よりたくさんのフレーバーが楽しめる所が良いです。この中からお気に入りが見つかればいいなと思いますが、これだけたくさん種類が入っているのでプレゼントにも良いと思います
7,B091ZXDPD4,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),,Amazon カスタマー,2022年2月4日,3.0,箱が潰れて届きました,以前から飲んでいるので商品の品質は申し分ありません。Amazonさんはいつも綺麗な状態で届きますが、今回、詰め替え用のシャンプーと一緒に購入したところ、段ボールの下敷きにビニール袋での梱包で、紅茶の箱は潰れて蓋が空いた状態でした。口にするものなので、気を付けて頂きたいと思います。
8,B091ZXDPD4,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),,nonno,2022年11月12日,1.0,最悪。,箱が開封、つぶれた状態だった。
9,B091ZXDPD4,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),,Lavender,2022年1月9日,5.0,ハーブティーといえばゾネントア,1番のお気に入りのハーブティーです。
10,B091ZXDPD4,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),,Shir,2022年6月2日,5.0,おすすめ！,複雑なブレンドのハーブティーのアソートです。毎日1つずつ開けて、違った味を楽しめます。ここまで自分で作ろうとすると大変だし、何より味が良い。ただし、注意としては、一袋100%ダージリンが含まれていました。虚偽ではあるので、星1つ削ろうか迷ったけど、総合的には大満足なので満点にしておきます。
11,B091ZXDPD4,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),,mappi,2022年2月8日,5.0,楽しいアソート,可愛い外箱に内容の詳細が書かれているので、味を想像しながら気分によって楽しく選んでいます♪紅茶がお好きな方へのギフトにも最適かと思いました。オーガニックなのはもちろん、ティーバッグに使用する素材にまでこだわりがある点がとても好きです。
