,ASIN,product,variant,brand,name,date,score,title,comment
0,B097MDVH7M,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 月のお茶 ビューティフルマジックムーンティー 28袋入り,ゾネントア(SONNENTOR),,佐竹由美子,2023年4月7日,5.0,毎日飲んでいます。３箱目です,月の形により躰や気持ちへの影響があることを始めて知り、それにあったハーブが香織、味が異なりいただく時間は有意義だけでなく、肌がきれいになりました。
1,B097MDVH7M,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 月のお茶 ビューティフルマジックムーンティー 28袋入り,ゾネントア(SONNENTOR),,moon-r,2022年12月29日,4.0,月のリズム,月のお茶なんて素敵だなぁと思って注文したんですが、香りも味も好みでした。発送も予定より早く、新月の日に到着。少し嬉しくなりました。
2,B097MDVH7M,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 月のお茶 ビューティフルマジックムーンティー 28袋入り,ゾネントア(SONNENTOR),,Amazon カスタマー,2022年9月3日,5.0,おいしい!!,くどくないハーブというかんじです。ホッとします!
3,B097MDVH7M,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 月のお茶 ビューティフルマジックムーンティー 28袋入り,ゾネントア(SONNENTOR),,tanuki1000,2022年2月25日,5.0,美味しいです,オ－ガニックハーブテイなので、飲みやすくほっとしますどの月のハ－ブテイも美味しかったです
4,B097MDVH7M,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 月のお茶 ビューティフルマジックムーンティー 28袋入り,ゾネントア(SONNENTOR),,ぽっぽー,2021年11月24日,5.0,癒される,毎日、頂いてます。いろんな味のＴパックが入っていて、どれも美味しくて、味が変化するので、飽きません。
5,B097MDVH7M,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 月のお茶 ビューティフルマジックムーンティー 28袋入り,ゾネントア(SONNENTOR),,Amazon カスタマー,2022年5月14日,1.0,2022.5.14 悲しいです。①,毎月のように何度もリピしていた時はきちんとキレイに届いていたのですが…今回は箱が破損されて届き悲しいです…。次回は以前のように小さい箱型の段ボール📦に梱包お願い致します。写真は後であげます！
6,B097MDVH7M,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 月のお茶 ビューティフルマジックムーンティー 28袋入り,ゾネントア(SONNENTOR),,Amazon カスタマー,2021年10月6日,1.0,ぶっつぶれて　なかみが　見える状態,商品じたいは　悪くないと思いますが　Amazonの　梱包の仕方の教育がなってない。硬い商品が箱に入ってきたりこんなにデリケートな商品が袋に入ってきたり… 紅茶は　踏みつぶされた様な状態で届いてきました。自宅用にするならオッケーですが　それでも　結構ヤバイ状態で届いて来ることを覚悟してください。
7,B097MDVH7M,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 月のお茶 ビューティフルマジックムーンティー 28袋入り,ゾネントア(SONNENTOR),,Amazon カスタマー,2021年10月3日,1.0,箱が空いた状態で届きます,非常に爽やかで飲みやすくハーブティーがはじめての方でも大丈夫ではないでしょうか。ただ。箱が空いて汚れた状態で届きますが中身には問題ありません。そのあたりが気になる方は別の所で注文したほうがいいかもしれません。
8,B097MDVH7M,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 月のお茶 ビューティフルマジックムーンティー 28袋入り,ゾネントア(SONNENTOR),,ほのぼの,2021年12月27日,4.0,飾っているだけでテンションアップ,パッケージがまず可愛い！月の満ち欠けを確認しながら飲む事も楽しく、身体に優しいと思うと心も穏やかになるようでした。味はそれぞれ少しずつ違いますが、カモミールが1番強調されているように感じました。
9,B097MDVH7M,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 月のお茶 ビューティフルマジックムーンティー 28袋入り,ゾネントア(SONNENTOR),,野崎有香子,2023年3月12日,5.0,購入して良かったです,4種類の違いがはっきりわかるハーブティでした。リフレッシュする時に飲むのが好きでした。
