,ASIN,product,variant,brand,name,date,score,title,comment
B097SC8DZX,リプトン アロマ楽しむ6種アソート (ハーブティー5種+ジャスミンティー) 6種×7袋,リプトン,,ゆ,,2023年5月19日,4.0,ノンカフェインオンリーじゃなかった,ジャスミン茶がノンカフェインじゃなかったのであまり気味になってしまった。
B097SC8DZX,リプトン アロマ楽しむ6種アソート (ハーブティー5種+ジャスミンティー) 6種×7袋,リプトン,,青が好き,2023年2月6日,4.0,商品に問題はない…けど,配送用の袋やダンボール箱などに入っておらず、商品のパッケージに、そのまま配送のシールが貼ってあってビックリしました。過剰包装をしないにしても、シュリンクみたいなビニール包装ぐらいはしてほしかったです。配送時に、もし雨が降っていたら、商品箱がグニャグニャになるので。中身が無事だったので星四つで。,
B097SC8DZX,リプトン アロマ楽しむ6種アソート (ハーブティー5種+ジャスミンティー) 6種×7袋,リプトン,,Amazonカスタマー,2023年5月22日,2.0,ハイビスカスのフレーバーが良いです,他のフレーバーは苦手でした。好き嫌い分かれると思います。リプトンのフレーバー紅茶の方が合ってました。,
B097SC8DZX,リプトン アロマ楽しむ6種アソート (ハーブティー5種+ジャスミンティー) 6種×7袋,リプトン,,hiro,2023年2月10日,5.0,美味しかった,6種入っていて色々なハーブティーを試せ全部美味しかったタイムセールだったのでよりお買い得に!またリピートしたいと思います,
B097SC8DZX,リプトン アロマ楽しむ6種アソート (ハーブティー5種+ジャスミンティー) 6種×7袋,リプトン,,lin juan,2022年9月14日,3.0,友達へのプレゼント,友達へのプレゼント、友達はお茶が好きです。もう送りました。,
B097SC8DZX,リプトン アロマ楽しむ6種アソート (ハーブティー5種+ジャスミンティー) 6種×7袋,リプトン,,うさぎ,2022年10月27日,5.0,どれも美味しいです。,色々、入ってるので、楽しいです。,
B097SC8DZX,リプトン アロマ楽しむ6種アソート (ハーブティー5種+ジャスミンティー) 6種×7袋,リプトン,,kiyotaro,2022年7月5日,5.0,楽しめます,日替わりで楽しんでます,
B097SC8DZX,リプトン アロマ楽しむ6種アソート (ハーブティー5種+ジャスミンティー) 6種×7袋,リプトン,,Amazon カスタマー,2022年7月1日,5.0,その日の気分に合わせて♪,6種類あるので、その日の気分とスウィーツに合わせて選んで飲めて、お得感があり買って良かった。,
B097SC8DZX,リプトン アロマ楽しむ6種アソート (ハーブティー5種+ジャスミンティー) 6種×7袋,リプトン,,Amazon カスタマーN,2021年8月26日,4.0,バラエティーに富んでいるハーブティー,ハーブティーが好きなのですが毎回同じは飽きてしまうので色々入ってて便利です。味も濃さも丁度いいです。水筒に氷水を入れてティーパックを入れておくと夏にさっぱりした携帯飲料になります。,
B097SC8DZX,リプトン アロマ楽しむ6種アソート (ハーブティー5種+ジャスミンティー) 6種×7袋,リプトン,,市川,2021年12月26日,2.0,味は万人向け,おそらく企業努力を重ねて、個人の好みはあるだろうけど誰でも美味しく感じるように調整されたのだと思います。あくまで個人の好みになりますが、ブレンドしすぎてハーブの風味が感じられませんでした。,
B097SC8DZX,リプトン アロマ楽しむ6種アソート (ハーブティー5種+ジャスミンティー) 6種×7袋,リプトン,,Amazon カスタマー,2021年10月29日,5.0,箱がかわいい,ありがちな過剰包装ではなくて、画像にある箱がそのまま届いた。変なゴミも出ないし、ポストで受け取れるしとても良い。なかなかいい感じだし安かったからちょっとしたギフトに最近使うようにしてる。6種類もあるから楽しいと喜ばれてる。,
