,ASIN,product,variant,brand,name,date,score,title,comment
0,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: バタフライピーハーバルブレンドティー50包,tantanmiitako,2023年5月1日,4.0,５０包み入り,最初は同じものとうれしかったのですが、飲み始めると色合いが同じでも味が違ってました。しかたがないのでしょうね。※※昨年某サイトにて世の中にこういうお茶があったのねと知りました。うれしかったです。ブルーのティーに即ハマり度々取り寄せ、いよいよこれが最後となりアマゾンで検索してみたところ、ありました。よかったです。ブルーのお茶、なくてはならない一品になりました。ありがとうございました。
1,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: バタフライピーハーバルブレンドティー50包,Amazonカスタマー,2023年4月26日,4.0,レモンバームいい匂い,好きな匂いで色も綺麗、砂糖入れなくても苦味のない美味しいハーブティです。50パックあっという間に飲んでしまいそう。
2,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: 松葉茶ハーバルブレンドティー50包,OHANAHAN,2023年5月14日,5.0,飲みやすい,松葉だけのお茶をかいましたが、何故か私は生臭さを感じてダメでした。これは上手く他のものもブレンドしてくれてるから美味しし、スッキリ爽やかで飲みやすいです。
3,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: はちみつ生姜紅茶ハーバルブレンドティー50包,ぴよ,2023年4月7日,4.0,しっかりショウガ感があります。,ショウガが身体によいかと思い購入しました。ものすごく強いショウガ感があります。ほんのりショウガの香りを求めている方にはおすすめできませんが、ショウガ独特のスパイシーさを求める方にはおすすめです。ショウガが少し胃に刺激する感じがあるので日によっては薄めて飲んだりしています。
4,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: バタフライピーハーバルブレンドティー50包,匿名,2023年5月5日,5.0,味は完全に生姜湯,まんま生姜湯です。砂糖を少し入れると飲みやすくなると思います。濃い青色効果のおかげで食欲が消え失せましたので、ダイエットに良いんじゃないでしょうか。
5,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: バタフライピーハーバルブレンドティー50包,ゆかりーな,2023年4月23日,5.0,美味しいです！,水出しにして飲んでますが、子供もすごく気に入って飲んでます！またリピートします(^^)
6,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: バタフライピーハーバルブレンドティー50包,Mkyb,2023年3月5日,4.0,柑橘系、さっぱり,ほんのり柑橘系の香りがして飲みやすいティーパックをすぐ出さないと少し渋くなる渋めが苦手な場合お湯入れて色が出たら出した方が良い
7,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: バタフライピーハーバルブレンドティー50包,あ,2023年2月17日,4.0,思った通りでした。,まだ飲んではないけど、思ってた通りでした。
8,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: はちみつ生姜紅茶ハーバルブレンドティー50包,昭和中期人,2023年4月6日,3.0,良いです。,ほんのりとした甘さが良いです。生姜の味が風味なので残念です。
9,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: バタフライピーハーバルブレンドティー50包,ニャー,2023年4月7日,5.0,色変で味変,綺麗なブルーのハーブティーがレモン果汁を加えると綺麗なパープルに変わるのをTVで見て興味本位で購入ティーパック1つでカップ2～3杯分のお茶が抽出できます綺麗なブルーの時はまろやかな味わいのお茶レモンを垂らしパープルになるとローズヒップティーの様な味わいリトマス紙の様で面白いしお子様でも飲める優しいお茶です
10,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: バタフライピーハーバルブレンドティー50包,サワコ,2023年4月12日,5.0,鮮やかなブルー！！,本当にとても、清々しい綺麗なブルー！！味もほのかにレモングラスのかおり？って感じでいい。
11,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: バタフライピーハーバルブレンドティー50包,佐藤良,2023年3月31日,3.0,まぁこんなもんかな？,味はレモングラスの味が強く、後味はほのかに甘いです。色味は本当に美しく、レモン果汁で色味の調整が楽しいです。感覚的に藍色から赤紫になる印象です。赤くしすぎるともうレモン果汁味。ハーブティーとは？となります。パッキングの仕方的にも値段は妥当に思います。レモングラスが好きな人にはおすすめです。あまり好まない人には物足りなく感じるかもしれません。映え商品
12,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: バタフライピーハーバルブレンドティー50包,山本　京子,2023年3月30日,5.0,たくさんあって　お得です。,久米島の空港で買ったのと　同じ味　香りです。ハーブティーなんだけど　柔らかく優しい香りです。私は　1Lの冷水に2パック入れて　数時間で　美味しく頂いています。
13,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: バタフライピーハーバルブレンドティー50包,chikosan,2023年1月13日,4.0,バタフライピー(ブルーのハーブティー),ハーブティーなので飲んだ後味がスッキリします。色もブルーで見た目に優しいです。ただ、国産ではないからか、エンドロープにティータグ(紐と持ち手)が付いていない所が、ちょっと手間かと思いました。
14,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: バタフライピーハーバルブレンドティー50包,Amazon カスタマー,2023年2月12日,5.0,美味ぇノンカフェイン,初飲「漢方か？？？」と思うスパイシーな匂いがするし実際漢方。腸がクソ元気になる。うんめぇ〜しノンカフェインなので寝る前にゴクゴク飲めるし、水分補給にも良い。50袋も入ってるので多分コスパも良い。ただ漢方系苦手な父と母は「薬の匂いがへる…」と言って飲もうとしない。妹も「美味しい〜」と言って飲んでるが個人的に合う・合わないはある。腸がクソ元気になるので1日1袋と決めてる。レモン入れてもまぁ美味い。発色がターコイズみてぇに綺麗なので耐熱ガラスポットで煎れるのがオススメ。リピしてる
15,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: バタフライピーハーバルブレンドティー50包,中村,2023年3月2日,5.0,500mmのボトルに最適でした。,1パックを500mmのボトルに入れて飲んでます。結構濃いめに色が出ますね。見た目も綺麗で、コスパがいいので結構満足してます。ハーブティーの味にこだわりは無いので、私は飲めました。ハーブティーは人間の体にいいと聞くので、飲み続けたいですね。
16,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: バタフライピーハーバルブレンドティー50包,汀,2023年2月25日,5.0,飲みやすい,バタフライピーだけのお茶よりもかなり飲みやすい。けどレモングラスの味が強いから柑橘系が苦手な人はダメだと思う。ハーブティーが苦手な人は豆茶に近い味がするバタフライピー単品が良いと思う。
17,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: バタフライピーハーバルブレンドティー50包,モモ,2023年2月15日,5.0,綺麗でした💮,夕飯後に早速淹れてみたらとても綺麗に青く発色しました。何度淹れても黒くなったと言うレビューがありましたが、しっかり蒸らすと色が濃く出て黒く見えるのかな???と思います。珍しいハーブティにお義父さんも興味深々で「世界には色んなお茶があるんだね」と感心しきりでしたょ(๑›‿‹๑)レモンを入れても綺麗に紫になりました。私はレモンを入れた物を飲んだので、レモンっぽい味でしたが、お義父さんは香りも良い、味は渋みがあるかな？と言っていました。
18,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: バタフライピーハーバルブレンドティー50包,ゆずみつ,2023年2月19日,5.0,綺麗なブルー,味もさることながら、お色味も綺麗でとても良い品だと思います。
19,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: バタフライピーハーバルブレンドティー50包,Amazon カスタマー,2022年10月25日,4.0,バタフライピーブレンドティーの澄んだブルーに癒されます。,バタフライピーハーブブレンドティーは、ホットでも、アイスでも、香りも、色も、味も美味しく楽しんでます。金額的にも満足です。
20,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: バタフライピーハーバルブレンドティー50包,なな,2023年1月2日,3.0,少しクセがある,ブレンドされているので、ハーブ系が苦手な人は美味しく感じないかも。ハーブ系が好きな人は好きだと思います
21,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: バタフライピーハーバルブレンドティー50包,おはヨーグルト,2022年11月24日,3.0,ミントが強目です。,ビタミンCを入れると紫色に変化します。ブレンド茶なのでミントが強目でした。
22,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: ロゼリフレッシュハーバルブレンドティー50包,はーちやん,2023年1月16日,5.0,天然の甘み,色もキレイ味も美味しいほのかに甘い
23,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: はちみつ生姜紅茶ハーバルブレンドティー50包,もも,2022年8月12日,4.0,おいしい,おいしいし、コスパがいいです。強いて言えば、蒸らし時間が焦ったいです　笑
24,B0991KCYHW,天然生活 バタフライピーハーバルブレンドティー (50包) ティーバッグ オレンジピール レモングラス スペアミント,天然生活,フレーバー名: あずき茶ハーバルブレンドティー50包,Amazon カスタマー,2023年2月14日,2.0,お茶デビュー,結構濃いようなあずき味なのかなと思ったんですけど、味が薄かった2度目は購入したくない味も美味しくなかった
