,ASIN,product,brand,name,date,score,title,comment
0,B09JBRLLLZ,三井農林 日東紅茶 はちみつ紅茶ティーバッグ 20袋入×2,日東紅茶,ちまき猫,2022年4月17日,3.0,安さには理由がある,本家『ラクシュミー』のはちみつ紅茶に魅了されて、いろいろな種類のはちみつ紅茶を飲み始め早半年。味わってゆっくりお茶の時間…が取れない！ということで、値段の安さからコチラの日東紅茶さんのはちみつ紅茶を試した結果、普段紅茶を主な飲み物とする私には、これで十分だなぁ、と実感中です。お安いので。改良するなら、全体的に薄い味わいなので、甘さそのまま、はちみつの香りを増して、苦さを抑えると良いかと思います。このお値段ではちみつ紅茶を出してくれてありがとうございました。
1,B09JBRLLLZ,三井農林 日東紅茶 はちみつ紅茶ティーバッグ 20袋入×2,日東紅茶,Amazon Customer,2022年2月26日,1.0,香りはあるが、あまり甘くない,外で飲んだティーバッグのはちみつ紅茶が美味しかったので買ってみました。それはかなり甘かったので、甘みが少ないという事で選んだのですがまずティーバッグを開けた時に、はちみつっぽい香料がきつい。淹れてみて飲んでみたら紅茶の味も薄く、やけに口の中に違和感が残る。よく見てみたら、甘味料が沢山。人工甘味料が苦手で、人工甘味料が多い飲料を飲むと何故か喉が渇くので、掲載してあったのによく見てなかった自分が悪かったなぁと。匂い味とも私には合いませんでした。残念。
2,B09JBRLLLZ,三井農林 日東紅茶 はちみつ紅茶ティーバッグ 20袋入×2,日東紅茶,しまりす,2022年2月19日,5.0,本物のラクシュミーには程遠い、けどコレでよい！,350の水筒に入れて、毎日飲んでます。カロリーも低くておすすめです。
3,B09JBRLLLZ,三井農林 日東紅茶 はちみつ紅茶ティーバッグ 20袋入×2,日東紅茶,Kindleのお客様,2022年1月29日,3.0,甘味料(アスパルテーム・L-フェニルアラニン化合物、アセスルファムK、スクラロース),はちみつ紅茶が好きなので買ってみたけど正直それほどおいしくない。サクラはちみつみたいな味がする。値段が安いので仕方はないけど、はちみつ紅茶は高くても他のメーカーのものを買った方がいいかな。そのままより生姜を入れて生姜紅茶にしたら割と美味しかったのでおすすめ。
4,B09JBRLLLZ,三井農林 日東紅茶 はちみつ紅茶ティーバッグ 20袋入×2,日東紅茶,おなす,2022年3月3日,5.0,ほのかに甘くておいしい,甘すぎずでとても美味しいです。今回はAmazonで買ったけど、近くで見つけたらまた買います。
5,B09JBRLLLZ,三井農林 日東紅茶 はちみつ紅茶ティーバッグ 20袋入×2,日東紅茶,Amazon カスタマー,2021年11月16日,5.0,まぁ日東紅茶だから……,甘すぎず丁度いいです。アレンジしても美味しくいただけそうなので試してみます。
6,B09JBRLLLZ,三井農林 日東紅茶 はちみつ紅茶ティーバッグ 20袋入×2,日東紅茶,桜錨,2022年2月15日,4.0,美味しかったです,甘すぎなくてほんとに美味しいです。はちみつ紅茶で調べると出てくるもう一種類の方を頂き物で1袋飲んでみたのですが甘すぎて苦手で、やはりこちらが1番です。
7,B09JBRLLLZ,三井農林 日東紅茶 はちみつ紅茶ティーバッグ 20袋入×2,日東紅茶,N_,2022年3月30日,1.0,ほんのり甘くて美味しい,安かったので購入してみましたが、不自然な甘さで、茶葉自体も美味しくなかったです
8,B09JBRLLLZ,三井農林 日東紅茶 はちみつ紅茶ティーバッグ 20袋入×2,日東紅茶,スムージー,2022年3月20日,5.0,甘すぎない、ちょっと薄め,他社の蜂蜜紅茶に比べ、あっさりめです。濃い目が好みの人には勧めません。私は毎日飲みたいので、気に入っています。
9,B09JBRLLLZ,三井農林 日東紅茶 はちみつ紅茶ティーバッグ 20袋入×2,日東紅茶,ぷー,2022年3月23日,5.0,安心して飲める,ほのかに、蜂蜜を感じる紅茶。ほっこりします。
10,B09JBRLLLZ,三井農林 日東紅茶 はちみつ紅茶ティーバッグ 20袋入×2,日東紅茶,MAMAR,2021年10月28日,4.0,甘さが丁度良い,色々なメーカーのはちみつ紅茶を試しましたが、私には香りも甘さも控えめで丁度良かったです。好みもあるかと思いますが、他のはちみつ紅茶は香りと甘みがキツ過ぎて１箱買うと飲み切るのが大変そうでしたが、コレならちょっと甘い紅茶を飲みたい時に気軽に飲めそうです。買いやすい値段も嬉しいです。
11,B09JBRLLLZ,三井農林 日東紅茶 はちみつ紅茶ティーバッグ 20袋入×2,日東紅茶,あじさい,2022年3月22日,1.0,マズイ！！薄い！,はやっているので、極上はちみつほうと一緒に試しに購入しました。結論から言えば、どちらも紅茶好きな方からしたら、まずい！！と思う味です！おすすめしません。ペットボトルの、加糖の紅茶に慣れた方なら飲めるかもしれませんが、人にすすめられる品ではないです。比較すると、こちらのほうが全体的に薄いです。甘みがうすい、味も薄い、紅茶らしさも薄い。においは、はちみつの香料が結構はいってるのか？ボディバターやはちみつのかおりのリップみたいなオエッとなるにおいがします。こちらも、極上はちみつのほうも、ティーパックは安い紙製品のもので、中に粉々の紅茶、白い砂糖(粉末)が入っていて、お湯をそそぐと、砂糖が溶け出す感じでした。紅茶が好きな方は流行りに流されず、ご自身の好きな紅茶に、実際のはちみつをいれて飲んだほうがいいです。私のように流行りに流されて買ってみると、無駄な買い物になりますよ！
12,B09JBRLLLZ,三井農林 日東紅茶 はちみつ紅茶ティーバッグ 20袋入×2,日東紅茶,ふち,2022年4月20日,1.0,不味かった,臭いがまず、すっごいクセの強い蜂蜜の香りでした。アカシアとかじゃなくて…臭い強めのとち蜜みたいな。そして結構甘く感じました。でも紅茶としてはだいぶ水っぽいような…ちゃんと蒸らしたんですが微妙でした。美味しくなくて全く消費できず家族にあげました。
13,B09JBRLLLZ,三井農林 日東紅茶 はちみつ紅茶ティーバッグ 20袋入×2,日東紅茶,Amazon Customer,2022年1月7日,5.0,紅茶の味もしっかりします。,甘すぎず、はちみつの自然な甘さで紅茶の香りもしっかりして美味しいです。今まで飲んだはちみつ紅茶の中で一番美味しいと感じました。
14,B09JBRLLLZ,三井農林 日東紅茶 はちみつ紅茶ティーバッグ 20袋入×2,日東紅茶,gerry,2022年3月9日,5.0,ハチミツも紅茶も好き,ハチミツの甘さ、紅茶の香りが大好き。けど、甘い紅茶は苦手。そういう方には良いのではないでしょうか。自分は大好きです。
15,B09JBRLLLZ,三井農林 日東紅茶 はちみつ紅茶ティーバッグ 20袋入×2,日東紅茶,Le,2022年4月20日,1.0,臭くて不味い,信じられないくらい不味いです。熱めでも、温めでも、ストレートでも、ミルクティーでも、どうやっても不味いです。蜂蜜の香りはしませんし、むしろ変な臭みすら感じます。他社の蜂蜜紅茶と比べ物にならないくらい安い理由がよくわかりました。
16,B09JBRLLLZ,三井農林 日東紅茶 はちみつ紅茶ティーバッグ 20袋入×2,日東紅茶,英布旗,2022年5月9日,1.0,香りがひどい,個装を開いてショックを受けました。香りというより匂いがひどい。紅茶でも蜂蜜でもない、埃っぽい匂い。熱湯で出してみましたが、匂いは変わらず…他の方のレビューで甘くないとはありましたが、こんなにも埃っぽい匂いが強いとは…ハズレを買ってしまったのかもしれません。
17,B09JBRLLLZ,三井農林 日東紅茶 はちみつ紅茶ティーバッグ 20袋入×2,日東紅茶,ぽりす,2022年3月28日,1.0,不味い,何とも言い難い異臭がする。お湯で蒸らす前のティーパック自体から異臭がしていた。とても美味しく飲めるものではない。極上はちみつ紅茶を飲んで美味しかったので安いこれを買ってみたが、一回飲んだだけで不味過ぎて買ったことを後悔した。
